latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
40.518,19.71,315.1,1.1,1,2017-01-21,1138,Aqua,MODIS,75,6.1,285.2,17.3
40.453,19.893,302.9,1.1,1,2017-02-22,1138,Aqua,MODIS,54,6.1,288.3,4.9
40.605,19.762,303.2,1.3,1.1,2017-03-16,0921,Terra,MODIS,47,6.1,290.8,6.1
40.452,19.856,306.5,1,1,2017-03-21,0940,Terra,MODIS,53,6.1,294.4,4.4
40.462,19.921,312.2,1,1,2017-04-02,1145,Aqua,MODIS,66,6.1,295.4,7.2
40.147,19.821,313.3,1.6,1.2,2017-04-26,0915,Terra,MODIS,69,6.1,291.1,19.2
40.288,19.776,326,1,1,2017-07-04,0934,Terra,MODIS,77,6.1,301.1,17.8
40.282,19.77,312.5,2.3,1.5,2017-07-04,1114,Aqua,MODIS,36,6.1,297.3,15.8
40.088,19.923,308.4,1.5,1.2,2017-07-15,2021,Terra,MODIS,74,6.1,286.6,17.3
40.085,19.905,306.6,1.5,1.2,2017-07-15,2021,Terra,MODIS,62,6.1,287.8,14.2
40.503,19.863,324.6,4.3,1.9,2017-07-22,1239,Aqua,MODIS,69,6.1,302.5,89.1
40.389,19.787,349.2,1.2,1.1,2017-07-25,0952,Terra,MODIS,94,6.1,306.6,63.9
40.499,19.794,328.5,1.2,1.1,2017-07-25,1132,Aqua,MODIS,77,6.1,308.7,16.7
40.496,19.78,328.6,1.3,1.1,2017-07-25,1132,Aqua,MODIS,77,6.1,309.6,16.7
40.151,19.726,315.7,1,1,2017-07-27,0940,Terra,MODIS,46,6.1,297.6,8.6
40.196,19.815,321,2.1,1.4,2017-07-30,1011,Terra,MODIS,64,6.1,303,31.1
40.515,19.908,301.8,1,1,2017-07-30,0045,Aqua,MODIS,44,6.1,291.6,4.6
40.191,19.762,329.4,1,1,2017-07-30,1150,Aqua,MODIS,74,6.1,310.7,14.9
40.168,19.766,326.9,4.2,1.9,2017-07-31,1055,Aqua,MODIS,70,6.1,297.9,126.8
40.181,19.794,318.3,4.2,1.9,2017-07-31,1055,Aqua,MODIS,66,6.1,296.9,63
40.171,19.758,322.3,4.2,1.9,2017-07-31,1055,Aqua,MODIS,69,6.1,298.2,97.6
40.125,19.879,328.5,1.1,1,2017-08-01,1138,Aqua,MODIS,74,6.1,306.2,17.8
40.123,19.867,339.9,1.1,1,2017-08-01,1138,Aqua,MODIS,87,6.1,307.8,37.6
40.452,19.721,355.1,1.1,1,2017-08-01,1138,Aqua,MODIS,97,6.1,310.7,65.7
40.461,19.719,340,1.1,1,2017-08-01,1138,Aqua,MODIS,86,6.1,310.7,31
40.301,19.747,325.7,1.1,1,2017-08-03,0946,Terra,MODIS,57,6.1,307.4,11.2
40.253,19.834,332.7,1.5,1.2,2017-08-04,1209,Aqua,MODIS,77,6.1,311.5,30
40.167,19.796,323.8,2.3,1.5,2017-08-05,1114,Aqua,MODIS,69,6.1,298.6,44.5
40.182,19.812,366.2,1.1,1,2017-08-06,1156,Aqua,MODIS,100,6.1,311.5,99.5
40.189,19.798,325.7,1.1,1,2017-08-06,1156,Aqua,MODIS,43,6.1,309.1,8.8
40.29,19.738,342.4,1.1,1,2017-08-06,1156,Aqua,MODIS,87,6.1,310.4,35
40.39,19.694,349.7,1,1,2017-08-08,1144,Aqua,MODIS,93,6.1,315.2,45.6
40.25,19.786,310.3,1.2,1.1,2017-08-10,2058,Terra,MODIS,80,6.1,294.5,10.6
40.43,19.805,350.5,1.8,1.3,2017-08-11,1215,Aqua,MODIS,94,6.1,318.1,102.2
40.109,19.831,319.4,2.3,1.5,2017-08-18,0904,Terra,MODIS,18,6.1,300.8,25.4
40.113,19.823,323.6,2.3,1.5,2017-08-18,0904,Terra,MODIS,73,6.1,301.5,42.5
40.109,19.799,320.6,2.2,1.4,2017-08-18,1221,Aqua,MODIS,67,6.1,301.6,29.4
40.401,19.719,325.2,2.2,1.4,2017-08-18,1221,Aqua,MODIS,64,6.1,305,30.1
40.257,19.703,328.5,1.4,1.2,2017-08-20,1209,Aqua,MODIS,37,6.1,310.3,18.4
40.128,19.89,316.9,2.8,1.6,2017-08-25,1227,Aqua,MODIS,46,6.1,303.4,27.1
40.579,19.704,332.5,1.2,1.1,2017-08-26,0952,Terra,MODIS,83,6.1,307,27.1
40.104,19.853,309.4,1,1,2017-08-28,2045,Terra,MODIS,77,6.1,296.9,6.1
40.113,19.85,320.5,1,1,2017-08-28,2045,Terra,MODIS,100,6.1,295.8,15.4
40.112,19.839,323.8,1,1,2017-08-28,2045,Terra,MODIS,100,6.1,296.1,18.9
40.397,19.79,322,1.8,1.3,2017-08-28,1120,Aqua,MODIS,53,6.1,307.1,19.7
40.1,19.839,324.9,1.2,1.1,2017-08-29,1202,Aqua,MODIS,72,6.1,302.6,16.8
40.157,19.81,327.1,1.2,1.1,2017-08-29,1202,Aqua,MODIS,77,6.1,300.3,21
40.533,19.865,322.9,1.1,1.1,2017-08-30,0928,Terra,MODIS,75,6.1,304.1,14
40.523,19.862,315.9,2.7,1.6,2017-08-30,1108,Aqua,MODIS,59,6.1,301.6,28.1
40.127,19.915,309.8,1.5,1.2,2017-09-02,2104,Terra,MODIS,78,6.1,286.6,17.2
40.7,19.735,324.2,1.1,1,2017-09-18,1138,Aqua,MODIS,75,6.1,302.4,15.3
40.314,19.407,317.5,1,1,2017-03-05,0940,Terra,MODIS,78,6.1,284.7,16.7
40.675,19.658,307.4,1,1,2017-03-17,1145,Aqua,MODIS,64,6.1,292.6,5.8
40.4,19.597,323.2,1.6,1.3,2017-06-29,0915,Terra,MODIS,69,6.1,309,12.7
40.316,19.391,334.5,1.6,1.2,2017-07-07,1004,Terra,MODIS,0,6.1,307.4,46.6
40.426,19.62,325.6,1,1,2017-07-11,0940,Terra,MODIS,48,6.1,312.3,8.3
40.401,19.557,324.2,1.9,1.3,2017-07-11,1120,Aqua,MODIS,60,6.1,309.6,17.7
40.353,19.553,323.2,1,1,2017-07-20,0934,Terra,MODIS,52,6.1,308.4,8.8
40.352,19.565,323.9,1,1,2017-07-20,0934,Terra,MODIS,59,6.1,309.6,9.1
40.411,19.563,327.4,1.1,1,2017-07-21,1156,Aqua,MODIS,69,6.1,311.2,10.3
40.433,19.565,305.4,1.9,1.3,2017-07-24,2015,Terra,MODIS,64,6.1,294.7,9.4
40.462,19.607,315.8,1.2,1.1,2017-07-25,2058,Terra,MODIS,92,6.1,293.9,16.9
40.202,19.627,303.2,1.4,1.2,2017-08-01,2104,Terra,MODIS,48,6.1,292,7.4
40.353,19.515,357.6,1.1,1.1,2017-08-01,1138,Aqua,MODIS,98,6.1,316.1,75
40.194,19.63,322.4,2.2,1.4,2017-08-02,1221,Aqua,MODIS,54,6.1,304.9,29.7
40.308,19.605,322.2,1.5,1.2,2017-08-03,1126,Aqua,MODIS,46,6.1,308.7,12.7
40.341,19.527,309.1,1,1,2017-08-05,2039,Terra,MODIS,76,6.1,296.4,6.7
40.349,19.545,312.1,1,1,2017-08-06,0051,Aqua,MODIS,84,6.1,293.5,10.1
40.375,19.531,324.5,4.1,1.9,2017-08-07,1239,Aqua,MODIS,53,6.1,306.4,67.8
40.341,19.531,306.3,1,1,2017-08-08,0039,Aqua,MODIS,68,6.1,295.3,6.2
40.582,19.691,320.4,1.2,1.1,2017-08-26,0952,Terra,MODIS,51,6.1,306.2,9.4
40.665,19.594,335.4,1.8,1.3,2017-08-27,1215,Aqua,MODIS,83,6.1,309.9,51.7
40.313,19.666,321.7,1,1,2017-08-28,0940,Terra,MODIS,67,6.1,307.4,8.9
40.664,19.568,307.9,1,1,2017-08-28,2046,Terra,MODIS,73,6.1,292.8,7.9
40.4,19.603,322.7,2.8,1.6,2017-08-30,1108,Aqua,MODIS,41,6.1,305.1,44.8
40.658,19.655,319.2,1.1,1,2017-09-07,1156,Aqua,MODIS,48,6.1,304.3,5.9
40.57,20.068,354,1.7,1.3,2017-07-11,1120,Aqua,MODIS,96,6.1,309.7,131
40.579,20.094,305.2,1.2,1.1,2017-07-12,0057,Aqua,MODIS,63,6.1,292.8,8.4
40.545,20.105,323.4,2.9,1.6,2017-07-24,1227,Aqua,MODIS,68,6.1,301.9,44.3
40.545,20.101,325,2.9,1.6,2017-07-24,1227,Aqua,MODIS,70,6.1,301.9,49.5
40.53,19.963,328.2,1.1,1,2017-08-01,1138,Aqua,MODIS,72,6.1,309.4,13
40.455,20.016,328.2,2.3,1.5,2017-08-02,1221,Aqua,MODIS,74,6.1,308.8,41
40.453,19.989,325.2,2.3,1.5,2017-08-02,1221,Aqua,MODIS,69,6.1,308,30.6
40.453,20.008,333,2.3,1.5,2017-08-02,1221,Aqua,MODIS,80,6.1,308.7,61.3
40.574,20.077,319.2,1.4,1.2,2017-08-03,1126,Aqua,MODIS,44,6.1,304.2,8.4
40.563,20.091,330.9,1.5,1.2,2017-08-04,1209,Aqua,MODIS,74,6.1,309.1,27.4
40.641,20.169,323.3,1,1,2017-08-05,0934,Terra,MODIS,48,6.1,304.3,12.1
40.3,20.002,323,3.3,1.7,2017-08-07,1101,Aqua,MODIS,67,6.1,307.6,47.3
40.556,20.074,325,3.2,1.7,2017-08-07,1101,Aqua,MODIS,73,6.1,302.8,60.2
40.621,20.028,318.5,4.8,2,2017-08-11,1035,Terra,MODIS,70,6.1,303.2,59.5
40.608,20.077,322.3,4.8,2,2017-08-11,1035,Terra,MODIS,75,6.1,303.4,97.9
40.173,20.141,337,1.9,1.3,2017-08-11,1215,Aqua,MODIS,84,6.1,315.6,53.2
40.609,20.073,331.2,1.9,1.3,2017-08-11,1215,Aqua,MODIS,76,6.1,311.8,34.4
39.946,20.182,310.8,1.2,1.1,2017-08-10,0027,Aqua,MODIS,81,6.1,296.4,10.3
39.946,20.192,347,1.2,1.1,2017-08-10,1132,Aqua,MODIS,92,6.1,310.3,53
39.98,20.182,307.1,2.7,1.6,2017-08-11,2003,Terra,MODIS,70,6.1,294.2,26.7
39.883,20.148,325,1.1,1,2017-08-19,0947,Terra,MODIS,56,6.1,308.8,11.8
39.928,20.116,308.1,1,1,2017-08-24,0039,Aqua,MODIS,74,6.1,292.4,8.9
39.933,20.141,326.6,1.1,1,2017-09-02,1138,Aqua,MODIS,75,6.1,304,15.3
39.845,20.052,314.7,1.2,1.1,2017-09-30,1202,Aqua,MODIS,48,6.1,290.9,12.9
39.984,19.989,321.4,3.3,1.7,2017-07-12,1023,Terra,MODIS,28,6.1,305.8,46.5
39.991,19.956,348.1,1.2,1.1,2017-07-12,1202,Aqua,MODIS,93,6.1,313.7,53.2
40.049,19.935,330.6,1.1,1,2017-08-06,1156,Aqua,MODIS,60,6.1,312.7,14.9
40.039,19.968,337.6,1.9,1.3,2017-08-09,0910,Terra,MODIS,86,6.1,309.1,61.8
40.024,20.019,307.3,1,1,2017-08-12,2045,Terra,MODIS,71,6.1,293.8,7
40.04,20.012,328.9,1.2,1.1,2017-08-13,1202,Aqua,MODIS,76,6.1,302.9,27.2
40.049,20.025,308.6,1.1,1,2017-08-14,2033,Terra,MODIS,75,6.1,290,9.6
40.047,20.012,302.5,1.1,1,2017-08-14,2033,Terra,MODIS,36,6.1,291.1,5.3
40.047,20.018,334.9,2.7,1.6,2017-08-14,1107,Aqua,MODIS,86,6.1,300.6,118.1
40.035,20.01,315.8,2.7,1.6,2017-08-14,1107,Aqua,MODIS,27,6.1,300.6,25.6
40.04,19.914,305,1.5,1.2,2017-09-17,2021,Terra,MODIS,63,6.1,289.6,11.3
40.042,19.907,300.9,1.5,1.2,2017-09-17,2021,Terra,MODIS,36,6.1,289.4,8.1
39.756,20.193,330.3,1.1,1,2017-06-30,1138,Aqua,MODIS,79,6.1,312.9,14.7
39.761,20.152,323.3,1.5,1.2,2017-07-02,1126,Aqua,MODIS,65,6.1,305.9,14.8
39.728,20.089,307.5,1,1,2017-07-11,2045,Terra,MODIS,72,6.1,296.6,5.8
39.737,20.087,306,1,1,2017-07-11,2045,Terra,MODIS,43,6.1,295.8,4.6
39.721,20.092,335.2,1.2,1.1,2017-07-12,1202,Aqua,MODIS,77,6.1,313,24.2
39.72,20.079,334.5,1.2,1.1,2017-07-12,1202,Aqua,MODIS,76,6.1,315.7,23.4
39.721,20.087,334.8,1.2,1.1,2017-07-12,1202,Aqua,MODIS,62,6.1,314.7,23.3
39.744,20.1,313.6,1.1,1,2017-07-13,2033,Terra,MODIS,69,6.1,297,9.7
39.762,20.094,307.6,1.1,1,2017-07-13,2033,Terra,MODIS,49,6.1,296.8,5.6
39.755,20.111,321.3,2.2,1.5,2017-07-14,1011,Terra,MODIS,67,6.1,305.4,19.9
39.762,20.094,308.1,1,1,2017-07-14,0045,Aqua,MODIS,74,6.1,295.9,6
39.741,20.112,313.8,1,1,2017-07-14,0045,Aqua,MODIS,84,6.1,296,10.1
39.738,20.133,324.5,1,1,2017-07-20,0934,Terra,MODIS,52,6.1,308.9,8
39.7,20.167,323.1,1,1,2017-08-05,0934,Terra,MODIS,63,6.1,303.9,6.9
39.759,20.177,349.6,1.1,1,2017-08-06,1156,Aqua,MODIS,94,6.1,313.7,47.2
39.729,20.037,324.3,1,1,2017-08-24,1144,Aqua,MODIS,66,6.1,307.4,10.2
39.764,20.149,317.5,2.2,1.4,2017-09-06,1113,Aqua,MODIS,72,6.1,303.1,24.9
39.698,20.131,328.7,2.3,1.5,2017-09-19,1221,Aqua,MODIS,81,6.1,299.4,61
39.76,20.139,311.2,2.8,1.6,2017-09-28,0857,Terra,MODIS,47,6.1,294.2,25.4
39.758,20.132,311.6,2.8,1.6,2017-09-28,0857,Terra,MODIS,50,6.1,293.9,27.8
41.53,19.957,303.7,3.1,1.7,2017-08-04,1957,Terra,MODIS,57,6.1,292.6,20.7
41.612,20.187,326.7,1.7,1.3,2017-08-08,1004,Terra,MODIS,77,6.1,307.3,32.9
41.613,20.181,307.5,2,1.4,2017-08-08,2110,Terra,MODIS,72,6.1,293.2,18.3
41.607,20.186,334.1,1.2,1.1,2017-08-10,0952,Terra,MODIS,84,6.1,307.3,31.5
41.602,20.184,336.5,1.2,1.1,2017-08-10,1132,Aqua,MODIS,84,6.1,309.8,32.5
41.36,20.124,320.7,1,1,2017-08-24,1144,Aqua,MODIS,60,6.1,304.2,12.1
41.451,20.181,335.6,1,1,2017-08-24,1144,Aqua,MODIS,85,6.1,307.9,25.4
41.356,20.192,300.6,1.6,1.3,2017-08-25,2015,Terra,MODIS,29,6.1,288.6,10.9
41.4,20.19,321,3,1.6,2017-08-25,1227,Aqua,MODIS,69,6.1,301.4,58.2
41.364,20.127,321.8,1.2,1.1,2017-08-26,0952,Terra,MODIS,72,6.1,304.1,17.6
41.363,20.169,301.8,1.3,1.1,2017-08-26,2058,Terra,MODIS,5,6.1,289.3,7
41.348,20.194,333.6,1.2,1.1,2017-08-26,1132,Aqua,MODIS,83,6.1,305,32
41.36,20.129,331.2,1.2,1.1,2017-08-26,1132,Aqua,MODIS,80,6.1,306.4,30.1
41.395,20.103,315.9,1.2,1.1,2017-08-26,1132,Aqua,MODIS,29,6.1,301.5,11.6
41.55,19.979,335,1.2,1.1,2017-08-26,1132,Aqua,MODIS,84,6.1,310.5,30.7
41.362,20.161,313.9,2.9,1.6,2017-08-27,0857,Terra,MODIS,44,6.1,300.4,29.7
41.357,20.186,308.1,2.4,1.5,2017-08-27,2003,Terra,MODIS,73,6.1,291,33
41.514,19.982,301.1,2.5,1.5,2017-08-27,2003,Terra,MODIS,37,6.1,290.3,14.3
41.365,20.12,316.5,1,1,2017-08-28,0940,Terra,MODIS,40,6.1,302.6,7.2
41.347,20.176,331.4,1,1,2017-08-28,0940,Terra,MODIS,78,6.1,304.5,21.8
41.356,20.189,305.2,1,1,2017-08-28,2046,Terra,MODIS,59,6.1,290.2,7.1
41.354,20.176,318.3,1,1,2017-08-28,2046,Terra,MODIS,97,6.1,291.2,17.4
41.352,20.164,302.6,1,1,2017-08-28,2046,Terra,MODIS,12,6.1,288.9,5.4
41.366,20.124,307,1,1,2017-08-28,2046,Terra,MODIS,70,6.1,287.8,8.5
41.4,20.109,307.4,1,1,2017-08-28,2046,Terra,MODIS,27,6.1,287.7,9.1
41.393,20.126,319.8,1.6,1.3,2017-08-28,1120,Aqua,MODIS,50,6.1,298.4,23.3
41.398,20.1,317.3,1.6,1.3,2017-08-28,1120,Aqua,MODIS,27,6.1,299.6,17.2
41.877,20.117,306.6,1,1,2017-07-14,0045,Aqua,MODIS,68,6.1,290.6,8
41.872,20.133,323.1,1,1,2017-08-05,0934,Terra,MODIS,54,6.1,305.6,10.1
41.868,20.134,325,1,1,2017-08-06,0051,Aqua,MODIS,100,6.1,290.8,24.5
41.861,20.127,333.7,1.1,1.1,2017-08-06,1157,Aqua,MODIS,79,6.1,306.8,27.7
