latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.85,20.053,314.5,1.1,1,2017-10-01,0925,Terra,MODIS,57,6.0NRT,297.8,7.9,D
39.945,20.023,316.8,1.5,1.2,2017-10-03,0915,Terra,MODIS,75,6.0NRT,300,15.1,D
39.851,20.054,312.9,1.5,1.2,2017-10-03,0915,Terra,MODIS,47,6.0NRT,299.6,10,D
39.843,20.045,316.9,1.1,1,2017-10-04,1135,Aqua,MODIS,70,6.0NRT,300.9,10.1,D
39.934,20.285,320.5,2.2,1.4,2017-10-05,0900,Terra,MODIS,78,6.0NRT,296.1,45.3,D
39.876,20.097,326.4,1.1,1,2017-10-09,1155,Aqua,MODIS,84,6.0NRT,298.7,24.1,D
40.539,19.495,306.8,1.3,1.1,2017-10-10,0920,Terra,MODIS,61,6.0NRT,295.2,6.4,D
40.216,19.494,328.5,1.3,1.1,2017-10-10,0920,Terra,MODIS,0,6.0NRT,295.3,39.9,D
39.82,20.033,311.9,1.2,1.1,2017-10-13,0950,Terra,MODIS,0,6.0NRT,297.3,9.8,D
39.825,20.022,308,1.2,1.1,2017-10-13,1130,Aqua,MODIS,0,6.0NRT,297.6,5.3,D
40.652,19.343,317.8,1.7,1.3,2017-10-14,1215,Aqua,MODIS,67,6.0NRT,296,26.2,D
40.231,19.819,304.9,1,1,2017-10-15,0940,Terra,MODIS,50,6.0NRT,293,4.8,D
39.935,20.294,315.9,1,1,2017-10-15,0940,Terra,MODIS,74,6.0NRT,297.8,10.9,D
39.814,20.056,319.4,1,1,2017-10-15,0940,Terra,MODIS,68,6.0NRT,299.7,13.2,D
40.09,19.867,311.7,1.2,1.1,2017-10-16,1200,Aqua,MODIS,61,6.0NRT,298.3,9.2,D
39.926,20.303,315.4,1.1,1,2017-10-17,0925,Terra,MODIS,41,6.0NRT,296.2,9.4,D
40.674,20.987,314.1,1.1,1,2017-10-18,1150,Aqua,MODIS,66,6.0NRT,292.8,10.2,D
41.06,19.818,301.7,1,1,2017-11-25,0930,Terra,MODIS,48,6.0NRT,285.1,6.1,D
42.526,20.07,302,1.9,1.3,2017-10-18,1010,Terra,MODIS,50,6.0NRT,274.9,17.5,D
39.86,20.074,312.6,1.5,1.2,2017-10-03,0915,Terra,MODIS,55,6.0NRT,297.8,9.5,D
39.932,20.31,310,2.2,1.4,2017-10-05,0900,Terra,MODIS,63,6.0NRT,296.4,19.2,D
39.874,20.084,317.5,1.1,1,2017-10-09,1155,Aqua,MODIS,77,6.0NRT,297,13.8,D
39.674,20.174,310.9,1.8,1.3,2017-10-15,1120,Aqua,MODIS,31,6.0NRT,298.1,14,D
39.936,20.293,318.5,1.1,1,2017-10-17,0925,Terra,MODIS,76,6.0NRT,298.2,13.2,D
39.935,20.305,324.4,1.1,1,2017-10-17,0925,Terra,MODIS,81,6.0NRT,297.5,19.5,D
39.914,20.104,311.9,1.1,1,2017-10-20,1135,Aqua,MODIS,57,6.0NRT,299.7,7.3,D
39.923,20.102,310.3,1.1,1,2017-10-20,1135,Aqua,MODIS,41,6.0NRT,298.9,6,D
39.914,20.312,308.5,1.1,1,2017-10-22,0945,Terra,MODIS,62,6.0NRT,294.5,6.6,D
39.903,20.025,307.8,1.5,1.2,2017-10-22,1125,Aqua,MODIS,58,6.0NRT,294.8,8.1,D
39.832,20.098,312,1.1,1,2017-11-05,1135,Aqua,MODIS,72,6.0NRT,294.1,10.8,D
40.009,20.217,307.5,1.1,1,2017-11-05,1135,Aqua,MODIS,66,6.0NRT,292.9,8.1,D
40.776,19.897,313.6,1,1,2017-10-02,1150,Aqua,MODIS,71,6.0NRT,299.8,7.3,D
40.541,20.506,304.4,1,1,2017-10-15,0940,Terra,MODIS,34,6.0NRT,293.5,5.5,D
40.229,19.83,304.5,1,1,2017-10-15,0940,Terra,MODIS,41,6.0NRT,292,4.5,D
40.093,19.868,310.3,1,1,2017-10-15,0940,Terra,MODIS,63,6.0NRT,296.2,6.9,D
40.084,19.866,311,1,1,2017-10-15,0940,Terra,MODIS,67,6.0NRT,297.4,7.3,D
