latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
41.01,45.221,304.2,1,1,2017-08-28,1907,Terra,MODIS,56,6.1,290.5,5.7
40.049,45.722,319.7,1.6,1.2,2017-09-10,0731,Terra,MODIS,54,6.1,307.4,14.2
40.161,43.991,308.8,2,1.4,2017-03-24,0832,Terra,MODIS,68,6.1,296.9,10.2
40.2,44.413,304.3,1,1,2017-07-11,1906,Terra,MODIS,60,6.1,292.9,5.1
40.376,44.285,355.7,1,1,2017-09-04,0808,Terra,MODIS,97,6.1,311.8,66.4
39.688,45.586,340.2,1.4,1.2,2017-08-10,1919,Terra,MODIS,100,6.1,294.7,68
39.687,45.613,347.6,2.1,1.4,2017-08-11,1036,Aqua,MODIS,87,6.1,301.4,126.7
39.519,45.835,343.8,1.3,1.1,2017-09-20,0947,Aqua,MODIS,90,6.1,309.6,58
40.175,44.598,305.5,1,1,2017-03-21,0801,Terra,MODIS,61,6.1,286.1,5.7
40.072,44.574,307.6,1.1,1.1,2017-03-23,0749,Terra,MODIS,58,6.1,293.8,5.1
40.223,44.805,312.7,1.1,1,2017-09-22,2312,Aqua,MODIS,85,6.1,282.9,16.7
40.631,44.7,321,2.9,1.6,2017-09-10,1048,Aqua,MODIS,33,6.1,308.8,31.9
40.645,44.735,328.8,1.2,1.1,2017-09-11,0814,Terra,MODIS,70,6.1,303.3,22.6
40.647,44.724,326.5,1.2,1.1,2017-09-11,0953,Aqua,MODIS,67,6.1,301.9,23.5
40.644,44.709,328.3,1.2,1.1,2017-09-11,0953,Aqua,MODIS,69,6.1,301.4,26
40.7,45.146,302.9,1.6,1.2,2017-02-25,1030,Aqua,MODIS,36,6.1,287.8,11.9
40.9,45.39,323.9,1.2,1.1,2017-08-23,0743,Terra,MODIS,64,6.1,303.7,15.4
41.022,45.207,333,4.2,1.9,2017-08-29,0706,Terra,MODIS,78,6.1,300.8,193.3
39.575,46.095,327.8,2.7,1.6,2017-08-31,0832,Terra,MODIS,65,6.1,312.5,49
40.239,45.18,337,1,1,2017-08-31,1011,Aqua,MODIS,82,6.1,316.3,24
40.056,45.698,325.3,1.3,1.1,2017-09-01,0737,Terra,MODIS,62,6.1,307.4,19.7
39.564,46.089,332.9,1,1,2017-09-09,1005,Aqua,MODIS,78,6.1,317.4,13.6
39.875,44.575,344,1.8,1.3,2017-03-21,0941,Aqua,MODIS,93,6.1,290.6,117.8
39.745,44.744,317.4,1,1,2017-03-24,1012,Aqua,MODIS,74,6.1,295,11.6
40.141,44.559,313.4,1.6,1.2,2017-03-25,0736,Terra,MODIS,71,6.1,294,14.2
39.58,45.452,309.6,1.4,1.2,2017-03-25,0737,Terra,MODIS,51,6.1,290.6,12.3
39.784,44.731,311.4,1,1,2017-03-30,0755,Terra,MODIS,37,6.1,298,7.1
39.837,45.111,307.3,1.2,1.1,2017-04-20,0953,Aqua,MODIS,59,6.1,288,8.5
40.175,44.422,323,1.1,1,2017-04-29,0807,Terra,MODIS,76,6.1,304.2,10
40.065,44.419,318.8,1.2,1.1,2017-06-07,0813,Terra,MODIS,25,6.1,304.1,8.5
40.06,44.413,325.1,1,1,2017-06-21,1005,Aqua,MODIS,37,6.1,308.5,8.1
40.07,44.538,328.3,1.4,1.2,2017-07-16,0820,Terra,MODIS,64,6.1,310.8,19.4
39.93,44.607,323.2,1,1,2017-07-20,0755,Terra,MODIS,36,6.1,308.8,5.9
40.016,44.92,304.3,3.6,1.8,2017-08-13,1949,Terra,MODIS,21,6.1,290.2,36.5
40.398,44.761,324.9,1.3,1.1,2017-09-14,1024,Aqua,MODIS,55,6.1,311,12.3
40.396,44.756,324.7,1.3,1.1,2017-09-14,1024,Aqua,MODIS,50,6.1,312.1,11.8
39.655,45.647,312.8,1,1,2017-04-27,0959,Aqua,MODIS,37,6.1,293.1,8.3
39.223,46.483,328.1,1.4,1.2,2017-08-09,0731,Terra,MODIS,30,6.1,313.5,18
39.69,45.576,338.2,1.4,1.2,2017-08-10,1919,Terra,MODIS,100,6.1,295.8,61.5
39.685,45.61,328.1,2.5,1.5,2017-08-11,0719,Terra,MODIS,57,6.1,301.3,60.3
39.55,45.857,319.6,1.2,1.1,2017-09-20,0808,Terra,MODIS,23,6.1,306.4,9.9
40.1,44.134,314.7,1.1,1.1,2017-03-26,1000,Aqua,MODIS,69,6.1,297.8,7.6
