latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.521,46.182,326.4,1.9,1.3,2017-10-08,0930,Aqua,MODIS,78,6.0NRT,296.7,51,D
39.155,46.189,321.7,1.2,1.1,2017-10-09,1015,Aqua,MODIS,74,6.0NRT,300.9,20.3,D
39.642,45.964,314,1.7,1.3,2017-10-23,1030,Aqua,MODIS,70,6.0NRT,293.8,22.3,D
40.122,45.941,307.2,4.6,2,2017-10-25,0700,Terra,MODIS,64,6.0NRT,287.7,59.2,D
40.034,45.642,310.8,1.2,1.1,2017-10-25,1015,Aqua,MODIS,65,6.0NRT,290.6,11.2,D
40.106,45.925,318.9,1.2,1.1,2017-10-25,1015,Aqua,MODIS,73,6.0NRT,294.3,19.9,D
39.624,46.111,312.4,2.2,1.4,2017-10-27,0825,Terra,MODIS,66,6.0NRT,289.9,32.4,D
40.078,45.823,303.2,1,1,2017-10-27,1005,Aqua,MODIS,30,6.0NRT,290.5,3.9,D
39.5,46.157,303.8,1.1,1.1,2017-11-14,0950,Aqua,MODIS,57,6.0NRT,287.1,6.7,D
40.046,44.006,304,1.6,1.2,2017-12-25,0945,Aqua,MODIS,58,6.0NRT,283.2,15.3,D
41.101,44.385,329.2,1,1,2017-10-08,0755,Terra,MODIS,85,6.0NRT,302.1,23.1,D
40.394,44.734,309.3,1.1,1,2017-10-09,1015,Aqua,MODIS,57,6.0NRT,296.6,5.5,D
41,44.748,307.7,1.1,1.1,2017-10-09,1015,Aqua,MODIS,34,6.0NRT,296.5,6.2,D
40.694,45.244,314,1,1,2017-10-20,0955,Aqua,MODIS,67,6.0NRT,291.7,11.1,D
40.705,44.905,311.9,1.1,1,2017-10-20,0955,Aqua,MODIS,72,6.0NRT,289.4,12.5,D
40.703,44.892,313.6,1.1,1,2017-10-20,0955,Aqua,MODIS,74,6.0NRT,287.7,13.8,D
