latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
46.593,13.85,310.3,1.1,1.1,2017-07-12,1021,Terra,MODIS,64,6.1,298.6,8.8
48.27,14.328,316,1.1,1,2017-03-13,1212,Aqua,MODIS,72,6.1,293,16.1
48.269,14.335,321.1,1.8,1.3,2017-03-28,1129,Aqua,MODIS,61,6.1,299.2,39.2
48.27,14.331,316.8,1,1,2017-03-31,1015,Terra,MODIS,23,6.1,301.9,10.5
48.27,14.326,324.3,1.1,1,2017-04-30,1211,Aqua,MODIS,83,6.1,304.1,20.1
48.27,14.344,321.4,1.1,1,2017-08-29,1021,Terra,MODIS,63,6.1,305.7,14.1
48.27,14.338,314.9,1.5,1.2,2017-09-04,0945,Terra,MODIS,62,6.1,297.1,20.8
48.27,14.322,312,1.1,1,2017-09-05,1211,Aqua,MODIS,55,6.1,296.2,7.2
48.264,14.328,307.6,3.1,1.7,2017-04-24,1110,Aqua,MODIS,57,6.1,294,38.2
48.268,14.336,322.5,1.7,1.3,2017-05-30,1039,Terra,MODIS,52,6.1,304.5,23.8
48.268,14.33,330.1,1.1,1.1,2017-06-05,1147,Aqua,MODIS,68,6.1,311,23.6
48.268,14.333,323.7,1,1,2017-07-21,1015,Terra,MODIS,51,6.1,306.8,13
48.265,14.33,314,3.1,1.7,2017-08-14,1110,Aqua,MODIS,61,6.1,299.5,42.5
48.268,14.336,322.6,1.1,1.1,2017-08-17,0957,Terra,MODIS,73,6.1,305.4,15.3
48.268,14.344,312.1,2.9,1.6,2017-08-23,1058,Terra,MODIS,65,6.1,296.8,34.9
48.267,14.321,320.6,1.5,1.2,2017-08-26,1134,Aqua,MODIS,71,6.1,305.6,18.3
48.264,14.316,314.6,3.1,1.7,2017-08-30,1110,Aqua,MODIS,62,6.1,301.7,40.6
48.268,14.325,324.9,1,1,2017-08-31,1153,Aqua,MODIS,66,6.1,308.1,13.6
48.268,14.327,314.9,1.8,1.3,2017-09-04,1128,Aqua,MODIS,55,6.1,298.4,24.7
48.265,14.317,308,3.1,1.7,2017-09-15,1110,Aqua,MODIS,59,6.1,292.3,38.2
48.268,14.342,312.3,1,1,2017-09-23,1159,Aqua,MODIS,28,6.1,297.9,8.4
48.272,14.339,313.6,1.4,1.2,2017-02-16,1033,Terra,MODIS,70,6.1,283.1,25.5
48.27,14.34,300.9,2,1.4,2017-03-25,1236,Aqua,MODIS,35,6.1,277.6,13.5
48.272,14.351,310.6,1.5,1.2,2017-03-28,0944,Terra,MODIS,49,6.1,294,14.5
48.271,14.343,315.3,1,1,2017-04-02,1002,Terra,MODIS,49,6.1,301.2,9.7
