latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
48.275,14.339,312,1,1,2017-10-02,1005,Terra,MODIS,51,6.0NRT,290.6,9.9,D
48.273,14.322,309.6,1,1,2017-10-02,1150,Aqua,MODIS,64,6.0NRT,297.1,7.8,D
48.274,14.318,306.7,1.4,1.2,2017-10-05,1220,Aqua,MODIS,51,6.0NRT,294.8,7.9,D
48.276,14.328,303.6,1.5,1.2,2017-10-06,0940,Terra,MODIS,0,6.0NRT,281.6,13.2,D
48.272,14.342,310.7,1.5,1.2,2017-10-06,0940,Terra,MODIS,40,6.0NRT,279.1,20.5,D
48.274,14.324,305.5,1.5,1.2,2017-10-13,1130,Aqua,MODIS,50,6.0NRT,288,12,D
48.278,14.332,306.9,1,1,2017-10-13,2100,Terra,MODIS,69,6.0NRT,283.8,11,N
48.273,14.329,310.8,1.4,1.2,2017-10-14,1030,Terra,MODIS,66,6.0NRT,293.8,15.7,D
48.269,14.347,307.2,1.4,1.2,2017-10-14,1030,Terra,MODIS,56,6.0NRT,292.1,11.6,D
48.268,14.333,310.5,1.2,1.1,2017-10-14,1215,Aqua,MODIS,56,6.0NRT,297.1,10.6,D
48.273,14.331,314.2,1.8,1.3,2017-10-15,0935,Terra,MODIS,65,6.0NRT,293.1,29.1,D
48.271,14.355,302,1.8,1.3,2017-10-15,0935,Terra,MODIS,0,6.0NRT,289.4,9.9,D
48.272,14.34,301.8,1,1,2017-10-15,2045,Terra,MODIS,21,6.0NRT,285.2,7,N
48.275,14.337,307.1,1.3,1.1,2017-10-17,2035,Terra,MODIS,70,6.0NRT,272.3,17.3,N
48.277,14.335,307.8,1.4,1.2,2017-10-18,2115,Terra,MODIS,73,6.0NRT,284,17.7,N
48.276,14.326,305.7,2,1.4,2017-10-19,1235,Aqua,MODIS,57,6.0NRT,291.9,17.5,D
48.276,14.339,306.5,1.8,1.3,2017-11-16,0935,Terra,MODIS,55,6.0NRT,278.8,25.2,D
48.271,14.336,310.6,1.1,1,2017-11-24,1210,Aqua,MODIS,61,6.0NRT,271.8,15.5,D
48.271,14.336,304.8,1.3,1.1,2017-12-07,1140,Aqua,MODIS,52,6.0NRT,279.1,14.2,D
48.276,14.338,302.7,1,1,2017-12-08,0110,Aqua,MODIS,51,6.0NRT,271.4,10.7,N
