latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
40.727,47.275,314.7,1.2,1.1,2017-01-04,0736,Terra,MODIS,75,6.1,281.1,19.9
41.244,46.857,306.8,1.4,1.2,2017-02-27,1018,Aqua,MODIS,64,6.1,294.1,8.8
41.287,46.912,309.5,1,1,2017-07-20,1900,Terra,MODIS,77,6.1,291.1,10.1
41.131,46.98,327.7,2.3,1.5,2017-08-23,0923,Aqua,MODIS,50,6.1,310.3,29.7
41.35,46.615,320.7,2.5,1.5,2017-08-27,1036,Aqua,MODIS,52,6.1,304.1,24.1
41.193,46.714,328.9,1,1,2017-08-30,0749,Terra,MODIS,77,6.1,305.5,13.2
40.107,46.934,326.9,1.1,1,2017-07-22,0743,Terra,MODIS,54,6.1,310.7,7.6
39.122,46.686,355.8,1.8,1.3,2017-07-20,0934,Aqua,MODIS,97,6.1,315.7,126.1
39.424,46.417,304.2,1.5,1.2,2017-08-09,1836,Terra,MODIS,59,6.1,294.2,8.1
39.076,46.764,333.3,1.1,1,2017-08-10,0953,Aqua,MODIS,62,6.1,314.6,10.6
39.469,47.212,341.4,1.2,1.1,2017-07-18,0947,Aqua,MODIS,84,6.1,318.7,25.3
39.725,47.07,332,2,1.4,2017-07-19,1030,Aqua,MODIS,75,6.1,308.5,44.5
39.739,47.313,308.4,1,1,2017-07-20,1900,Terra,MODIS,75,6.1,295.3,7.3
39.814,47.253,337.8,1.7,1.3,2017-07-28,1023,Aqua,MODIS,71,6.1,318.3,23.8
39.668,47.132,342.9,1.2,1.1,2017-08-03,0947,Aqua,MODIS,82,6.1,313.2,32.1
39.986,46.965,321.2,4.8,2,2017-09-17,1054,Aqua,MODIS,60,6.1,305.4,72.1
40.077,46.052,301.1,1.2,1.1,2017-09-06,2312,Aqua,MODIS,37,6.1,285.8,8.1
39.759,47.571,323.6,4,1.9,2017-08-22,0838,Terra,MODIS,49,6.1,297.5,80.6
41.243,46.777,315.3,1.6,1.3,2017-08-10,1919,Terra,MODIS,91,6.1,295.5,21.2
41.057,47.686,333.2,2.6,1.5,2017-09-01,0916,Aqua,MODIS,73,6.1,301.7,96.9
41.248,46.963,318.2,3.2,1.7,2017-09-19,1042,Aqua,MODIS,25,6.1,302.1,35.8
39.201,46.971,351.7,1,1,2017-07-22,0743,Terra,MODIS,94,6.1,311.6,49.3
39.199,46.983,350.7,1,1,2017-07-22,0743,Terra,MODIS,93,6.1,313,47.4
39.478,47.221,332.5,2.5,1.5,2017-08-07,0922,Aqua,MODIS,73,6.1,315.5,31
39.461,47.063,308.1,2.5,1.5,2017-08-08,1931,Terra,MODIS,73,6.1,294.1,25.8
40.401,50.077,311.4,1.1,1.1,2017-02-26,0935,Aqua,MODIS,62,6.1,285,14
40.572,49.602,330.2,2.3,1.5,2017-06-10,0706,Terra,MODIS,81,6.1,306.5,48.1
39.663,47.261,300.5,2.5,1.5,2017-07-21,2217,Aqua,MODIS,28,6.1,290.4,16.4
40.574,45.475,322.9,1.9,1.4,2017-09-09,0826,Terra,MODIS,52,6.1,305.8,29.1
40.008,46.276,339.4,1.1,1,2017-04-22,0801,Terra,MODIS,91,6.1,297.8,40.7
40.04,46.071,324.5,1.3,1.1,2017-09-04,0947,Aqua,MODIS,29,6.1,303.5,16.8
40.081,46.048,327.3,3.2,1.7,2017-09-07,0838,Terra,MODIS,80,6.1,300.6,105.3
40.004,46.186,325.3,1.1,1,2017-09-15,2306,Aqua,MODIS,100,6.1,285,28
41.141,45.323,325.2,1,1,2017-08-31,1012,Aqua,MODIS,55,6.1,309.5,8.2
39.92,46.735,346.6,1.3,1.1,2017-08-03,0807,Terra,MODIS,92,6.1,310.5,61.4
39.491,48.243,336.2,2.7,1.6,2017-06-26,0706,Terra,MODIS,86,6.1,299.4,109.9
40.018,47.953,309.9,1.1,1,2017-02-24,0947,Aqua,MODIS,68,6.1,289.5,9.7
41.087,47.642,303.4,1.1,1,2017-09-01,1842,Terra,MODIS,55,6.1,291.8,5.7
41.018,45.273,327.1,1,1,2017-07-20,0755,Terra,MODIS,54,6.1,306.2,12.3
41.046,45.188,333,1,1,2017-08-28,0801,Terra,MODIS,83,6.1,307.4,18.4
41.099,45.697,314,1.8,1.3,2017-02-25,1030,Aqua,MODIS,73,6.1,295.7,19.2
41.23,46.732,346.1,1.5,1.2,2017-07-25,0813,Terra,MODIS,92,6.1,307.5,66.5
41.217,46.734,335.4,1.1,1,2017-08-07,0743,Terra,MODIS,56,6.1,318,13.1
39.81,47.197,343.6,1.2,1.1,2017-06-28,1011,Aqua,MODIS,89,6.1,305.3,38.7
39.639,47.236,325.9,2.1,1.4,2017-07-16,0820,Terra,MODIS,57,6.1,305.1,19.9
39.728,47.062,339.3,2,1.4,2017-07-19,1030,Aqua,MODIS,84,6.1,309,76.1
39.647,47.247,301.6,1.4,1.2,2017-07-20,2312,Aqua,MODIS,43,6.1,291.4,7
39.806,47.162,341.3,1.4,1.2,2017-07-21,1017,Aqua,MODIS,45,6.1,319.7,28.2
39.77,47.191,361.5,2.5,1.5,2017-07-22,0922,Aqua,MODIS,100,6.1,305.3,263.8
39.621,47.062,328.5,4.8,2,2017-09-01,1054,Aqua,MODIS,57,6.1,301.4,158.4
40.039,46.092,327.9,1.8,1.3,2017-09-06,0935,Aqua,MODIS,44,6.1,303.9,36.3
40.033,46.124,326.5,1.5,1.2,2017-09-10,0731,Terra,MODIS,68,6.1,307.9,27
40.048,45.969,308.9,1,1,2017-09-15,1854,Terra,MODIS,76,6.1,281.3,12.4
39.962,47.04,328.7,1.7,1.3,2017-08-02,0725,Terra,MODIS,64,6.1,309.8,13.4
39.924,46.723,332.3,3,1.6,2017-08-02,1042,Aqua,MODIS,74,6.1,304.5,105.6
39.925,46.8,341.2,1,1,2017-08-08,1005,Aqua,MODIS,85,6.1,319.1,27.2
40.242,46.781,336,1.1,1.1,2017-08-15,1011,Aqua,MODIS,66,6.1,311.7,21.1
39.393,46.453,312.5,1.8,1.3,2017-03-27,0724,Terra,MODIS,25,6.1,296.5,15.9
39.424,46.408,304.3,1,1,2017-08-07,2300,Aqua,MODIS,58,6.1,292.6,5.6
39.318,46.597,330.9,1.1,1.1,2017-08-12,0802,Terra,MODIS,69,6.1,309.2,17.3
