latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.104,45.943,306.3,4.6,2,2017-10-25,0700,Terra,MODIS,48,6.0NRT,291,51.8,D
40.121,45.986,301.9,4.6,2,2017-10-25,0700,Terra,MODIS,25,6.0NRT,289,29.9,D
40.077,46.022,311.5,1.2,1.1,2017-10-25,1015,Aqua,MODIS,61,6.0NRT,293.5,10.4,D
40.244,46.263,315.8,1.1,1,2017-10-26,0740,Terra,MODIS,64,6.0NRT,297.6,12.4,D
40.106,45.972,321.9,1.1,1.1,2017-10-26,0740,Terra,MODIS,44,6.0NRT,296.7,17.1,D
40.194,46.325,319.3,1.5,1.2,2017-10-29,0810,Terra,MODIS,79,6.0NRT,288.9,29.5,D
40.246,46.426,301,1.3,1.1,2017-11-20,0735,Terra,MODIS,34,6.0NRT,287.2,5.2,D
40.214,46.259,304.5,1.3,1.1,2017-11-20,0735,Terra,MODIS,46,6.0NRT,287.9,8.5,D
40.244,46.078,304.5,1.5,1.2,2017-12-18,0940,Aqua,MODIS,59,6.0NRT,279.7,15.2,D
39.748,47.066,318.5,1.4,1.2,2017-10-09,1015,Aqua,MODIS,63,6.0NRT,298.9,14.7,D
39.89,46.793,306,1,1,2017-10-08,0755,Terra,MODIS,26,6.0NRT,295.6,3.6,D
40.197,49.468,310.4,1.5,1.2,2017-10-14,0715,Terra,MODIS,64,6.0NRT,292.3,12.2,D
39.185,48.769,307.8,1.4,1.2,2017-10-18,1010,Aqua,MODIS,59,6.0NRT,295.3,8.1,D
39.167,48.811,316.7,1,1,2017-10-29,0950,Aqua,MODIS,63,6.0NRT,296.6,9.7,D
41.05,48.836,325.2,1.7,1.3,2017-10-30,0715,Terra,MODIS,83,6.0NRT,300.9,38.8,D
40.388,48.518,307,1,1,2017-11-02,0745,Terra,MODIS,65,6.0NRT,292.4,6.4,D
41.123,48.688,308.5,1.5,1.2,2017-12-04,0925,Aqua,MODIS,64,6.0NRT,290.2,18.5,D
39.279,46.594,304.7,2.7,1.6,2017-10-07,0710,Terra,MODIS,33,6.0NRT,292.6,17.9,D
