latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
52.387,23.467,311.7,1.3,1.1,2017-05-20,1001,Terra,MODIS,31,6.1,298.4,9
51.452,29.351,302.5,1.1,1,2017-09-15,0925,Terra,MODIS,53,6.1,290,5.9
51.804,29.241,300.2,1.2,1.1,2017-04-21,1040,Aqua,MODIS,26,6.1,289.9,4.6
51.616,29.387,307.2,1,1,2017-04-03,1052,Aqua,MODIS,48,6.1,295.2,4.4
51.619,29.401,300.8,1.8,1.3,2017-04-04,0949,Terra,MODIS,42,6.1,290.4,8
51.744,29.285,305.9,1.8,1.3,2017-04-20,0949,Terra,MODIS,62,6.1,284,17.9
51.484,29.356,301.2,1.1,1.1,2017-09-19,0900,Terra,MODIS,43,6.1,288.4,4.6
51.805,29.956,310.7,2.3,1.5,2017-04-02,1010,Aqua,MODIS,70,6.1,292.5,26.9
51.8,30.022,314.8,1,1,2017-04-03,0906,Terra,MODIS,74,6.1,293.9,10.5
51.795,30.017,310.7,1,1,2017-04-03,1052,Aqua,MODIS,66,6.1,295.3,6.9
51.786,29.48,304.2,1.8,1.3,2017-04-04,0949,Terra,MODIS,40,6.1,292.3,9.3
51.81,29.562,324.3,1.1,1,2017-08-18,1046,Aqua,MODIS,58,6.1,304.1,16.4
51.787,28.316,305.9,1.1,1.1,2017-05-14,1046,Aqua,MODIS,29,6.1,295.1,4.4
51.785,30.136,304,1.4,1.2,2017-03-22,1028,Aqua,MODIS,58,6.1,280.2,11.6
51.623,30.304,315.6,1,1,2017-04-03,1052,Aqua,MODIS,73,6.1,297.1,10.8
51.807,30.23,311.6,1.9,1.4,2017-04-04,0949,Terra,MODIS,56,6.1,293.1,18.5
51.803,30.214,310.2,2.3,1.5,2017-04-04,1135,Aqua,MODIS,69,6.1,291.7,20.7
51.803,30.222,303.1,1.1,1,2017-04-12,0900,Terra,MODIS,28,6.1,280.6,5.7
51.787,30.193,302.9,1,1,2017-09-19,1046,Aqua,MODIS,36,6.1,292.2,3.7
54.06,31.144,301.5,1.4,1.2,2017-04-06,0936,Terra,MODIS,45,6.1,286,6.8
54.645,31.12,301.6,1.3,1.1,2017-05-18,1022,Aqua,MODIS,24,6.1,287.8,4.3
54.254,31.077,304.4,2.7,1.6,2017-04-04,1136,Aqua,MODIS,59,6.1,290.9,19
54.028,31.032,314.3,1,1,2017-08-09,1052,Aqua,MODIS,70,6.1,298.7,10.4
54.057,31.597,312.2,1.2,1.1,2017-04-15,0930,Terra,MODIS,62,6.1,274.3,17.5
54.094,31.526,307.3,2.2,1.4,2017-05-13,0954,Terra,MODIS,65,6.1,292.2,18.8
54.086,31.556,309.3,2.2,1.4,2017-05-13,0954,Terra,MODIS,68,6.1,293.5,22.7
54.087,31.54,305.8,3.3,1.7,2017-05-13,1142,Aqua,MODIS,57,6.1,290.4,25.7
54.096,31.535,303.3,3.3,1.7,2017-05-13,1142,Aqua,MODIS,48,6.1,289.8,16.9
54.094,31.571,315.7,1,1,2017-05-19,0917,Terra,MODIS,51,6.1,298.5,8.2
54.058,31.568,300.7,1.1,1,2017-09-26,1052,Aqua,MODIS,40,6.1,287.9,4.2
54.013,31.691,302.3,1.4,1.2,2017-04-09,1016,Aqua,MODIS,50,6.1,284.6,7.6
54.009,31.67,301.9,1.4,1.2,2017-04-09,1016,Aqua,MODIS,41,6.1,285.3,7.3
53.919,31.666,318.8,1,1,2017-04-21,1040,Aqua,MODIS,79,6.1,275.8,17.1
53.925,31.685,314.8,1.1,1.1,2017-09-01,1058,Aqua,MODIS,75,6.1,294.8,12.2
53.973,31.745,300.2,1.4,1.2,2017-04-09,1016,Aqua,MODIS,29,6.1,285.6,5.1
54.052,31.576,302.4,1.1,1,2017-09-26,1052,Aqua,MODIS,52,6.1,287.7,5.1
54.177,31.394,304.5,1.8,1.3,2017-04-04,0948,Terra,MODIS,59,6.1,287.9,13.4
