latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
51.158,4.961,321.8,1.6,1.3,2017-05-15,1122,Terra,MODIS,81,6.1,289.5,32.8
51.154,4.978,310.6,1.6,1.3,2017-05-15,1122,Terra,MODIS,69,6.1,289.2,15.3
51.226,5.385,307.4,1,1,2017-09-24,1058,Terra,MODIS,65,6.1,294.6,7.4
51.043,5.334,305.8,1,1,2017-03-16,1057,Terra,MODIS,62,6.1,289.9,7.1
51,3.498,309.1,1.2,1.1,2017-03-27,1225,Aqua,MODIS,67,6.1,291.5,9.5
51.091,3.663,307.2,1,1,2017-04-08,1103,Terra,MODIS,63,6.1,292.6,6
51.021,3.574,317.7,1.8,1.3,2017-05-09,1206,Aqua,MODIS,76,6.1,294.5,30
51.016,3.55,318,1.8,1.3,2017-05-09,1206,Aqua,MODIS,76,6.1,294.8,30.1
50.937,3.7,328.3,1.8,1.3,2017-08-29,1206,Aqua,MODIS,80,6.1,297.8,44.6
51.171,3.816,311.9,1.2,1.1,2017-01-06,1039,Terra,MODIS,63,6.1,272.3,21.1
51.173,3.816,314.4,1.7,1.3,2017-02-02,0233,Aqua,MODIS,89,6.1,275.9,39.2
51.172,3.818,306.6,1.6,1.2,2017-03-09,2202,Terra,MODIS,69,6.1,277,23.4
51.171,3.818,300.6,2.3,1.5,2017-03-26,1320,Aqua,MODIS,29,6.1,284.3,13
51.171,3.819,301.1,1.7,1.3,2017-04-20,1128,Terra,MODIS,39,6.1,282.7,9.1
51.171,3.816,306.3,1.1,1,2017-06-08,2144,Terra,MODIS,68,6.1,280.6,10.7
51.172,3.819,302.6,2.7,1.6,2017-06-18,2221,Terra,MODIS,50,6.1,290.7,25.4
51.172,3.818,313.3,1.2,1.1,2017-06-18,0144,Aqua,MODIS,87,6.1,288.7,18.2
51.171,3.818,316.4,1,1,2017-06-19,2125,Terra,MODIS,93,6.1,294.8,15.2
51.173,3.819,310,2.2,1.5,2017-06-22,0120,Aqua,MODIS,79,6.1,292.1,31.2
51.172,3.817,301.5,2,1.4,2017-07-02,2055,Terra,MODIS,42,6.1,285.1,20.4
51.173,3.816,315.8,1.1,1,2017-07-11,0150,Aqua,MODIS,92,6.1,278.1,19.1
51.171,3.816,310.2,1,1,2017-07-12,2131,Terra,MODIS,79,6.1,285.7,12.3
51.172,3.816,311.7,1.4,1.2,2017-07-13,0138,Aqua,MODIS,83,6.1,285.1,22.3
51.171,3.816,308.5,1.7,1.3,2017-07-28,0233,Aqua,MODIS,75,6.1,286,23.8
51.17,3.816,302.5,1.3,1.1,2017-01-03,0221,Aqua,MODIS,49,6.1,274.1,14.1
51.169,3.818,301.5,1,1,2017-02-18,2131,Terra,MODIS,41,6.1,275.2,9
51.17,3.816,307.1,1,1,2017-04-13,0157,Aqua,MODIS,70,6.1,281,11.8
51.17,3.818,302.5,1.9,1.3,2017-05-28,0126,Aqua,MODIS,49,6.1,286.6,17.6
51.17,3.816,308.5,1,1,2017-07-03,2138,Terra,MODIS,75,6.1,287.3,9.9
51.168,3.819,303.3,1,1,2017-07-05,2125,Terra,MODIS,54,6.1,289.1,6.5
51.169,3.816,312.7,1,1,2017-07-25,0202,Aqua,MODIS,86,6.1,286.1,13.2
51.169,3.819,302.7,1.1,1.1,2017-08-15,2120,Terra,MODIS,51,6.1,287.9,7.6
51.169,3.816,327.9,1.3,1.1,2017-09-09,2113,Terra,MODIS,100,6.1,284.7,41.5
51.17,3.819,301.1,1.4,1.2,2017-09-15,0138,Aqua,MODIS,37,6.1,281.6,12
51.169,3.819,310.5,1.1,1,2017-09-29,0150,Aqua,MODIS,80,6.1,281.1,13.6
51.172,3.819,300.9,1,1,2017-01-02,1103,Terra,MODIS,32,6.1,276.9,8.5
51.17,3.817,314.5,1,1,2017-01-17,2131,Terra,MODIS,89,6.1,271.5,18.9
51.173,3.818,302.3,1.4,1.2,2017-01-18,0138,Aqua,MODIS,48,6.1,271.2,16.6
51.17,3.817,301.5,1.1,1,2017-03-07,1249,Aqua,MODIS,41,6.1,282.9,5.9
51.171,3.819,306.8,1,1,2017-03-25,1237,Aqua,MODIS,58,6.1,283.1,7.1
51.171,3.817,323.4,1,1,2017-03-28,0157,Aqua,MODIS,100,6.1,280.6,26.3
51.171,3.817,307.6,1,1,2017-04-20,0203,Aqua,MODIS,72,6.1,274.8,13.4
51.172,3.818,301.2,1.7,1.3,2017-05-09,0233,Aqua,MODIS,38,6.1,278.1,19.8
51.171,3.818,309.8,2.4,1.5,2017-06-05,1140,Terra,MODIS,36,6.1,290.3,22.3
51.17,3.819,311.2,1,1,2017-08-23,1058,Terra,MODIS,66,6.1,284.2,8.5
51.172,3.817,314.2,1.3,1.1,2017-08-27,1218,Aqua,MODIS,27,6.1,298.6,8.6
51.167,3.819,301.7,1.1,1,2017-03-21,0151,Aqua,MODIS,43,6.1,275.2,9.3
51.169,3.819,307.3,1.1,1.1,2017-04-02,0215,Aqua,MODIS,71,6.1,279.5,14.4
51.167,3.817,310.8,1,1,2017-04-03,1231,Aqua,MODIS,57,6.1,293,8.5
51.169,3.817,332.4,1,1,2017-04-17,1057,Terra,MODIS,67,6.1,281.7,33.3
51.169,3.817,311.1,1.3,1.1,2017-05-21,2156,Terra,MODIS,82,6.1,285.3,20.2
51.168,3.819,301,1.4,1.2,2017-05-26,0138,Aqua,MODIS,21,6.1,287.5,9
51.167,3.817,314.4,1.5,1.2,2017-07-18,1122,Terra,MODIS,24,6.1,297.9,10.5
51.167,3.818,308.8,1.1,1.1,2017-07-23,0215,Aqua,MODIS,76,6.1,284.6,13
51.169,3.818,306.2,1.1,1,2017-08-28,0150,Aqua,MODIS,67,6.1,288.4,9.2
51.167,3.817,326.8,1.1,1.1,2017-08-31,2120,Terra,MODIS,100,6.1,284.6,32.5
51.006,4.059,304.3,1.1,1.1,2017-03-27,1225,Aqua,MODIS,57,6.1,293.1,5.4
51.025,4.056,313.8,1.1,1,2017-05-10,1103,Terra,MODIS,67,6.1,298.1,8.7
51.23,5.393,309.6,1,1,2017-03-16,1057,Terra,MODIS,60,6.1,291.7,9
50.823,5.218,312.5,1.8,1.3,2017-07-05,1200,Aqua,MODIS,48,6.1,296.6,11.3
51.233,5.394,307.4,1,1,2017-09-24,1058,Terra,MODIS,52,6.1,293,6.5
51.048,5.33,307.9,1,1,2017-09-24,1058,Terra,MODIS,66,6.1,291.8,7.5
51.175,3.813,312.4,1,1,2017-03-23,1103,Terra,MODIS,63,6.1,288.1,11.9
51.174,3.814,319.1,1.1,1.1,2017-03-30,1109,Terra,MODIS,68,6.1,295.1,15.7
51.175,3.818,307.3,1,1,2017-05-31,0157,Aqua,MODIS,71,6.1,286.5,10.2
51.174,3.813,319.8,1,1,2017-08-10,0202,Aqua,MODIS,99,6.1,286.6,20
51.174,3.819,316.9,1,1,2017-08-19,0156,Aqua,MODIS,94,6.1,285.4,17.8
51.174,3.819,306.9,1.9,1.3,2017-09-01,0126,Aqua,MODIS,70,6.1,283.8,27.1
51.174,3.82,300.8,2,1.4,2017-09-21,0239,Aqua,MODIS,33,6.1,281.9,21
51.175,3.809,305.8,1.2,1.1,2017-03-14,0145,Aqua,MODIS,66,6.1,277,15
51.175,3.811,310.4,1,1,2017-03-16,1243,Aqua,MODIS,0,6.1,294.5,8.2
51.175,3.809,307.1,1.3,1.1,2017-05-11,0221,Aqua,MODIS,54,6.1,280.9,15.9
51.174,3.812,325.7,1,1,2017-05-22,0203,Aqua,MODIS,100,6.1,284.7,27.1
51.175,3.812,310.2,1.7,1.3,2017-06-10,1206,Aqua,MODIS,22,6.1,293,10.4
51.174,3.812,302.1,2,1.4,2017-06-16,2055,Terra,MODIS,47,6.1,285.7,19.9
51.174,3.81,313.1,1,1,2017-09-27,0202,Aqua,MODIS,86,6.1,285.8,15
50.903,4.478,318.1,1,1,2017-05-28,1051,Terra,MODIS,52,6.1,300,6.5
50.901,4.492,317.3,1,1,2017-05-28,1051,Terra,MODIS,36,6.1,299.9,6.4
50.796,4.321,314.4,2.2,1.4,2017-06-14,1134,Terra,MODIS,56,6.1,299.1,20.7
51.18,3.815,302.3,1.3,1.1,2017-02-04,0221,Aqua,MODIS,26,6.1,277.7,12.1
51.178,3.812,306.4,1.1,1.1,2017-02-13,0215,Aqua,MODIS,68,6.1,275.2,14
51.178,3.809,301.2,1.1,1.1,2017-03-24,2119,Terra,MODIS,31,6.1,280.1,9
51.178,3.814,311,1.5,1.2,2017-03-28,1122,Terra,MODIS,65,6.1,293.1,14.2
51.178,3.813,300.6,1,1,2017-04-29,0157,Aqua,MODIS,30,6.1,278.9,8.2
51.178,3.815,313.3,1,1,2017-05-10,1103,Terra,MODIS,58,6.1,300.2,7
51.178,3.812,306.5,1.3,1.1,2017-05-27,0221,Aqua,MODIS,67,6.1,290.8,11.6
51.18,3.813,300.3,1.6,1.2,2017-06-04,0132,Aqua,MODIS,24,6.1,280.1,13.8
51.179,3.811,303.1,1,1,2017-06-14,0209,Aqua,MODIS,38,6.1,286.8,7.8
51.18,3.812,302,1.6,1.2,2017-06-20,0132,Aqua,MODIS,42,6.1,291.2,10.7
51.178,3.812,302,1,1,2017-07-03,2138,Terra,MODIS,34,6.1,287.1,5.6
