latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
44.903,15.788,304,1,1,2017-03-17,1003,Terra,MODIS,47,6.1,292.2,3.7
44.993,15.976,310.4,1.5,1.2,2017-06-26,1022,Terra,MODIS,62,6.1,297.5,11
45.145,15.825,331.8,1.1,1.1,2017-07-23,1146,Aqua,MODIS,83,6.1,307,20.1
44.848,15.774,322.4,3,1.7,2017-08-09,1046,Terra,MODIS,69,6.1,299.1,63.2
44.107,16.933,327.6,1,1,2017-02-15,0951,Terra,MODIS,85,6.1,283,27.5
44.096,16.943,306.9,1,1,2017-02-15,0951,Terra,MODIS,29,6.1,281,9.2
44.107,16.934,306.4,1.4,1.2,2017-02-15,1133,Aqua,MODIS,31,6.1,281.5,13.1
44.681,16.936,324.9,1.7,1.3,2017-03-27,1223,Aqua,MODIS,83,6.1,290,48.9
44.679,16.915,306.2,1.7,1.3,2017-03-27,1223,Aqua,MODIS,63,6.1,288.4,13.5
44.678,16.93,323.8,1.7,1.3,2017-03-27,1223,Aqua,MODIS,83,6.1,289.3,43.4
44.122,16.945,310.6,2.1,1.4,2017-03-29,1028,Terra,MODIS,70,6.1,292.5,23.5
43.879,16.91,312.4,1.4,1.2,2017-03-30,0933,Terra,MODIS,54,6.1,294.7,12.5
44.713,16.954,306.8,1.4,1.2,2017-03-31,1015,Terra,MODIS,51,6.1,296.1,7.2
44.242,16.963,317.9,1,1,2017-03-31,1158,Aqua,MODIS,56,6.1,299.9,13.4
44.72,16.946,312,1,1,2017-03-31,1158,Aqua,MODIS,64,6.1,296.5,6.7
44.726,16.957,323,1.1,1,2017-04-02,1003,Terra,MODIS,77,6.1,295.5,17
44.117,16.923,355.5,1.1,1,2017-04-02,1003,Terra,MODIS,98,6.1,299,78.4
44.111,16.907,310.8,1.1,1,2017-04-02,1003,Terra,MODIS,25,6.1,295.3,6.1
44.108,16.92,320.3,1.1,1,2017-04-02,1003,Terra,MODIS,80,6.1,296.4,15.3
43.893,16.922,307.3,1.1,1,2017-04-02,1003,Terra,MODIS,47,6.1,295.1,4.1
43.894,16.903,320.7,1.1,1,2017-04-02,1146,Aqua,MODIS,79,6.1,298.1,15.9
44.12,16.923,338,1.1,1,2017-04-02,1146,Aqua,MODIS,90,6.1,297.5,39.9
44.128,16.93,327.4,1.1,1,2017-08-08,1145,Aqua,MODIS,78,6.1,313.5,12.4
44.282,16.924,325,3.7,1.8,2017-08-09,1046,Terra,MODIS,79,6.1,303,93.4
44.271,16.967,318,3.7,1.8,2017-08-09,1046,Terra,MODIS,63,6.1,302,46.7
44.29,16.923,318.4,3.7,1.8,2017-08-09,1046,Terra,MODIS,40,6.1,302.3,45.8
44.282,16.9,326.6,2.1,1.4,2017-08-09,2016,Terra,MODIS,100,6.1,291.2,70.4
44.278,16.935,303,1.4,1.2,2017-08-09,0121,Aqua,MODIS,53,6.1,287.9,12
44.269,16.947,325.2,2.1,1.4,2017-08-09,1228,Aqua,MODIS,45,6.1,307.5,32.5
44.282,16.912,347.9,2.1,1.4,2017-08-09,1228,Aqua,MODIS,94,6.1,309.7,133.2
44.3,16.94,333.5,1,1,2017-08-10,0952,Terra,MODIS,52,6.1,309,20.7
44.27,16.957,330.5,1,1,2017-08-10,0952,Terra,MODIS,77,6.1,306.9,15.5
44.273,16.96,300.7,1.1,1,2017-08-10,2059,Terra,MODIS,30,6.1,289.5,4.7
44.305,16.912,303.2,1.1,1,2017-08-10,2059,Terra,MODIS,42,6.1,292.2,5.7
44.274,16.915,308,2.1,1.4,2017-08-10,0026,Aqua,MODIS,61,6.1,290.1,22
43.762,16.916,322,1.2,1.1,2017-08-28,0940,Terra,MODIS,66,6.1,305,12.7
44.109,16.773,309.5,1.4,1.2,2017-02-16,1216,Aqua,MODIS,53,6.1,289.4,13.2
44.103,16.769,310.5,1.4,1.2,2017-02-16,1216,Aqua,MODIS,66,6.1,291.2,14.5
43.918,16.768,308.5,1.4,1.2,2017-03-15,1016,Terra,MODIS,67,6.1,288.8,14.2
43.907,16.765,311.2,1.4,1.2,2017-03-15,1016,Terra,MODIS,71,6.1,285.9,17.4
44.729,16.786,314.9,1.2,1.1,2017-03-29,1211,Aqua,MODIS,64,6.1,295.5,10.7
44.741,16.799,319.4,1.2,1.1,2017-03-29,1211,Aqua,MODIS,76,6.1,298.1,16.1
44.792,16.742,310.1,1,1,2017-07-16,0957,Terra,MODIS,0,6.1,287.9,7
43.833,16.752,345.8,2.1,1.4,2017-08-04,1028,Terra,MODIS,92,6.1,303.8,119.9
43.828,16.746,315.3,3,1.6,2017-08-04,2136,Terra,MODIS,58,6.1,294.9,61.6
43.858,16.744,304,3,1.6,2017-08-04,2136,Terra,MODIS,7,6.1,292.7,26.5
43.794,16.751,325.8,1.4,1.2,2017-08-05,0933,Terra,MODIS,21,6.1,306.7,15.8
43.834,16.753,309.3,3,1.7,2017-08-05,0145,Aqua,MODIS,70,6.1,292,44.6
43.834,16.749,308.8,3,1.7,2017-08-05,0145,Aqua,MODIS,35,6.1,291.8,39.5
43.806,16.766,329.1,2.7,1.6,2017-08-05,1115,Aqua,MODIS,64,6.1,301.9,64.4
43.82,16.761,330.6,2.7,1.6,2017-08-05,1115,Aqua,MODIS,54,6.1,300.6,68
43.817,16.773,319.5,1.1,1,2017-08-06,0050,Aqua,MODIS,98,6.1,296.3,17.1
43.816,16.786,317.4,1.1,1,2017-08-06,0050,Aqua,MODIS,86,6.1,295.1,15.1
43.782,16.772,356.7,1,1,2017-08-06,1157,Aqua,MODIS,98,6.1,315.7,59.1
43.791,16.769,342.9,1,1,2017-08-06,1157,Aqua,MODIS,89,6.1,315.6,27.2
43.81,16.777,344.3,1,1,2017-08-06,1157,Aqua,MODIS,71,6.1,311.8,34.5
43.819,16.774,339.7,1,1,2017-08-06,1157,Aqua,MODIS,56,6.1,306.2,27.2
43.855,16.758,334,1,1,2017-08-06,1157,Aqua,MODIS,82,6.1,308.8,20.8
43.848,16.776,350.4,1.1,1,2017-08-08,1004,Terra,MODIS,95,6.1,308.9,59.2
43.839,16.773,335.1,1.1,1,2017-08-08,1004,Terra,MODIS,84,6.1,304,28.4
43.842,16.775,389,1.1,1,2017-08-08,1145,Aqua,MODIS,100,6.1,316.6,210.1
43.849,16.78,328.3,1.1,1,2017-08-08,1145,Aqua,MODIS,70,6.1,307,17.8
43.847,16.767,341.3,1.1,1,2017-08-08,1145,Aqua,MODIS,89,6.1,310,38.5
43.888,16.704,307.7,1.1,1,2017-03-17,1146,Aqua,MODIS,39,6.1,290.7,7.4
44,16.704,306.8,1.1,1,2017-03-17,1146,Aqua,MODIS,49,6.1,295.1,5.6
43.943,16.707,306.3,2.2,1.4,2017-03-21,1122,Aqua,MODIS,21,6.1,294.3,12.5
44.696,16.708,310,1.6,1.2,2017-03-22,1022,Terra,MODIS,67,6.1,298,11.2
43.992,16.67,311.7,1,1,2017-04-11,0957,Terra,MODIS,69,6.1,299.5,5.4
43.9,16.666,339,3.6,1.8,2017-07-24,1046,Terra,MODIS,89,6.1,293.9,235
43.891,16.677,329.2,1,1,2017-08-01,0958,Terra,MODIS,40,6.1,312.4,14.2
43.862,16.718,316.9,2.7,1.6,2017-08-02,2010,Terra,MODIS,94,6.1,293.6,56.7
43.879,16.701,309.3,2.7,1.6,2017-08-02,2010,Terra,MODIS,17,6.1,295.1,32.7
43.891,16.685,302.1,1.2,1.1,2017-08-02,0115,Aqua,MODIS,47,6.1,287.7,7.9
43.87,16.678,365.3,1.6,1.3,2017-08-02,1222,Aqua,MODIS,100,6.1,310.9,172.5
43.882,16.677,334.3,1.6,1.3,2017-08-02,1222,Aqua,MODIS,54,6.1,308.7,35
44.091,16.684,334.2,1.1,1,2017-08-03,0945,Terra,MODIS,57,6.1,311.2,22.9
44.089,16.697,354.6,1.1,1,2017-08-03,0945,Terra,MODIS,97,6.1,310.9,67.8
44.081,16.682,343.5,1.1,1,2017-08-03,0945,Terra,MODIS,91,6.1,311.7,40.9
43.867,16.722,334.4,1.1,1,2017-08-03,0946,Terra,MODIS,63,6.1,309.4,23.8
43.854,16.677,334.2,1.1,1,2017-08-03,0946,Terra,MODIS,29,6.1,311.4,15.6
43.852,16.69,357.9,1.1,1,2017-08-03,0946,Terra,MODIS,98,6.1,316.6,67.3
43.843,16.688,360.6,1.1,1,2017-08-03,0946,Terra,MODIS,100,6.1,311.8,79.2
43.84,16.729,337.5,1,1,2017-08-03,2053,Terra,MODIS,100,6.1,296.4,37.2
43.838,16.717,326.1,1,1,2017-08-03,2053,Terra,MODIS,100,6.1,296.8,21.2
43.849,16.727,343.1,1,1,2017-08-03,2053,Terra,MODIS,100,6.1,297.9,47.1
43.857,16.724,312.9,1,1,2017-08-03,2053,Terra,MODIS,42,6.1,294.7,9.6
43.866,16.722,320.8,1,1,2017-08-03,2053,Terra,MODIS,100,6.1,294.8,16.8
43.866,16.717,312.6,2.6,1.5,2017-08-03,0020,Aqua,MODIS,85,6.1,291.2,45.6
43.838,16.722,340.3,1.8,1.3,2017-08-03,1127,Aqua,MODIS,86,6.1,308.7,76.6
43.845,16.713,341.4,1.8,1.3,2017-08-03,1127,Aqua,MODIS,52,6.1,311.2,73.2
43.856,16.709,341.1,1.8,1.3,2017-08-03,1127,Aqua,MODIS,75,6.1,310,71.3
44.075,16.673,334.7,1.8,1.3,2017-08-03,1127,Aqua,MODIS,77,6.1,303.6,60.5
43.84,16.734,377.1,2.1,1.4,2017-08-04,1028,Terra,MODIS,100,6.1,311.8,367
43.851,16.733,354.7,2.1,1.4,2017-08-04,1028,Terra,MODIS,96,6.1,310.2,166.7
43.838,16.729,363.8,2.1,1.4,2017-08-04,1028,Terra,MODIS,100,6.1,311.5,237
43.818,16.712,312,3.9,1.8,2017-08-04,1958,Terra,MODIS,84,6.1,294.5,66.7
44.084,16.718,305.7,3.8,1.8,2017-08-04,1958,Terra,MODIS,65,6.1,291.3,50.8
43.812,16.721,310.1,3,1.6,2017-08-04,2135,Terra,MODIS,71,6.1,294,38.5
44.086,16.711,302,1,1,2017-08-04,0103,Aqua,MODIS,43,6.1,286.4,5.3
43.87,16.726,307,1,1,2017-08-04,0103,Aqua,MODIS,70,6.1,287.9,7.8
43.861,16.729,301.6,1,1,2017-08-04,0103,Aqua,MODIS,37,6.1,288.2,5.1
43.852,16.727,319.6,1,1,2017-08-04,0103,Aqua,MODIS,99,6.1,291.2,17.2
43.843,16.724,317,1,1,2017-08-04,0103,Aqua,MODIS,87,6.1,292.8,13.9
43.834,16.722,312.8,1,1,2017-08-04,0103,Aqua,MODIS,86,6.1,293.9,10.9
43.846,16.733,374.5,1.2,1.1,2017-08-04,1210,Aqua,MODIS,100,6.1,312.1,145.8
43.865,16.729,348.7,1.2,1.1,2017-08-04,1210,Aqua,MODIS,91,6.1,309.3,55.3
43.867,16.723,331,1.2,1.1,2017-08-04,1210,Aqua,MODIS,33,6.1,308.2,19.4
43.795,16.733,327.3,1.4,1.2,2017-08-05,0933,Terra,MODIS,31,6.1,307.6,16.8
43.791,16.722,314.4,1.1,1.1,2017-08-05,2040,Terra,MODIS,89,6.1,297.8,10.5
43.797,16.728,323.4,1.1,1.1,2017-08-05,2040,Terra,MODIS,100,6.1,298.3,20.1
43.804,16.712,307.9,1.1,1.1,2017-08-05,2040,Terra,MODIS,73,6.1,297.3,6.4
44.092,16.7,332.9,1.1,1,2017-08-05,2040,Terra,MODIS,100,6.1,294.5,37.4
44.103,16.712,303.4,1.1,1,2017-08-05,2040,Terra,MODIS,22,6.1,292,5.4
