latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
45.053,18.41,305.9,1,1,2017-10-02,1150,Aqua,MODIS,60,6.0NRT,293.9,5,D
45.052,18.397,307.2,1,1,2017-10-02,1150,Aqua,MODIS,63,6.0NRT,294.1,6,D
44.792,19.298,309.3,1,1,2017-10-20,1135,Aqua,MODIS,60,6.0NRT,296.7,5.2,D
44.739,19.3,308.9,1.1,1.1,2017-10-13,1130,Aqua,MODIS,57,6.0NRT,296.6,6.2,D
43.061,17.779,305.7,1,1,2017-10-25,0050,Aqua,MODIS,65,6.0NRT,279.5,10.5,N
43.059,17.792,301.2,1,1,2017-10-25,0050,Aqua,MODIS,38,6.0NRT,280.5,7.8,N
43.075,17.786,337.3,1.7,1.3,2017-10-25,1015,Terra,MODIS,90,6.0NRT,292.5,81.1,D
43.071,17.805,320.5,1.7,1.3,2017-10-25,1015,Terra,MODIS,80,6.0NRT,290.5,36.7,D
43.064,17.781,327.5,1.7,1.3,2017-10-25,1015,Terra,MODIS,64,6.0NRT,292.3,51.5,D
43.06,17.801,321.7,1.7,1.3,2017-10-25,1015,Terra,MODIS,61,6.0NRT,290.9,38.6,D
43.063,17.785,340.6,1,1,2017-10-25,1155,Aqua,MODIS,70,6.0NRT,295,42.2,D
43.061,17.773,336.3,1,1,2017-10-25,1155,Aqua,MODIS,76,6.0NRT,293.7,34.8,D
43.072,17.783,326.8,1,1,2017-10-25,1155,Aqua,MODIS,80,6.0NRT,293.2,24.4,D
43.07,17.771,319,1,1,2017-10-25,1155,Aqua,MODIS,79,6.0NRT,293.1,15.6,D
44.216,17.901,306.3,1,1,2017-10-02,1150,Aqua,MODIS,61,6.0NRT,295.3,5.2,D
45.054,18.601,306.9,1.1,1,2017-10-04,1135,Aqua,MODIS,59,6.0NRT,292.5,6.4,D
44.075,16.625,323.4,1.5,1.2,2017-10-29,1130,Aqua,MODIS,63,6.0NRT,275.2,38.5,D
43.984,16.683,303.2,1.1,1,2017-11-01,1200,Aqua,MODIS,55,6.0NRT,287.4,6.2,D
45.074,17.473,301.9,1.2,1.1,2017-10-15,0935,Terra,MODIS,50,6.0NRT,291.5,4,D
45.072,17.488,309.6,1.2,1.1,2017-10-15,0935,Terra,MODIS,69,6.0NRT,291.8,10.2,D
45.128,18.051,305,1.1,1,2017-10-20,1135,Aqua,MODIS,46,6.0NRT,294.9,4.8,D
