latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
43.617,23.58,330.4,1,1,2017-08-03,1126,Aqua,MODIS,53,6.1,315.9,12.7
43.717,23.507,389.8,1,1,2017-08-03,1126,Aqua,MODIS,100,6.1,318.6,180.6
43.731,23.581,300.6,3.6,1.8,2017-08-08,2343,Aqua,MODIS,31,6.1,289,26.9
43.726,23.585,321.2,2.5,1.5,2017-08-09,1050,Aqua,MODIS,59,6.1,297,37.4
43.72,23.584,325.3,2.5,1.5,2017-08-09,1050,Aqua,MODIS,71,6.1,298,54
43.795,23.492,322.3,1,1,2017-08-26,1133,Aqua,MODIS,29,6.1,309.4,5.5
43.78,23.477,302,1,1,2017-09-01,2022,Terra,MODIS,46,6.1,289.8,5.1
43.812,23.637,300,1.5,1.2,2017-09-13,2046,Terra,MODIS,11,6.1,286.3,9.8
43.633,23.459,373.5,1.6,1.2,2017-08-02,0902,Terra,MODIS,100,6.1,312,230.4
43.671,23.424,322,3.9,1.8,2017-08-02,1222,Aqua,MODIS,70,6.1,307.6,53.2
43.634,23.468,337,1.3,1.1,2017-08-03,0945,Terra,MODIS,61,6.1,314.1,32.6
43.627,23.449,331.4,1.3,1.1,2017-08-03,0945,Terra,MODIS,38,6.1,311.9,19.9
43.624,23.465,340,1.3,1.1,2017-08-03,0945,Terra,MODIS,88,6.1,314,40.4
43.618,23.465,334.7,1,1,2017-08-03,1126,Aqua,MODIS,48,6.1,318.5,13.4
43.616,23.452,334.7,1,1,2017-08-03,1126,Aqua,MODIS,40,6.1,320,13.2
43.627,23.462,342.1,1,1,2017-08-03,1126,Aqua,MODIS,83,6.1,319.5,25.5
43.753,23.468,348.2,1,1,2017-08-10,1133,Aqua,MODIS,93,6.1,312.4,42.1
43.636,23.421,333.9,1.1,1.1,2017-09-13,0939,Terra,MODIS,86,6.1,300.4,30.1
43.63,23.431,318.7,1.1,1,2017-09-13,1120,Aqua,MODIS,69,6.1,302.9,6.9
43.783,23.386,334,1,1,2017-09-15,0927,Terra,MODIS,85,6.1,305.1,24.5
43.685,22.921,340.8,2.7,1.6,2017-08-09,1050,Aqua,MODIS,78,6.1,300.9,144
43.637,22.904,350.9,1.4,1.2,2017-08-10,0951,Terra,MODIS,95,6.1,306.9,86
43.721,22.86,322.2,1.7,1.3,2017-09-02,0958,Terra,MODIS,71,6.1,301,22
43.723,22.859,361.1,1,1,2017-09-02,1139,Aqua,MODIS,100,6.1,307.7,80.8
43.721,22.846,334.5,1,1,2017-09-02,1139,Aqua,MODIS,82,6.1,304.5,23.1
44.168,22.756,309.8,1.2,1.1,2017-03-17,1146,Aqua,MODIS,60,6.1,294.9,8
44.024,22.59,329.8,1,1,2017-08-17,1139,Aqua,MODIS,81,6.1,305.5,19.1
43.997,22.682,300.3,1,1,2017-09-15,2034,Terra,MODIS,23,6.1,288.2,5.5
43.854,23.551,306.6,2,1.4,2017-03-04,0856,Terra,MODIS,60,6.1,288.7,16.1
43.815,23.465,327.9,2,1.4,2017-06-29,1056,Aqua,MODIS,74,6.1,305.7,40.9
43.864,23.355,325.2,1.3,1.1,2017-08-19,0945,Terra,MODIS,0,6.1,306,20.1
43.869,23.349,328,1.4,1.2,2017-08-25,0909,Terra,MODIS,52,6.1,302.9,27.3
43.867,23.366,338.6,1.4,1.2,2017-08-25,0909,Terra,MODIS,50,6.1,304.4,51
43.88,23.371,328,3.2,1.7,2017-09-07,1016,Terra,MODIS,71,6.1,299.7,95.3
43.853,23.537,317.6,1.3,1.1,2017-09-10,0909,Terra,MODIS,45,6.1,302.8,9.6
43.822,23.402,323.8,3,1.6,2017-09-14,0844,Terra,MODIS,64,6.1,303.4,62.1
43.789,23.336,305.7,1.1,1,2017-03-05,0939,Terra,MODIS,56,6.1,291.5,4.4
43.66,23.351,305.4,1.1,1,2017-07-13,2034,Terra,MODIS,29,6.1,289.8,8.7
43.798,23.302,321,1,1,2017-07-20,0933,Terra,MODIS,43,6.1,305,10.3
43.789,23.305,330.2,1,1,2017-07-20,0933,Terra,MODIS,81,6.1,306.3,22.6
43.624,23.301,323.8,1.2,1.1,2017-07-20,1114,Aqua,MODIS,33,6.1,306.9,11.9
43.634,23.298,337.6,1.2,1.1,2017-07-20,1114,Aqua,MODIS,87,6.1,307.7,36.4
43.653,23.291,323.3,1.2,1.1,2017-07-20,1114,Aqua,MODIS,52,6.1,303,13.4
43.75,23.378,304.2,1,1,2017-07-22,2028,Terra,MODIS,59,6.1,291.7,5.5
43.649,23.241,306.3,1.4,1.2,2017-07-27,2046,Terra,MODIS,68,6.1,288,12.5
43.644,23.236,303.1,1.4,1.2,2017-07-27,2046,Terra,MODIS,53,6.1,287.6,9.3
43.625,23.315,302.3,1,1,2017-07-31,2022,Terra,MODIS,48,6.1,291.8,4.9
43.654,23.234,324.9,1.6,1.3,2017-08-18,0903,Terra,MODIS,76,6.1,305.6,20.1
43.645,23.226,330.4,1.6,1.3,2017-08-18,0903,Terra,MODIS,82,6.1,306,33
43.795,23.233,318.4,1,1,2017-09-06,0933,Terra,MODIS,58,6.1,300.8,8.1
43.783,23.191,358.5,1,1,2017-09-06,0933,Terra,MODIS,99,6.1,305.3,75.5
43.781,23.203,323.6,1,1,2017-09-06,0933,Terra,MODIS,79,6.1,301.8,12.7
43.775,23.188,326.6,1,1,2017-09-06,0933,Terra,MODIS,81,6.1,303.3,15.7
43.668,23.337,327.7,1.4,1.2,2017-09-16,1151,Aqua,MODIS,75,6.1,311.1,13
43.659,23.267,322.2,1.8,1.3,2017-09-18,0958,Terra,MODIS,76,6.1,303.6,21.1
43.704,23.381,319.5,1.7,1.3,2017-09-24,1102,Aqua,MODIS,76,6.1,299,22
43.767,22.967,335.2,1,1,2017-03-03,1133,Aqua,MODIS,89,6.1,278.6,36
43.772,23.15,327.9,1.1,1,2017-07-11,1120,Aqua,MODIS,60,6.1,310.1,16
43.652,23.131,327.3,1,1,2017-07-29,0927,Terra,MODIS,77,6.1,307.3,13.4
43.742,23.111,303.2,1.1,1,2017-07-29,2034,Terra,MODIS,54,6.1,290.7,6
43.646,23.131,324.8,1.5,1.2,2017-07-29,1108,Aqua,MODIS,28,6.1,304.4,24
43.648,23.106,315.4,4.6,2,2017-07-30,0832,Terra,MODIS,52,6.1,298.1,51.8
43.649,23.101,313.3,4.6,2,2017-07-30,0832,Terra,MODIS,49,6.1,298,39.8
43.749,23.098,328.1,1.1,1,2017-09-18,1139,Aqua,MODIS,77,6.1,310.5,14.1
43.747,23.161,308.8,1.2,1.1,2017-09-19,2009,Terra,MODIS,75,6.1,288.1,12.9
43.756,23.155,308.8,1.2,1.1,2017-09-20,0020,Aqua,MODIS,76,6.1,285.3,14.4
43.783,22.456,313,1,1,2017-02-24,1127,Aqua,MODIS,70,6.1,290.1,11.2
43.813,22.373,312,1.9,1.3,2017-03-22,1204,Aqua,MODIS,62,6.1,295.5,16.8
43.755,22.905,324.2,1,1,2017-07-02,1127,Aqua,MODIS,45,6.1,305.2,10.2
43.965,22.846,327.7,1.1,1,2017-08-12,0939,Terra,MODIS,65,6.1,303.8,13.1
44.057,22.889,311,3.9,1.8,2017-09-23,0838,Terra,MODIS,67,6.1,294.1,48.5
