latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42.273,25.633,317.6,1,1,2017-10-06,1125,Aqua,MODIS,72,6.0NRT,288.2,10.9,D
42.587,24.871,317.3,1,1,2017-10-17,0925,Terra,MODIS,75,6.0NRT,300.5,10.4,D
42.581,24.862,310.1,1,1,2017-10-17,0925,Terra,MODIS,60,6.0NRT,299.7,5.3,D
42.284,25.077,315.3,1.1,1,2017-10-17,0925,Terra,MODIS,72,6.0NRT,298.6,9.6,D
42.104,24.83,304.6,1.9,1.3,2017-10-23,0850,Terra,MODIS,42,6.0NRT,285.7,14.9,D
42.1,24.822,305.4,1.9,1.3,2017-10-23,0850,Terra,MODIS,41,6.0NRT,284.8,13.9,D
41.608,25.393,305.1,1.1,1,2017-10-24,1110,Aqua,MODIS,54,6.0NRT,286.1,7.1,D
42.126,25.639,306,1.1,1,2017-11-02,0925,Terra,MODIS,63,6.0NRT,287.6,8.1,D
42.163,24.976,302.9,1.1,1,2017-11-02,0925,Terra,MODIS,54,6.0NRT,286.8,6.3,D
42.317,27.01,304.1,1,1,2017-10-03,0915,Terra,MODIS,36,6.0NRT,290.4,5,D
42.554,26.728,317.6,1.4,1.2,2017-10-04,1135,Aqua,MODIS,71,6.0NRT,296.9,16,D
42.559,26.72,311.8,1.4,1.2,2017-10-04,1135,Aqua,MODIS,51,6.0NRT,296,7.9,D
42.296,26.681,312,1.1,1,2017-10-05,0900,Terra,MODIS,69,6.0NRT,298.5,7.1,D
42.837,26.359,309.2,2.3,1.5,2017-10-13,0950,Terra,MODIS,66,6.0NRT,291.5,32,D
42.423,26.476,315.3,1.2,1.1,2017-10-13,1130,Aqua,MODIS,67,6.0NRT,300.4,10,D
42.454,26.397,327.9,1.2,1.1,2017-10-13,1130,Aqua,MODIS,82,6.0NRT,299.5,25.4,D
42.452,26.383,315.4,1.2,1.1,2017-10-13,1130,Aqua,MODIS,68,6.0NRT,299.5,9.7,D
42.614,26.768,308.4,1.1,1,2017-10-17,1105,Aqua,MODIS,40,6.0NRT,293.1,4.3,D
42.887,26.386,319.3,1,1,2017-10-19,0915,Terra,MODIS,79,6.0NRT,279.5,18.2,D
42.487,27.011,314.4,1.5,1.2,2017-10-20,1135,Aqua,MODIS,53,6.0NRT,301.2,12.1,D
42.364,26.43,305.7,1,1,2017-10-22,1125,Aqua,MODIS,30,6.0NRT,285.1,4.9,D
42.278,26.418,310.7,1,1,2017-10-31,1120,Aqua,MODIS,70,6.0NRT,286.8,11,D
42.277,26.406,302.1,1,1,2017-10-31,1120,Aqua,MODIS,48,6.0NRT,286.6,5.5,D
42.36,26.439,301.8,1.2,1.1,2017-11-02,0925,Terra,MODIS,49,6.0NRT,288.2,5.8,D
43.105,26.521,303.3,1.1,1,2017-11-23,1125,Aqua,MODIS,56,6.0NRT,284.2,8,D
42.167,26.614,307.5,1.1,1,2017-12-09,1125,Aqua,MODIS,65,6.0NRT,288,9.4,D
42.176,26.612,300.1,1.1,1,2017-12-09,1125,Aqua,MODIS,28,6.0NRT,287.6,4.5,D
43.881,23.367,324.4,1.8,1.3,2017-10-20,0955,Terra,MODIS,81,6.0NRT,299.3,38.1,D
43.87,23.362,324.9,1.8,1.3,2017-10-20,0955,Terra,MODIS,52,6.0NRT,299.5,38.7,D
43.874,23.362,317.3,1.1,1,2017-10-20,1135,Aqua,MODIS,54,6.0NRT,302.7,8.8,D
43.912,26.689,314.8,1.1,1.1,2017-10-01,0925,Terra,MODIS,75,6.0NRT,292.3,14,D
43.955,26.387,318.9,1.1,1,2017-10-01,0925,Terra,MODIS,79,6.0NRT,295.1,15,D
43.952,26.401,326.9,1.1,1,2017-10-01,0925,Terra,MODIS,85,6.0NRT,294.4,24.6,D
43.948,26.393,332.8,1.1,1,2017-10-01,0925,Terra,MODIS,77,6.0NRT,295.7,34.6,D
43.945,26.407,311.5,1.1,1,2017-10-01,0925,Terra,MODIS,34,6.0NRT,295,8.8,D
43.907,26.694,305.2,1.1,1,2017-10-01,1105,Aqua,MODIS,49,6.0NRT,281.8,6,D
43.987,26.677,324.9,1.1,1,2017-10-01,1105,Aqua,MODIS,72,6.0NRT,290,22.3,D
43.985,26.664,343.6,1.1,1,2017-10-01,1105,Aqua,MODIS,93,6.0NRT,292.1,51.8,D
43.949,26.387,322.6,1.1,1,2017-10-01,1105,Aqua,MODIS,82,6.0NRT,289.3,20.5,D
43.964,26.401,307.9,3,1.6,2017-10-02,0830,Terra,MODIS,43,6.0NRT,294,23.2,D
