latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
44.512,15.488,300.9,1,1,2017-01-01,1204,Aqua,MODIS,24,6.1,278,7
44.436,15.616,312.1,2.4,1.5,2017-02-17,1121,Aqua,MODIS,72,6.1,282.1,43.7
44.429,15.587,305.9,2.4,1.5,2017-02-17,1121,Aqua,MODIS,57,6.1,283.7,28.3
44.444,15.608,307.1,2.4,1.5,2017-02-17,1121,Aqua,MODIS,65,6.1,283.2,32.1
44.576,15.756,305.4,1.1,1,2017-03-13,1210,Aqua,MODIS,61,6.1,289.4,7.5
44.497,15.505,316.6,2.5,1.5,2017-03-16,0920,Terra,MODIS,77,6.1,288.1,55.1
44.493,15.525,305,4.4,1.9,2017-03-16,1058,Terra,MODIS,60,6.1,288,52
44.482,15.5,327.2,2.6,1.6,2017-03-16,1241,Aqua,MODIS,85,6.1,291.4,93.7
44.526,15.996,304.3,1,1,2017-03-17,1003,Terra,MODIS,17,6.1,291.3,4.9
44.513,15.488,325.1,1,1,2017-03-17,1003,Terra,MODIS,84,6.1,293.2,20.1
44.501,15.504,310.2,1,1,2017-03-17,1003,Terra,MODIS,70,6.1,294.7,8.2
44.475,15.496,319.8,1,1,2017-03-17,1003,Terra,MODIS,80,6.1,293.7,16
44.589,15.677,317.4,1.2,1.1,2017-03-17,1146,Aqua,MODIS,76,6.1,295.9,15.5
44.731,15.304,308.1,1.2,1.1,2017-03-17,1146,Aqua,MODIS,65,6.1,294.3,8.2
44.382,15.828,307.7,1.3,1.1,2017-03-20,1217,Aqua,MODIS,60,6.1,294.9,7.2
44.435,15.946,318.9,1.3,1.1,2017-03-21,0939,Terra,MODIS,78,6.1,292,22.9
44.434,15.497,304.7,1.1,1,2017-03-24,1152,Aqua,MODIS,44,6.1,286,4.8
44.404,15.566,320.6,1.1,1,2017-03-29,1211,Aqua,MODIS,51,6.1,296,14.7
44.425,15.575,319.5,1.1,1,2017-03-29,1211,Aqua,MODIS,30,6.1,300.7,11.7
44.678,15.467,314.5,1.1,1,2017-03-29,1211,Aqua,MODIS,70,6.1,298.2,9.6
