latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
45.741,18.478,304.7,1.8,1.3,2017-10-14,1215,Aqua,MODIS,42,6.0NRT,289.7,11,D
45.238,18.939,308.5,1.1,1,2017-10-20,0955,Terra,MODIS,62,6.0NRT,295.1,6.5,D
45.211,19.193,309.7,2.3,1.5,2017-10-21,1220,Aqua,MODIS,69,6.0NRT,295.2,21.9,D
45.483,18.891,304.9,1.3,1.1,2017-11-01,1200,Aqua,MODIS,58,6.0NRT,287.4,8.8,D
45.48,18.886,310.1,1.3,1.1,2017-11-01,1200,Aqua,MODIS,70,6.0NRT,287.6,13.8,D
45.213,19.223,316.4,2.3,1.5,2017-10-21,1220,Aqua,MODIS,77,6.0NRT,294.8,40.7,D
44.023,15.557,300.9,2.6,1.5,2017-10-21,1040,Terra,MODIS,43,6.0NRT,289.7,12.5,D
44.018,15.858,304.5,1.2,1.1,2017-12-25,0945,Terra,MODIS,59,6.0NRT,280.9,10.8,D
43.551,16.116,316.9,1.5,1.2,2017-10-21,1220,Aqua,MODIS,77,6.0NRT,292.7,24.5,D
45.15,18.823,310.6,3.3,1.7,2017-10-19,1235,Aqua,MODIS,67,6.0NRT,298,37.6,D
45.241,18.925,306.9,1.1,1,2017-10-20,0955,Terra,MODIS,58,6.0NRT,295.1,5.4,D
45.481,18.875,304.3,1.3,1.1,2017-11-01,1200,Aqua,MODIS,54,6.0NRT,287.4,8.2,D
45.467,18.904,302.1,2.2,1.4,2017-11-02,1105,Aqua,MODIS,50,6.0NRT,287.6,15.8,D
45.173,15.234,301.1,1.4,1.2,2017-10-21,1220,Aqua,MODIS,43,6.0NRT,287.8,7.6,D
45.193,18.28,306.5,1,1,2017-10-02,1150,Aqua,MODIS,48,6.0NRT,295.5,5.2,D
