latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
34.912,33.5,321.9,1.3,1.1,2017-05-30,1041,Aqua,MODIS,40,6.1,301,14.7
34.857,32.799,316.7,1.1,1,2017-03-08,0833,Terra,MODIS,76,6.1,290.7,15.2
35.039,34.02,333.3,1.3,1.1,2017-07-01,1041,Aqua,MODIS,51,6.1,318.2,16.4
34.726,33.316,324.3,1,1,2017-07-03,1954,Terra,MODIS,100,6.1,298.8,18.9
34.746,32.827,324.9,1,1,2017-09-21,1954,Terra,MODIS,100,6.1,296.4,20.8
34.72,32.772,310.3,1,1,2017-07-19,1954,Terra,MODIS,79,6.1,296,8.4
34.737,32.829,355.8,1,1,2017-09-21,1954,Terra,MODIS,100,6.1,301.1,73.9
34.988,33.992,320.6,1,1,2017-07-14,0834,Terra,MODIS,57,6.1,308.6,12.4
34.989,32.436,338.2,1,1,2017-07-29,1105,Aqua,MODIS,78,6.1,309.8,23.8
34.77,33.297,377.6,1.4,1.2,2017-08-28,1118,Aqua,MODIS,100,6.1,312.2,217.1
34.762,32.904,322.1,1.5,1.2,2017-09-02,0822,Terra,MODIS,75,6.1,306.2,15.9
34.772,33.313,374.8,1.4,1.2,2017-08-28,1118,Aqua,MODIS,100,6.1,311.4,198.9
34.967,32.453,326.6,1.3,1.1,2017-09-10,1047,Aqua,MODIS,51,6.1,310.3,14.7
34.735,32.818,330.5,1,1,2017-09-21,1954,Terra,MODIS,100,6.1,298,27.5
34.744,32.816,332.6,1,1,2017-09-21,1954,Terra,MODIS,100,6.1,297.2,30.3
34.966,32.46,320.6,1.9,1.4,2017-09-10,0911,Terra,MODIS,53,6.1,306.6,18.1
34.959,32.434,320.8,1.9,1.4,2017-09-10,0911,Terra,MODIS,45,6.1,307.1,18.1
34.955,32.456,328.1,1.9,1.4,2017-09-10,0911,Terra,MODIS,77,6.1,305,39.5
34.963,32.406,327.2,2.4,1.5,2017-09-21,1029,Aqua,MODIS,69,6.1,307.4,47.1
