latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
50.225,17.181,308,1.1,1.1,2017-06-03,1014,Terra,MODIS,44,6.1,296.7,6.4
50.224,17.18,317,1,1,2017-06-28,1008,Terra,MODIS,72,6.1,296.9,11.2
50.222,17.194,314.3,1,1,2017-06-28,1008,Terra,MODIS,55,6.1,298.2,8.8
49.026,16.489,322.8,1,1,2017-02-13,1147,Aqua,MODIS,82,6.1,276.4,25.7
49.416,17.128,302,1.1,1.1,2017-02-15,1135,Aqua,MODIS,47,6.1,276.6,10.5
49.632,16.476,302.3,1,1,2017-03-08,1008,Terra,MODIS,52,6.1,282.8,6.9
48.741,16.894,301.2,1.1,1,2017-03-08,1008,Terra,MODIS,36,6.1,283.8,5.2
49.268,16.821,306.7,1,1,2017-04-02,1147,Aqua,MODIS,47,6.1,295.7,5.4
48.889,17.32,313,1.1,1,2017-05-27,1008,Terra,MODIS,49,6.1,301.8,8.7
49.072,16.66,316.7,1,1,2017-06-12,1008,Terra,MODIS,58,6.1,300.4,6.5
49.563,16.43,307.9,1.1,1,2017-06-19,1014,Terra,MODIS,39,6.1,297.7,4.9
49.071,16.65,314.4,1.1,1.1,2017-07-05,1014,Terra,MODIS,54,6.1,293.9,7.3
48.921,16.557,313.6,3.5,1.8,2017-07-06,1057,Terra,MODIS,0,6.1,295.1,39.9
49.33,17.569,316.7,1,1,2017-08-08,1002,Terra,MODIS,65,6.1,302.1,5.9
48.83,16.584,303.4,1.1,1,2017-08-30,2036,Terra,MODIS,55,6.1,290.6,6.2
48.839,16.58,301,1.1,1,2017-08-30,2036,Terra,MODIS,37,6.1,291,4.6
50.295,13.406,313.8,1,1,2017-05-18,1200,Aqua,MODIS,58,6.1,302.4,7
49.445,12.931,306,1.1,1,2017-07-03,1027,Terra,MODIS,0,6.1,290.6,5.7
49.643,12.971,321.3,4.6,2,2017-07-31,0913,Terra,MODIS,78,6.1,292.4,133.1
50.101,13.191,328.2,1.1,1.1,2017-08-08,1002,Terra,MODIS,85,6.1,296.7,25.2
