latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
49.813,18.309,312.7,1.1,1,2017-10-02,1150,Aqua,MODIS,55,6.0NRT,292.1,12.2,D
49.675,18.66,300.7,1,1,2017-10-13,1135,Aqua,MODIS,16,6.0NRT,286.4,4.7,D
49.675,18.654,327.8,1.7,1.3,2017-10-17,1110,Aqua,MODIS,85,6.0NRT,294.1,52.2,D
49.675,18.666,301,1,1,2017-10-20,1140,Aqua,MODIS,38,6.0NRT,290.4,4.3,D
49.858,18.54,305.6,1.3,1.1,2017-11-16,1120,Aqua,MODIS,62,6.0NRT,278.3,13.8,D
49.857,18.533,304.3,1.3,1.1,2017-11-16,1120,Aqua,MODIS,58,6.0NRT,278.3,12.5,D
49.677,18.66,301.3,1.1,1.1,2017-12-25,1125,Aqua,MODIS,40,6.0NRT,279.4,9.1,D
49.675,18.67,307.8,1.8,1.3,2017-12-26,1025,Terra,MODIS,50,6.0NRT,278.4,27.3,D
49.696,13.301,325.4,1.2,1.1,2017-10-27,1145,Aqua,MODIS,79,6.0NRT,282.4,33.1,D
49.693,13.285,306.9,1.2,1.1,2017-10-27,1145,Aqua,MODIS,61,6.0NRT,282.2,12.8,D
50.621,13.742,307.7,1.1,1,2017-10-27,1145,Aqua,MODIS,66,6.0NRT,283.4,12.4,D
49.744,12.986,308.9,1.1,1,2017-11-03,1150,Aqua,MODIS,59,6.0NRT,283.1,12.5,D
49.741,12.971,310.4,1.1,1,2017-11-03,1150,Aqua,MODIS,61,6.0NRT,284,13.6,D
49.816,18.316,303,1.8,1.3,2017-10-01,1110,Aqua,MODIS,45,6.0NRT,290.7,10.7,D
49.68,18.671,311.2,1,1,2017-10-01,2035,Terra,MODIS,82,6.0NRT,279.4,14.8,N
49.678,18.657,324.5,1,1,2017-10-01,2035,Terra,MODIS,100,6.0NRT,280.1,26.9,N
50.057,16.497,302.9,1,1,2017-10-02,1005,Terra,MODIS,54,6.0NRT,288.1,5.9,D
49.679,18.669,309.6,1.1,1.1,2017-10-02,1005,Terra,MODIS,60,6.0NRT,290.9,11.8,D
50.014,15.877,304.4,1,1,2017-10-02,1005,Terra,MODIS,58,6.0NRT,290.5,4.7,D
48.849,16.403,308.5,1,1,2017-10-02,1005,Terra,MODIS,67,6.0NRT,293.4,6.9,D
48.846,16.416,307.2,1,1,2017-10-02,1005,Terra,MODIS,65,6.0NRT,292.8,6,D
49.815,18.323,306,1.1,1,2017-10-02,1150,Aqua,MODIS,54,6.0NRT,291.5,7.4,D
49.46,17.144,300.1,1.1,1.1,2017-10-13,1135,Aqua,MODIS,26,6.0NRT,283.2,4.3,D
49.68,18.663,303.1,1.2,1.1,2017-10-15,0935,Terra,MODIS,55,6.0NRT,289.8,6.5,D
49.677,18.671,316.9,1.7,1.3,2017-10-17,1110,Aqua,MODIS,67,6.0NRT,293,30.5,D
49.672,18.648,317.9,1.7,1.3,2017-10-17,1110,Aqua,MODIS,68,6.0NRT,293.7,32.5,D
49.677,18.661,321.4,1.1,1.1,2017-11-23,1125,Aqua,MODIS,76,6.0NRT,281.7,26.3,D
48.915,17.329,311,1,1,2017-12-07,1140,Aqua,MODIS,67,6.0NRT,277.6,15.3,D
49.673,18.665,303.9,1,1,2017-12-30,1145,Aqua,MODIS,47,6.0NRT,271.3,11.5,D
