latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
55.24,11.603,305.6,1.5,1.2,2017-08-08,1001,Terra,MODIS,46,6.1,280.4,9.8
55.403,9.084,309.8,1.1,1.1,2017-05-03,1056,Terra,MODIS,69,6.1,289.1,9.9
55.4,9.101,305.6,1.1,1.1,2017-05-03,1056,Terra,MODIS,62,6.1,288.7,6.6
55.694,9.213,306.1,1,1,2017-08-13,1207,Aqua,MODIS,56,6.1,292.9,5.4
55.706,9.189,312.1,1,1,2017-08-16,1050,Terra,MODIS,30,6.1,290.8,8.6
55.044,11.967,306.2,1,1,2017-04-09,1155,Aqua,MODIS,63,6.1,291,6.5
55.266,11.92,300.1,1,1,2017-05-02,1201,Aqua,MODIS,30,6.1,286.2,3.8
55.73,12.433,300.1,1,1,2017-09-25,1149,Aqua,MODIS,23,6.1,287.4,2.8
55.134,10.651,301.2,1,1,2017-05-02,1201,Aqua,MODIS,46,6.1,288.8,3.9
55.311,10.784,302.9,1,1,2017-06-10,1207,Aqua,MODIS,21,6.1,289.2,3
55.376,10.499,314.2,1,1,2017-08-29,1207,Aqua,MODIS,67,6.1,297.4,6.9
55.509,10.089,308,1.1,1,2017-04-09,1155,Aqua,MODIS,66,6.1,291.6,7.8
55.51,9.777,302.6,1.1,1,2017-04-09,1155,Aqua,MODIS,49,6.1,292.1,4.1
57.626,10.421,322.7,1.3,1.1,2017-04-04,1138,Aqua,MODIS,62,6.1,287.2,29.6
55.44,10.401,305.8,1,1,2017-04-30,1213,Aqua,MODIS,59,6.1,289.7,6.2
56.329,9.091,302.5,1.1,1,2017-03-24,1156,Aqua,MODIS,52,6.1,284.3,7.3
56.376,9.15,320.5,1.1,1,2017-03-24,1156,Aqua,MODIS,80,6.1,286.2,22.6
56.358,10.714,303.9,1,1,2017-04-09,1155,Aqua,MODIS,57,6.1,292,4.6
56.637,9.557,314.8,1.5,1.2,2017-06-20,2031,Terra,MODIS,90,6.1,283,28.3
54.856,11.88,310.3,1,1,2017-03-27,1037,Terra,MODIS,35,6.1,287.4,10.4
54.845,12.055,315.8,1,1,2017-08-29,1207,Aqua,MODIS,65,6.1,297,9.9
54.843,12.039,318.9,1,1,2017-08-29,1207,Aqua,MODIS,70,6.1,296.8,13
55.944,8.656,307.5,1.8,1.3,2017-03-24,1007,Terra,MODIS,65,6.1,283.2,23.9
55.942,8.685,304.4,1.8,1.3,2017-03-24,1007,Terra,MODIS,59,6.1,281.8,19.6
55.939,8.67,301.1,1.1,1.1,2017-03-24,1156,Aqua,MODIS,44,6.1,285.6,6.4
56.339,8.733,300.7,1.1,1.1,2017-03-27,1226,Aqua,MODIS,40,6.1,284.1,5.5
55.843,8.461,302.9,1.2,1.1,2017-04-09,1155,Aqua,MODIS,54,6.1,290,5.3
56.168,8.669,331.5,1,1,2017-04-23,1208,Aqua,MODIS,82,6.1,280.1,33.1
56.166,8.653,326.5,1,1,2017-04-23,1208,Aqua,MODIS,80,6.1,284.9,26.7
56.177,8.665,332.7,1,1,2017-04-23,1208,Aqua,MODIS,88,6.1,284,34.6
56.175,8.649,330.1,1,1,2017-04-23,1208,Aqua,MODIS,87,6.1,279.4,31
55.598,8.139,321.1,1.3,1.1,2017-05-01,1108,Terra,MODIS,75,6.1,276.9,27
55.6,8.134,312.9,1.3,1.1,2017-05-01,1108,Terra,MODIS,47,6.1,276.3,16.6
55.596,8.153,307.6,1.3,1.1,2017-05-01,1108,Terra,MODIS,44,6.1,277.3,11.9
55.926,8.635,319.1,3.4,1.7,2017-05-02,1151,Terra,MODIS,71,6.1,285.7,104.3
55.568,8.13,304.5,1.1,1,2017-05-02,1201,Aqua,MODIS,42,6.1,290.3,5.3
55.575,8.137,303.2,1.1,1,2017-05-02,1201,Aqua,MODIS,42,6.1,288.9,5.1
55.908,8.629,301.7,1.1,1,2017-05-02,1201,Aqua,MODIS,26,6.1,288.2,2.7
55.92,8.64,399.7,1.1,1,2017-05-02,1201,Aqua,MODIS,100,6.1,298.1,270
55.917,8.624,408.3,1.1,1,2017-05-02,1201,Aqua,MODIS,100,6.1,302.2,330.4
55.929,8.635,339,1.1,1,2017-05-02,1201,Aqua,MODIS,91,6.1,293.5,43.3
55.926,8.619,349.8,1.1,1,2017-05-02,1201,Aqua,MODIS,96,6.1,295.1,65.4
55.899,8.649,346.7,1.2,1.1,2017-06-06,1232,Aqua,MODIS,94,6.1,298.3,68.1
54.826,11.161,320.6,1,1,2017-05-27,1155,Aqua,MODIS,56,6.1,302.9,13.9
54.862,11.15,314.9,1,1,2017-08-29,1207,Aqua,MODIS,69,6.1,298.7,7.5
54.86,11.134,314.5,1,1,2017-08-29,1207,Aqua,MODIS,69,6.1,298.3,7.1
