latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
58.901,22.635,303.1,1.1,1,2017-06-16,0941,Terra,MODIS,24,6.1,287.8,3.6
58.898,22.628,300.1,1.3,1.1,2017-07-10,1042,Aqua,MODIS,16,6.1,286,4.6
58.42,22.601,303.8,1,1,2017-07-23,1000,Terra,MODIS,24,6.1,287.2,5.2
58.426,26.968,304.5,1.1,1,2017-08-11,1041,Aqua,MODIS,27,6.1,293.7,5.1
58.989,25.6,301.1,2,1.4,2017-05-30,0858,Terra,MODIS,22,6.1,289.1,9.8
58.223,25.663,301.8,1,1,2017-05-06,0947,Terra,MODIS,21,6.1,289.5,2.4
58.079,25.903,303.5,1,1,2017-05-06,0947,Terra,MODIS,39,6.1,291,3.2
58.223,25.501,300.5,1,1,2017-07-24,1054,Aqua,MODIS,26,6.1,287.6,3.1
58.346,24.274,301.8,1,1,2017-04-04,0947,Terra,MODIS,37,6.1,280.5,6.2
58.678,23.821,302.8,1,1,2017-04-20,0947,Terra,MODIS,54,6.1,279.9,7.1
58.606,23.711,305.2,1,1,2017-07-23,1000,Terra,MODIS,60,6.1,293.2,5.7
