latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
59.865,23.208,312.2,1.2,1.1,2017-07-26,1042,Aqua,MODIS,0,6.1,295.4,10.8
59.861,23.188,320.8,1.2,1.1,2017-07-26,1042,Aqua,MODIS,65,6.1,295.9,20.6
60.768,21.509,304.6,1,1,2017-05-13,0953,Terra,MODIS,43,6.1,292.5,5.6
62.503,21.238,305.3,1.1,1,2017-06-30,0952,Terra,MODIS,58,6.1,294.4,5.1
63.391,22.368,311.3,1,1,2017-01-27,1107,Aqua,MODIS,67,6.1,272.4,16.5
62.747,22.822,300.7,1,1,2017-05-04,0958,Terra,MODIS,0,6.1,286.2,5.1
60.599,23.502,305.1,1.5,1.2,2017-05-06,1138,Aqua,MODIS,57,6.1,294.9,7.5
63.474,23.007,302.3,1.1,1.1,2017-05-22,0946,Terra,MODIS,42,6.1,290.6,2.6
63.478,22.361,301.2,2,1.4,2017-06-02,1105,Terra,MODIS,34,6.1,281.8,18.7
60.386,23.032,303.5,1,1,2017-06-06,1054,Aqua,MODIS,56,6.1,282.4,5.3
60.457,22.305,310.9,1.1,1,2017-06-07,0947,Terra,MODIS,54,6.1,293.8,5.9
60.448,22.3,309.2,1.1,1,2017-06-07,0947,Terra,MODIS,33,6.1,293.9,4.7
60.509,22.336,309.5,1.2,1.1,2017-08-11,1042,Aqua,MODIS,28,6.1,292.5,7.7
60.508,22.33,320.4,1.2,1.1,2017-08-11,1042,Aqua,MODIS,80,6.1,292.9,20.7
60.84,22.128,300.9,1.2,1.1,2017-05-16,1023,Terra,MODIS,40,6.1,289.9,5.5
61.248,21.943,313.4,2.1,1.4,2017-05-20,1012,Aqua,MODIS,68,6.1,297.2,25.8
61.124,22.118,309.8,1.8,1.3,2017-05-20,1150,Aqua,MODIS,53,6.1,298.6,13
62.355,22.006,300.9,1.8,1.3,2017-05-20,1150,Aqua,MODIS,43,6.1,274.2,15.1
62.398,21.975,302.2,1.6,1.3,2017-07-16,1144,Aqua,MODIS,43,6.1,291,5.2
63.01,21.717,300.9,1,1,2017-05-04,0958,Terra,MODIS,43,6.1,285.2,5.3
60.792,26.365,300.8,1.1,1.1,2017-05-03,1107,Aqua,MODIS,24,6.1,287.3,3.9
60.825,26.495,315.2,1.1,1,2017-05-04,0959,Terra,MODIS,76,6.1,290.2,15
60.756,26.566,321.8,1.1,1,2017-05-04,0959,Terra,MODIS,81,6.1,290.5,21.4
60.788,26.493,304.4,1.6,1.2,2017-05-04,1012,Aqua,MODIS,59,6.1,289.4,10.3
60.794,26.515,311.7,1.5,1.2,2017-05-04,1012,Aqua,MODIS,71,6.1,290,18.1
60.582,26.416,302.4,1,1,2017-05-05,1054,Aqua,MODIS,45,6.1,288.4,3.7
60.7,26.68,303.4,2,1.4,2017-05-06,1137,Aqua,MODIS,56,6.1,291.8,14.8
61.177,26.967,306,1,1,2017-05-24,0934,Terra,MODIS,62,6.1,292.5,6.4
61.172,26.951,304.3,1.6,1.2,2017-05-24,1125,Aqua,MODIS,42,6.1,291.5,9.9
61.177,26.982,305,1.1,1,2017-05-25,1955,Terra,MODIS,63,6.1,281.4,10.9
61.173,26.994,300.5,1.1,1,2017-05-25,1030,Aqua,MODIS,25,6.1,276.1,6
61.057,26.923,303.5,1,1,2017-06-06,1054,Aqua,MODIS,37,6.1,288.1,4.1
60.887,26.858,304,1.9,1.3,2017-07-26,1029,Terra,MODIS,47,6.1,289.3,10.5
60.713,27.973,300.1,1.7,1.3,2017-05-24,1125,Aqua,MODIS,16,6.1,285.4,5.4
62.054,27.86,304,1,1,2017-06-17,1036,Aqua,MODIS,30,6.1,290.8,3.1
62.572,28.587,305.8,1,1,2017-07-11,0934,Terra,MODIS,0,6.1,284.4,6
63.108,29.796,311.1,1,1,2017-06-16,0940,Terra,MODIS,0,6.1,292.3,8.5
63.104,29.786,302.4,1.4,1.2,2017-06-16,0954,Aqua,MODIS,36,6.1,292.4,5.7
67.288,29.061,300.9,1,1,2017-07-14,1019,Aqua,MODIS,7,6.1,287.2,2
61.433,28.72,302.8,1.8,1.3,2017-05-23,0851,Terra,MODIS,40,6.1,290.9,9.2
63.516,27.202,306.4,1,1,2017-05-16,1037,Aqua,MODIS,55,6.1,286,8.1
63.234,27.512,304.7,1,1,2017-06-07,1925,Terra,MODIS,61,6.1,284.3,8.9
63.17,27.739,304.4,1,1,2017-06-30,0952,Terra,MODIS,27,6.1,294.2,4.1
62.636,27.355,310.5,1.5,1.2,2017-07-03,1023,Terra,MODIS,52,6.1,294.3,13.9
62.63,27.381,305.5,1.5,1.2,2017-07-03,1023,Terra,MODIS,36,6.1,292.1,7.8
62.626,27.357,339.7,1,1,2017-07-03,1036,Aqua,MODIS,91,6.1,295.1,40.5
62.056,27.167,300,1,1,2017-07-09,0946,Terra,MODIS,0,6.1,289,2.2
62.212,30.125,310,1,1,2017-07-03,1036,Aqua,MODIS,26,6.1,299.3,6.6
63.171,27.734,300.4,1,1,2017-06-14,0952,Terra,MODIS,20,6.1,289.3,3.3
63.115,27.73,304.6,1.1,1,2017-07-08,1055,Aqua,MODIS,0,6.1,292,4.9
60.298,25.503,313.7,3.2,1.7,2017-06-27,1100,Terra,MODIS,0,6.1,281.7,76.6
60.292,25.497,300.7,2,1.4,2017-06-27,2038,Terra,MODIS,31,6.1,281.8,18
60.294,25.518,301.4,1,1,2017-06-28,1943,Terra,MODIS,31,6.1,283,6.6
60.299,25.519,302,1.1,1,2017-06-28,0040,Aqua,MODIS,46,6.1,281.3,8.7
60.293,25.512,313,1.6,1.2,2017-06-28,1017,Aqua,MODIS,55,6.1,293.2,19.3
60.299,25.509,325.6,2.5,1.5,2017-06-29,1848,Terra,MODIS,100,6.1,287.2,98.8
60.296,25.522,312.6,1,1,2017-06-29,1100,Aqua,MODIS,0,6.1,299.4,6.6
60.305,25.521,303.4,1.2,1.1,2017-06-30,0027,Aqua,MODIS,55,6.1,267.5,13.7
60.309,25.531,305,1.1,1.1,2017-08-17,1931,Terra,MODIS,63,6.1,280.4,10.3
60.722,26.094,301.5,1.1,1,2017-04-18,0959,Terra,MODIS,45,6.1,278.8,8.1
60.772,26.293,306.9,2.9,1.6,2017-05-03,1054,Terra,MODIS,64,6.1,286.5,40.2
60.776,26.31,310.7,1.1,1,2017-05-03,1107,Aqua,MODIS,70,6.1,289.1,11
60.773,26.29,320.3,1.1,1,2017-05-03,1107,Aqua,MODIS,80,6.1,290.7,20.2
61.055,26.682,307.2,1.1,1,2017-05-04,0959,Terra,MODIS,49,6.1,285.2,9.7
60.829,26.476,310.3,1.1,1,2017-05-04,0959,Terra,MODIS,70,6.1,288.4,11.2
60.796,26.51,309,1.1,1,2017-05-04,0959,Terra,MODIS,68,6.1,291.2,8.9
60.793,26.529,304.3,1.1,1,2017-05-04,0959,Terra,MODIS,58,6.1,291.9,5.6
60.759,26.547,307.1,1.1,1,2017-05-04,0959,Terra,MODIS,65,6.1,291.3,7.8
60.714,26.377,303.1,1.1,1,2017-05-04,0959,Terra,MODIS,36,6.1,290.7,5.8
60.794,26.519,310.1,1.5,1.2,2017-05-04,1012,Aqua,MODIS,70,6.1,290,17.1
60.824,26.485,330.9,1.5,1.2,2017-05-04,1012,Aqua,MODIS,87,6.1,289.9,57.3
60.782,26.563,300.9,2.6,1.6,2017-05-04,1150,Aqua,MODIS,38,6.1,290.5,14.8
60.772,26.565,307.4,1,1,2017-05-05,1055,Aqua,MODIS,65,6.1,288.5,6.1
60.693,26.757,306.1,1,1,2017-05-06,0946,Terra,MODIS,48,6.1,288.3,6
60.733,26.405,301.5,2,1.4,2017-05-06,1000,Aqua,MODIS,30,6.1,289.1,12
60.875,26.11,306,2,1.4,2017-05-06,1000,Aqua,MODIS,63,6.1,289.4,20.8
60.7,26.675,304.4,2,1.4,2017-05-06,1137,Aqua,MODIS,47,6.1,291.7,14.6
60.779,26.288,304,1.9,1.4,2017-05-06,1138,Aqua,MODIS,58,6.1,290.6,13.2
60.77,26.282,301.6,1.9,1.4,2017-05-06,1138,Aqua,MODIS,48,6.1,290.9,9.6
60.647,26.553,306,2.2,1.4,2017-05-07,0851,Terra,MODIS,62,6.1,287,22.4
60.664,26.012,322.8,1.2,1.1,2017-05-10,0922,Terra,MODIS,71,6.1,279,30.5
61.618,26.228,341.1,2.3,1.5,2017-05-23,0851,Terra,MODIS,0,6.1,290.2,149.5
60.403,24.221,306.3,1.1,1,2017-05-14,1048,Aqua,MODIS,60,6.1,291.7,6
60.4,24.202,331.2,1.1,1,2017-05-14,1048,Aqua,MODIS,76,6.1,292.9,31.3
60.39,24.538,301.5,1,1,2017-05-03,1107,Aqua,MODIS,47,6.1,288.8,4.3
64.758,24.811,305.4,1.1,1.1,2017-05-16,1022,Terra,MODIS,61,6.1,286,10
61.296,25.076,302.1,1,1,2017-05-20,0959,Terra,MODIS,33,6.1,290.2,3.6
64.66,24.444,308.5,1.3,1.1,2017-05-24,0933,Terra,MODIS,51,6.1,293.9,8.9
64.08,25.115,303.2,1,1,2017-07-08,1055,Aqua,MODIS,42,6.1,291.7,4.3
64.647,24.44,307.3,1,1,2017-07-16,0952,Terra,MODIS,0,6.1,296.6,6.3
60.724,24.785,301.2,1,1,2017-07-23,0959,Terra,MODIS,37,6.1,290.2,4
64.639,24.438,301.5,1,1,2017-08-08,0958,Terra,MODIS,0,6.1,289.5,4.3
67.115,25.003,303,1,1,2017-07-28,1031,Aqua,MODIS,39,6.1,290.5,2.7
65.821,26.085,317.4,1,1,2017-06-12,1004,Terra,MODIS,67,6.1,291.5,14.8
65.82,26.111,301.3,3.5,1.8,2017-06-12,1141,Terra,MODIS,46,6.1,289.1,24.4
65.813,26.09,301.7,3.5,1.8,2017-06-12,1141,Terra,MODIS,42,6.1,289,27.3
65.822,26.064,301.6,3.1,1.7,2017-06-12,1157,Aqua,MODIS,45,6.1,290.1,19.9
64.429,26.039,304.8,1,1,2017-06-14,0952,Terra,MODIS,25,6.1,293.1,4
63.431,26.059,300.2,1,1,2017-07-08,1055,Aqua,MODIS,6,6.1,289.7,2.2
60.837,23.128,306.3,1,1,2017-04-19,1055,Aqua,MODIS,63,6.1,279,9.1
60.305,23.364,300.3,1.9,1.3,2017-05-05,1042,Terra,MODIS,28,6.1,282.7,11.7
60.306,23.361,314.2,1,1,2017-05-05,1055,Aqua,MODIS,70,6.1,288.5,13.7
60.303,23.343,307.6,1,1,2017-05-05,1055,Aqua,MODIS,62,6.1,288.3,8.5
61.377,23.935,310.5,1.6,1.3,2017-05-19,0916,Terra,MODIS,63,6.1,292.1,15.6
61.375,23.939,323.4,1,1,2017-05-19,1107,Aqua,MODIS,69,6.1,296.1,18.6
61.071,23.556,307.4,1.2,1.1,2017-05-24,1125,Aqua,MODIS,28,6.1,292.7,7.1
61.554,23.574,301.5,1.8,1.3,2017-06-14,1144,Aqua,MODIS,18,6.1,288.6,7
63.395,23.243,301.1,1.9,1.3,2017-06-14,1144,Aqua,MODIS,44,6.1,289.1,10.5
61.45,23.679,312.8,1,1,2017-09-05,0058,Aqua,MODIS,86,6.1,279.1,15.9
61.447,23.697,305.1,1,1,2017-09-05,0058,Aqua,MODIS,63,6.1,278.9,10.5
64.071,25.531,306.1,2.5,1.5,2017-06-08,0850,Terra,MODIS,63,6.1,293.9,17.6
66.404,25.795,307.2,2.7,1.6,2017-06-14,1129,Terra,MODIS,65,6.1,289.6,33.2
62.256,25.775,305,1.1,1,2017-06-17,1036,Aqua,MODIS,0,6.1,290.6,3.7
65.183,25.905,314.1,1.8,1.3,2017-06-20,1053,Terra,MODIS,70,6.1,292.1,27.7
65.174,25.937,318.1,1.8,1.3,2017-06-20,1053,Terra,MODIS,74,6.1,292.1,35.6
65.179,25.934,318.1,1.2,1.1,2017-06-20,1108,Aqua,MODIS,74,6.1,293.2,20
65.177,25.908,330.2,1.2,1.1,2017-06-20,1108,Aqua,MODIS,82,6.1,295.3,38.3
66.491,25.68,302.9,1.2,1.1,2017-07-01,1034,Terra,MODIS,0,6.1,291,4.6
