latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
48.884,6.055,305.4,1.3,1.1,2017-04-08,1104,Terra,MODIS,56,6.1,295.2,7.1
48.895,5.357,316.6,1.7,1.3,2017-06-26,1205,Aqua,MODIS,49,6.1,298.5,16.6
49.239,6.226,314.8,1.3,1.1,2017-07-13,1104,Terra,MODIS,67,6.1,302.9,12.8
43.383,5.011,333.3,1.1,1.1,2017-06-17,1029,Terra,MODIS,0,6.1,307.2,25.8
43.398,5.037,302.9,1,1,2017-07-26,2142,Terra,MODIS,52,6.1,292.9,3.8
43.349,5.047,314.5,1.7,1.3,2017-07-26,1216,Aqua,MODIS,0,6.1,300.2,12
43.454,4.902,303.9,1.3,1.1,2017-05-06,0205,Aqua,MODIS,58,6.1,281.5,12.5
45.18,4.92,321.7,1.3,1.1,2017-07-17,1223,Aqua,MODIS,73,6.1,304.2,12.7
43.452,4.879,302.7,1.9,1.4,2017-08-18,0115,Aqua,MODIS,51,6.1,291.7,14.1
43.443,4.899,317.8,1,1,2017-02-19,1247,Aqua,MODIS,0,6.1,295.4,14.6
43.444,4.899,307.6,1.1,1,2017-03-09,1235,Aqua,MODIS,0,6.1,288.8,6.8
43.444,4.898,302.5,1,1,2017-03-20,2141,Terra,MODIS,49,6.1,284,7.8
43.443,4.898,321.8,1.2,1.1,2017-04-03,1229,Aqua,MODIS,0,6.1,299.8,20.6
43.443,4.899,302.9,1.2,1.1,2017-05-02,2123,Terra,MODIS,52,6.1,282.6,11.1
43.444,4.9,305.4,1,1,2017-05-26,0140,Aqua,MODIS,53,6.1,288.7,7.9
43.443,4.901,315.7,2.7,1.6,2017-07-02,1124,Terra,MODIS,0,6.1,296.8,37.9
43.444,4.901,307.8,1,1,2017-09-06,0146,Aqua,MODIS,72,6.1,291.4,8.2
43.439,4.899,320.1,1.3,1.1,2017-06-04,1059,Terra,MODIS,0,6.1,303.4,13.4
43.441,4.898,324.7,1.2,1.1,2017-07-03,1029,Terra,MODIS,0,6.1,308.5,13.7
43.44,4.901,306.1,1.1,1.1,2017-07-06,0134,Aqua,MODIS,17,6.1,289.8,8.9
43.44,4.898,304,1.3,1.1,2017-07-15,0128,Aqua,MODIS,9,6.1,293.6,7
