latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
43.561,6.954,315.1,1.3,1.2,2017-10-14,1215,Aqua,MODIS,73,6.0NRT,295.3,16.8,D
43.558,6.938,317.8,1.4,1.2,2017-10-14,1215,Aqua,MODIS,76,6.0NRT,295.2,20.7,D
44.457,6.825,344.5,1.1,1.1,2017-10-05,1220,Aqua,MODIS,93,6.0NRT,301.2,58.1,D
43.69,6.449,311.5,1.1,1.1,2017-10-12,1045,Terra,MODIS,40,6.0NRT,300,8.2,D
43.684,6.456,337.5,1.1,1.1,2017-10-12,1045,Terra,MODIS,90,6.0NRT,300.8,44.2,D
44.105,6.403,306,1.7,1.3,2017-11-20,2200,Terra,MODIS,66,6.0NRT,271,27.3,N
43.82,6.219,301.6,1.7,1.3,2017-10-22,1305,Aqua,MODIS,41,6.0NRT,288.9,10,D
43.818,6.196,307.9,1.7,1.3,2017-10-22,1305,Aqua,MODIS,62,6.0NRT,288.8,17.3,D
42.533,9.49,310.7,1,1,2017-10-07,1025,Terra,MODIS,41,6.0NRT,298.5,5.2,D
42.531,9.502,325.8,1,1,2017-10-07,1025,Terra,MODIS,79,6.0NRT,299.9,20.1,D
41.931,8.821,310.1,1.1,1.1,2017-10-14,1035,Terra,MODIS,23,6.0NRT,296.6,5.7,D
41.927,8.813,313.6,1.1,1.1,2017-10-14,1035,Terra,MODIS,55,6.0NRT,298.2,10,D
42.249,9.378,333.4,1.6,1.2,2017-10-16,1200,Aqua,MODIS,87,6.0NRT,295.6,61.6,D
42.368,8.861,307,1.6,1.3,2017-10-16,1200,Aqua,MODIS,46,6.0NRT,295.2,13.5,D
42.18,9.022,336.8,1.3,1.1,2017-10-17,1245,Aqua,MODIS,89,6.0NRT,294.4,51.6,D
42.523,9.511,312.9,1.4,1.2,2017-10-17,1245,Aqua,MODIS,51,6.0NRT,297.6,11.6,D
42.521,9.494,311.8,1.4,1.2,2017-10-17,1245,Aqua,MODIS,66,6.0NRT,298.2,10.1,D
42.606,9.211,307.1,1.3,1.1,2017-10-17,1245,Aqua,MODIS,52,6.0NRT,292.7,8.2,D
42.582,9.254,312.2,1.1,1.1,2017-10-18,1010,Terra,MODIS,53,6.0NRT,298.1,11.1,D
42.558,8.98,301.4,3.5,1.8,2017-10-20,1135,Aqua,MODIS,33,6.0NRT,291,14.2,D
42.303,9.299,308.3,1,1,2017-10-21,1220,Aqua,MODIS,36,6.0NRT,295.2,6.1,D
42.312,9.297,310.5,1,1,2017-10-21,1220,Aqua,MODIS,54,6.0NRT,294.3,7.7,D
42.305,9.3,313.1,2.5,1.5,2017-10-22,1305,Aqua,MODIS,57,6.0NRT,290.7,43.2,D
42.55,9.05,312.3,2.4,1.5,2017-10-22,1305,Aqua,MODIS,15,6.0NRT,291.2,29.8,D
42.548,9.019,355.6,2.4,1.5,2017-10-22,1305,Aqua,MODIS,98,6.0NRT,293.3,258.4,D
42.562,9.075,317.3,2.4,1.5,2017-10-22,1305,Aqua,MODIS,68,6.0NRT,293.5,48.3,D
42.56,9.042,382,2.4,1.5,2017-10-22,1305,Aqua,MODIS,100,6.0NRT,300.6,565.8,D
42.558,9.013,378.3,2.4,1.5,2017-10-22,1305,Aqua,MODIS,100,6.0NRT,302.4,509.1,D
42.556,8.987,311.6,2.4,1.5,2017-10-22,1305,Aqua,MODIS,31,6.0NRT,291.6,30.4,D
42.575,9.073,379.9,2.4,1.5,2017-10-22,1305,Aqua,MODIS,100,6.0NRT,292.8,539.1,D
42.573,9.043,414.4,2.4,1.5,2017-10-22,1305,Aqua,MODIS,100,6.0NRT,302.5,1234.3,D
42.572,9.018,360.4,2.4,1.5,2017-10-22,1305,Aqua,MODIS,100,6.0NRT,296.8,299.1,D
42.57,8.99,319.6,2.4,1.5,2017-10-22,1305,Aqua,MODIS,71,6.0NRT,293.4,54.1,D
42.526,9.476,305.6,1.8,1.3,2017-10-25,1155,Aqua,MODIS,54,6.0NRT,292.1,10.2,D
42.528,9.226,315.5,1.2,1.1,2017-10-26,1240,Aqua,MODIS,76,6.0NRT,278.1,18,D
42.526,9.214,310.6,1.2,1.1,2017-10-26,1240,Aqua,MODIS,67,6.0NRT,278.1,12.9,D
42.038,9.175,328.9,1.3,1.1,2017-10-27,1000,Terra,MODIS,71,6.0NRT,288.7,38.9,D
42.029,9.158,313.9,1.3,1.1,2017-10-27,1000,Terra,MODIS,47,6.0NRT,285.9,16.7,D
42.028,9.173,324,1.3,1.1,2017-10-27,1000,Terra,MODIS,77,6.0NRT,285.1,31.8,D
42.031,9.168,332.3,1.3,1.1,2017-10-27,1000,Terra,MODIS,78,6.0NRT,288.9,45.6,D
42.035,9.172,325.9,2.9,1.6,2017-10-27,1145,Aqua,MODIS,79,6.0NRT,282,121.8,D
42.036,9.169,327.4,2.9,1.6,2017-10-27,1145,Aqua,MODIS,80,6.0NRT,282.6,130,D
42.04,9.221,318.8,1.2,1.1,2017-10-27,2110,Terra,MODIS,97,6.0NRT,284.5,23.7,N
42.038,9.206,313.6,1.2,1.1,2017-10-27,2110,Terra,MODIS,83,6.0NRT,285.9,18,N
42.033,9.179,313.9,1.2,1.1,2017-10-27,2110,Terra,MODIS,83,6.0NRT,287.1,18.4,N
42.031,9.166,310.8,1.2,1.1,2017-10-27,2110,Terra,MODIS,71,6.0NRT,284,15.6,N
42.05,9.217,313.1,1.2,1.1,2017-10-27,2110,Terra,MODIS,81,6.0NRT,284.9,17.5,N
42.047,9.202,311.1,1.2,1.1,2017-10-27,2110,Terra,MODIS,74,6.0NRT,285.5,15,N
42.045,9.189,313.1,1.2,1.1,2017-10-27,2110,Terra,MODIS,81,6.0NRT,286.8,17.4,N
42.043,9.177,306.7,1.2,1.1,2017-10-27,2110,Terra,MODIS,48,6.0NRT,284.7,12.3,N
42.049,9.225,317.6,1,1,2017-10-28,0120,Aqua,MODIS,94,6.0NRT,282.5,18.8,N
42.038,9.223,335.5,1,1,2017-10-28,1225,Aqua,MODIS,87,6.0NRT,282.5,37.6,D
42.036,9.211,331.7,1,1,2017-10-28,1225,Aqua,MODIS,84,6.0NRT,283.8,31.7,D
42.045,9.209,330.1,1,1,2017-10-28,1225,Aqua,MODIS,83,6.0NRT,282.5,30.2,D
42.043,9.197,314.7,1,1,2017-10-28,1225,Aqua,MODIS,62,6.0NRT,282.4,14.3,D
42.26,9.401,311.1,1,1,2017-11-20,1230,Aqua,MODIS,71,6.0NRT,285.9,12.9,D
42.258,9.367,301.4,1,1,2017-11-22,1220,Aqua,MODIS,46,6.0NRT,285,6.2,D
42.256,9.355,328.8,1,1,2017-11-22,1220,Aqua,MODIS,86,6.0NRT,287.2,30.7,D
42.289,8.87,302.5,1.1,1,2017-11-22,1220,Aqua,MODIS,53,6.0NRT,281.8,8,D
42.784,9.453,309.3,1.8,1.3,2017-11-26,1155,Aqua,MODIS,60,6.0NRT,283.9,29.5,D
47.188,6.335,311.5,2.5,1.5,2017-11-23,1120,Terra,MODIS,67,6.0NRT,278.8,46.1,D
43.808,1.99,317.4,1,1,2017-10-15,1255,Aqua,MODIS,73,6.0NRT,300.4,10.1,D
43.221,1.317,312,1.1,1.1,2017-10-17,1245,Aqua,MODIS,70,6.0NRT,298.4,8.1,D
43.796,1.438,358.9,1.1,1,2017-10-17,1245,Aqua,MODIS,99,6.0NRT,296.7,91.6,D
43.794,1.425,398.3,1.1,1,2017-10-17,1245,Aqua,MODIS,100,6.0NRT,298.5,275.7,D
43.792,1.412,308.3,1.1,1,2017-10-17,1245,Aqua,MODIS,37,6.0NRT,295.3,5.5,D
42.739,1.832,309.4,1.1,1,2017-11-23,1305,Aqua,MODIS,69,6.0NRT,290.9,10.7,D
43.734,1.341,312.9,1.7,1.3,2017-12-09,1120,Terra,MODIS,73,6.0NRT,272.2,34.4,D
43.943,3.538,309.7,1,1,2017-10-03,1050,Terra,MODIS,55,6.0NRT,283.9,8.5,D
43.962,3.431,321.3,1.1,1,2017-10-10,1240,Aqua,MODIS,79,6.0NRT,295.6,18.1,D
43.912,3.881,321.1,1.5,1.2,2017-10-13,1310,Aqua,MODIS,78,6.0NRT,301.5,26.7,D
43.91,3.862,323.7,1.5,1.2,2017-10-13,1310,Aqua,MODIS,80,6.0NRT,301.7,31.7,D
43.637,3.549,303.6,1,1,2017-10-28,1045,Terra,MODIS,54,6.0NRT,293.4,4.7,D
43.584,3.534,315,1,1,2017-10-28,1045,Terra,MODIS,75,6.0NRT,293.4,12.3,D
43.321,3.493,351.6,1.3,1.1,2017-12-04,1105,Terra,MODIS,91,6.0NRT,286,99.5,D
43.324,3.487,334.4,1.3,1.1,2017-12-04,1105,Terra,MODIS,89,6.0NRT,285.6,54.7,D
43.321,3.503,320.4,1.3,1.1,2017-12-04,1105,Terra,MODIS,80,6.0NRT,283.7,29.8,D
43.318,3.497,317.8,1,1,2017-12-04,1245,Aqua,MODIS,68,6.0NRT,285.3,17.8,D
43.316,3.484,307.4,1,1,2017-12-04,1245,Aqua,MODIS,65,6.0NRT,285.1,9.6,D
44.467,6.821,383.3,1.1,1.1,2017-10-05,1220,Aqua,MODIS,100,6.0NRT,305.6,199,D
43.846,7.17,309.9,1,1,2017-10-07,1025,Terra,MODIS,69,6.0NRT,294.5,8,D
43.844,7.182,305.5,1,1,2017-10-07,1025,Terra,MODIS,61,6.0NRT,295.1,4.9,D
43.687,6.458,335.3,1.2,1.1,2017-10-08,1250,Aqua,MODIS,89,6.0NRT,298.5,43.5,D
43.688,6.467,317.1,1.2,1.1,2017-10-08,1250,Aqua,MODIS,75,6.0NRT,297.6,16.1,D
43.686,6.452,327.9,1.2,1.1,2017-10-08,1250,Aqua,MODIS,84,6.0NRT,298.7,30.8,D
43.688,6.463,329.1,1.1,1.1,2017-10-12,1045,Terra,MODIS,85,6.0NRT,299.1,28.6,D
43.682,6.469,315.6,1.1,1.1,2017-10-12,1045,Terra,MODIS,72,6.0NRT,296.5,13.5,D
42.885,-0.133,361.2,1.4,1.2,2017-11-22,1040,Terra,MODIS,94,6.0NRT,287.6,147.2,D
42.882,-0.15,305.1,2.8,1.6,2017-11-22,1220,Aqua,MODIS,0,6.0NRT,283.3,41.4,D
42.742,-0.031,305.8,1.5,1.2,2017-11-23,1120,Terra,MODIS,62,6.0NRT,277.5,20.5,D
43.216,-0.045,309.4,1.8,1.3,2017-12-06,1235,Aqua,MODIS,69,6.0NRT,282.4,28.4,D
43.45,4.891,307.8,1.1,1,2017-10-05,2145,Terra,MODIS,72,6.0NRT,287.2,10.7,N
