latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
41.586,46.205,333.8,1.2,1.1,2017-07-18,0807,Terra,MODIS,63,6.1,316,16.2
41.369,46.316,335.5,2.5,1.5,2017-07-30,0831,Terra,MODIS,85,6.1,306.5,69.1
41.419,46.289,321.8,4.5,1.9,2017-07-31,1055,Aqua,MODIS,68,6.1,299.6,61.5
41.433,46.258,333.4,1.2,1.1,2017-08-03,0947,Aqua,MODIS,57,6.1,314.6,17
41.58,45.712,325.9,2.8,1.6,2017-08-22,0838,Terra,MODIS,60,6.1,309.6,38.3
41.839,43.447,305.1,3.5,1.8,2017-08-20,1818,Terra,MODIS,63,6.1,286.7,41.7
41.833,43.448,349.2,2.3,1.5,2017-08-21,0935,Aqua,MODIS,95,6.1,300.3,190.5
41.82,43.475,403.4,1,1,2017-08-21,2312,Aqua,MODIS,100,6.1,303.1,274.1
41.827,43.515,304.3,4.3,1.9,2017-08-22,2217,Aqua,MODIS,60,6.1,287,62.6
41.815,43.462,324,1,1,2017-08-24,1006,Aqua,MODIS,31,6.1,309.5,12.7
41.833,43.485,306.6,1,1,2017-09-22,2312,Aqua,MODIS,69,6.1,283.9,9.6
42.268,42.525,311.2,1.5,1.2,2017-03-07,0748,Terra,MODIS,71,6.1,290.2,16.7
42.352,42.6,315.1,1.7,1.3,2017-03-12,0948,Aqua,MODIS,53,6.1,293,22
42.35,42.593,315.8,1.7,1.3,2017-03-12,0948,Aqua,MODIS,54,6.1,293.2,25.3
41.362,43.134,316.3,1.4,1.2,2017-04-04,0954,Aqua,MODIS,68,6.1,294.4,17.7
42.155,42.455,315.3,1.8,1.3,2017-04-12,1043,Aqua,MODIS,76,6.1,293.8,25
42.118,43.015,311.6,1,1,2017-04-20,0813,Terra,MODIS,65,6.1,301.2,6.3
41.634,42.996,318.7,1.1,1,2017-06-05,1006,Aqua,MODIS,45,6.1,305.1,7.2
42.56,41.707,301.9,1,1,2017-01-07,0807,Terra,MODIS,50,6.1,287.8,5.7
42.712,41.526,304.5,1.1,1.1,2017-03-01,0825,Terra,MODIS,59,6.1,292.2,5.4
42.641,41.624,308.4,1.1,1.1,2017-03-01,0825,Terra,MODIS,67,6.1,290.8,9.1
42.615,41.658,301.5,1.1,1.1,2017-03-01,0825,Terra,MODIS,47,6.1,291.3,3.6
42.77,41.513,305.9,1,1,2017-03-03,0813,Terra,MODIS,62,6.1,290,6.3
42.668,41.62,315.6,1,1,2017-03-06,1025,Aqua,MODIS,76,6.1,298,11.3
42.721,41.601,307.7,1,1,2017-03-06,1025,Aqua,MODIS,66,6.1,296.9,5.4
42.623,41.694,312.5,3.4,1.7,2017-03-07,0930,Aqua,MODIS,54,6.1,289.3,62.4
42.694,41.576,310,1.6,1.2,2017-03-08,1937,Terra,MODIS,79,6.1,276.4,27
42.567,41.674,310.7,1,1,2017-03-08,1013,Aqua,MODIS,70,6.1,296.3,7.2
42.584,41.605,318.2,1,1,2017-03-08,1013,Aqua,MODIS,78,6.1,294.3,14.2
42.669,41.613,337.7,1,1,2017-03-08,1013,Aqua,MODIS,91,6.1,297.2,38.8
42.876,41.452,309.1,2.4,1.5,2017-03-09,1056,Aqua,MODIS,68,6.1,297,19.8
42.609,41.702,327.2,1.3,1.1,2017-03-10,1000,Aqua,MODIS,80,6.1,283.9,33.6
42.726,41.77,300.8,1.3,1.1,2017-03-10,1000,Aqua,MODIS,39,6.1,286.4,5
42.249,41.916,311.5,1.1,1.1,2017-03-01,1006,Aqua,MODIS,71,6.1,284.2,12.8
41.889,41.972,308,1.5,1.2,2017-03-07,0748,Terra,MODIS,66,6.1,291.2,11.6
41.848,41.851,309.8,1.4,1.2,2017-03-08,0831,Terra,MODIS,31,6.1,293.9,10.1
41.826,41.792,327.4,1.3,1.1,2017-03-10,1000,Aqua,MODIS,42,6.1,297.4,29.2
42.219,41.679,304.5,1.3,1.1,2017-03-10,1000,Aqua,MODIS,41,6.1,282.3,10.4
41.973,42.112,302.9,1.4,1.2,2017-03-24,0831,Terra,MODIS,47,6.1,290,6.2
41.972,42.107,311.5,3.1,1.7,2017-04-05,0856,Terra,MODIS,71,6.1,300.5,32
43.224,40.294,302.7,1,1,2017-03-01,0825,Terra,MODIS,46,6.1,290.4,3.7
42.851,41.203,325.6,1.1,1,2017-03-01,0825,Terra,MODIS,84,6.1,293.3,23.7
43.044,41.247,319.5,1,1,2017-03-10,0819,Terra,MODIS,79,6.1,286.2,17.7
41.796,41.792,307.5,1,1,2017-03-08,1012,Aqua,MODIS,44,6.1,296.8,5
41.88,41.829,301.5,2.4,1.5,2017-03-09,0736,Terra,MODIS,33,6.1,290.2,10
42.269,42.507,319.2,1.5,1.2,2017-03-07,0748,Terra,MODIS,79,6.1,290.4,28.9
