latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
42.149,42.519,300.5,1.1,1,2017-11-17,1020,Aqua,MODIS,38,6.0NRT,288.5,4.2,D
42.543,41.692,305.3,1.3,1.1,2017-12-01,1035,Aqua,MODIS,61,6.0NRT,288.1,10.8,D
42.096,41.821,306,2,1.4,2017-12-03,0840,Terra,MODIS,63,6.0NRT,273.5,23.5,D
42.122,41.793,302.7,1,1,2017-12-03,1020,Aqua,MODIS,53,6.0NRT,275.9,7.2,D
42.258,41.658,304.5,1.1,1.1,2017-12-16,2330,Aqua,MODIS,60,6.0NRT,278.7,11.5,N
42.25,41.669,300.4,2.8,1.6,2017-12-17,0855,Terra,MODIS,28,6.0NRT,284.6,21.5,D
42.261,41.669,300.3,2.8,1.6,2017-12-17,0855,Terra,MODIS,0,6.0NRT,285.2,22.9,D
42.314,45.403,304.4,1.1,1,2017-10-06,0805,Terra,MODIS,43,6.0NRT,292.8,9.3,D
42.572,44.91,311.8,1,1,2017-11-16,0800,Terra,MODIS,58,6.0NRT,285.4,11.1,D
42.567,44.909,302.9,1.5,1.2,2017-11-16,0940,Aqua,MODIS,51,6.0NRT,285.1,12.6,D
42.564,44.893,302.7,1.5,1.2,2017-11-16,0940,Aqua,MODIS,40,6.0NRT,282.8,12.6,D
42.937,41.259,302.8,1,1,2017-12-28,1015,Aqua,MODIS,54,6.0NRT,289.6,5.8,D
43.005,41.205,303.6,1.4,1.2,2017-12-29,2300,Aqua,MODIS,56,6.0NRT,284,15,N
41.916,44.423,304.6,1,1,2017-10-06,0805,Terra,MODIS,55,6.0NRT,294.1,3.8,D
41.917,44.417,306.1,1,1,2017-10-08,0755,Terra,MODIS,61,6.0NRT,295.5,4.2,D
41.548,45.014,302.6,1.2,1.1,2017-10-13,0810,Terra,MODIS,51,6.0NRT,291.5,3.5,D
41.33,43.689,303.8,1.7,1.3,2017-11-15,1035,Aqua,MODIS,57,6.0NRT,283.1,13.6,D
41.588,44.182,303.4,1.8,1.3,2017-11-15,1035,Aqua,MODIS,56,6.0NRT,286.8,13.1,D
42.505,44.867,307.5,1,1,2017-11-16,0800,Terra,MODIS,51,6.0NRT,289.1,8.6,D
42.291,44.215,304.6,1.2,1.1,2017-12-04,0745,Terra,MODIS,59,6.0NRT,279.7,12.7,D
41.548,45.563,311.8,1.7,1.3,2017-12-10,1030,Aqua,MODIS,72,6.0NRT,285.6,28.4,D
41.557,45.555,304.1,1.7,1.3,2017-12-10,1030,Aqua,MODIS,58,6.0NRT,284.9,15.3,D
42.316,41.957,308.6,1,1,2017-11-19,1010,Aqua,MODIS,67,6.0NRT,293.3,8.4,D
42.539,41.686,308.8,1.3,1.1,2017-12-01,1035,Aqua,MODIS,68,6.0NRT,288.1,14.2,D
42.133,41.771,318.2,1,1,2017-12-02,1905,Terra,MODIS,96,6.0NRT,281,20.6,N
42.098,41.818,300.3,1,1,2017-12-03,1020,Aqua,MODIS,27,6.0NRT,276.2,5.6,D
42.161,41.809,313.2,1.3,1.1,2017-12-29,2300,Aqua,MODIS,87,6.0NRT,281.9,21.3,N
42.164,41.803,304.9,1.3,1.1,2017-12-29,2300,Aqua,MODIS,62,6.0NRT,281.6,13.5,N
41.225,43.585,305.8,2.2,1.4,2017-10-25,0835,Terra,MODIS,59,6.0NRT,287.5,18.6,D
41.202,44.389,311.1,1,1,2017-10-08,0755,Terra,MODIS,50,6.0NRT,298.7,7.1,D
41.224,44.222,305.2,1,1,2017-11-03,1010,Aqua,MODIS,42,6.0NRT,286.8,7.1,D
41.427,45.872,355.7,2.1,1.4,2017-10-17,0925,Aqua,MODIS,98,6.0NRT,291.8,226.4,D
41.421,45.847,322,2.1,1.4,2017-10-17,0925,Aqua,MODIS,81,6.0NRT,287.5,57.4,D
41.743,46.137,308,1.5,1.2,2017-11-01,1020,Aqua,MODIS,66,6.0NRT,291.3,14.2,D
41.742,46.119,331.2,1.5,1.2,2017-11-01,1020,Aqua,MODIS,87,6.0NRT,292.8,56.2,D
42.123,43.009,306.5,1,1,2017-10-06,0805,Terra,MODIS,64,6.0NRT,296.4,4.2,D
42.122,43.013,303.1,1,1,2017-10-22,0805,Terra,MODIS,55,6.0NRT,292.8,3.8,D
41.225,43.578,302.8,2.2,1.4,2017-10-25,0835,Terra,MODIS,51,6.0NRT,287.5,13.9,D
41.208,44.164,301.4,2.7,1.6,2017-11-13,1045,Aqua,MODIS,47,6.0NRT,286.7,21.4,D
42.032,44.317,320.8,1.4,1.2,2017-10-06,0945,Aqua,MODIS,80,6.0NRT,296.8,25.6,D
42.029,44.3,315.8,1.4,1.2,2017-10-06,0945,Aqua,MODIS,76,6.0NRT,295.7,18.3,D
41.916,44.413,301.3,1.1,1,2017-10-20,1000,Aqua,MODIS,35,6.0NRT,291,4,D
41.916,44.421,301.9,1,1,2017-10-22,0805,Terra,MODIS,47,6.0NRT,285.8,4.5,D
41.541,45.01,305.3,1,1,2017-10-27,1005,Aqua,MODIS,61,6.0NRT,290.3,4.5,D
41.43,44.842,307.1,1.2,1.1,2017-10-29,0950,Aqua,MODIS,64,6.0NRT,295.8,6.6,D
42.351,44.45,313.5,1.1,1,2017-11-05,1000,Aqua,MODIS,63,6.0NRT,285.1,13.7,D
42.358,44.437,306.1,1.1,1,2017-11-05,1000,Aqua,MODIS,21,6.0NRT,281,8,D
41.911,44.415,300.9,1,1,2017-11-12,1005,Aqua,MODIS,43,6.0NRT,289.8,4.1,D
42.676,45.158,323.9,1.2,1.1,2017-10-09,1015,Aqua,MODIS,79,6.0NRT,300.2,22,D
41.537,45.469,309.5,1.7,1.3,2017-10-07,1030,Aqua,MODIS,60,6.0NRT,297.5,10.4,D
42.17,45.532,305.6,1,1,2017-10-08,0755,Terra,MODIS,37,6.0NRT,295.4,7.2,D
41.426,45.867,346.8,2.1,1.4,2017-10-17,0925,Aqua,MODIS,95,6.0NRT,291.9,164.1,D
41.773,46.224,318.2,1,1,2017-10-27,1005,Aqua,MODIS,78,6.0NRT,294.9,14.6,D
42.127,43.015,304.5,1,1,2017-10-13,0810,Terra,MODIS,59,6.0NRT,292.6,4.4,D
42.12,43.006,303.1,1.2,1.1,2017-11-05,1000,Aqua,MODIS,55,6.0NRT,292.4,5.4,D
41.295,46.463,319.1,1.2,1.1,2017-12-25,0945,Aqua,MODIS,79,6.0NRT,282,24.1,D
41.293,46.45,303.9,1.2,1.1,2017-12-25,0945,Aqua,MODIS,57,6.0NRT,281.7,10,D
