latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
51.484,6.723,316.3,1,1,2017-01-20,1051,Terra,MODIS,0,6.1,270.7,18.5
51.486,6.722,303.2,1.4,1.2,2017-01-20,0126,Aqua,MODIS,40,6.1,270.7,16.8
51.492,6.723,305.4,1.3,1.1,2017-04-05,2144,Terra,MODIS,39,6.1,279,15.1
51.49,6.722,300.2,1.4,1.2,2017-04-10,0126,Aqua,MODIS,13,6.1,284,10
51.49,6.721,306.8,2.7,1.6,2017-04-30,0101,Aqua,MODIS,69,6.1,278.4,51.2
51.485,6.721,312.2,1,1,2017-05-27,2119,Terra,MODIS,83,6.1,293.1,9.3
51.491,6.722,303,1.7,1.3,2017-08-28,2049,Terra,MODIS,53,6.1,289.1,12
51.484,6.723,304.6,1.1,1.1,2017-09-02,2107,Terra,MODIS,37,6.1,285.5,8.9
51.484,6.721,314.2,1.1,1.1,2017-09-27,0202,Aqua,MODIS,89,6.1,283.6,17.7
51.488,6.718,312.9,1.2,1.1,2017-01-21,0208,Aqua,MODIS,84,6.1,269.7,22.1
51.487,6.719,305.9,1,1,2017-02-13,2113,Terra,MODIS,55,6.1,274.7,11.7
51.485,6.72,325.4,1,1,2017-04-29,0157,Aqua,MODIS,100,6.1,277.2,28.1
51.485,6.72,303.4,1.4,1.2,2017-08-08,0214,Aqua,MODIS,47,6.1,282.5,11.9
51.486,6.719,307.8,1.1,1,2017-08-13,2132,Terra,MODIS,72,6.1,288.2,10.6
51.489,6.718,313.3,1.1,1,2017-08-26,0202,Aqua,MODIS,81,6.1,283.8,14.9
51.49,6.714,303.7,1.2,1.1,2017-01-27,0132,Aqua,MODIS,39,6.1,271.1,14.1
51.484,6.713,304.9,1.1,1,2017-03-03,0203,Aqua,MODIS,62,6.1,274.2,12.7
51.491,6.714,300.6,1.1,1,2017-04-24,0138,Aqua,MODIS,12,6.1,276.8,8.6
51.49,6.714,307.8,1.1,1,2017-08-29,2132,Terra,MODIS,13,6.1,293.5,6.8
51.489,6.714,310,1,1,2017-09-06,0144,Aqua,MODIS,79,6.1,287.3,13
51.36,6.719,323.2,1.2,1.1,2017-05-16,1026,Terra,MODIS,79,6.1,299.5,19.4
51.36,6.707,313.4,1.1,1,2017-05-28,1237,Aqua,MODIS,67,6.1,280.5,9.5
51.36,6.709,328.5,1,1,2017-06-22,1230,Aqua,MODIS,75,6.1,307.6,13.8
