latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
48.697,12.983,302.2,1,1,2017-10-16,1020,Terra,MODIS,51,6.0NRT,292.1,3.5,D
48.629,12.881,301.3,1,1,2017-10-16,1020,Terra,MODIS,46,6.0NRT,290.7,3.6,D
48.559,13.027,304.8,1,1,2017-10-16,1020,Terra,MODIS,60,6.0NRT,290.2,6.2,D
49.406,8.642,302.7,1,1,2017-10-14,1030,Terra,MODIS,53,6.0NRT,292,3.5,D
49.047,8.291,304.8,1,1,2017-10-14,1215,Aqua,MODIS,0,6.0NRT,294.3,4.9,D
53.321,8.427,304.3,1.1,1,2017-10-16,1205,Aqua,MODIS,59,6.0NRT,290.4,5.8,D
53.135,8.684,328.3,1,1,2017-10-17,0135,Aqua,MODIS,100,6.0NRT,281.4,31.3,N
53.138,8.684,301.9,1,1,2017-11-05,2105,Terra,MODIS,45,6.0NRT,276.6,9.4,N
53.138,8.685,305.2,1.5,1.2,2017-11-28,0210,Aqua,MODIS,61,6.0NRT,275.2,20,N
53.136,8.692,305.7,1.6,1.3,2017-12-08,0110,Aqua,MODIS,65,6.0NRT,275.7,24,N
51.483,6.718,308.1,1.3,1.2,2017-10-01,1245,Aqua,MODIS,0,6.0NRT,286.1,14,D
51.486,6.743,301.3,1,1,2017-10-05,1220,Aqua,MODIS,30,6.0NRT,285.4,5.4,D
51.491,6.708,300.5,1.1,1,2017-10-13,0200,Aqua,MODIS,24,6.0NRT,281.1,7.8,N
51.491,6.74,310.8,1.7,1.3,2017-10-15,1115,Terra,MODIS,50,6.0NRT,294,16.4,D
51.485,6.711,311.2,1.6,1.3,2017-10-15,1115,Terra,MODIS,0,6.0NRT,294.1,17.6,D
51.483,6.721,301,2.3,1.5,2017-10-16,0230,Aqua,MODIS,36,6.0NRT,285.1,21.1,N
51.457,6.75,304.7,1.3,1.1,2017-10-16,1205,Aqua,MODIS,0,6.0NRT,293.7,5.5,D
51.485,6.704,303.5,1.7,1.3,2017-10-18,1150,Aqua,MODIS,0,6.0NRT,292.3,10.4,D
51.492,6.735,300.3,1,1,2017-10-18,2115,Terra,MODIS,5,6.0NRT,279.4,5.9,N
51.484,6.723,300.3,1,1,2017-10-25,2125,Terra,MODIS,16,6.0NRT,284.3,5.8,N
51.495,6.734,324,1,1,2017-10-25,2125,Terra,MODIS,100,6.0NRT,284.8,24.1,N
51.486,6.734,304.3,2.3,1.5,2017-10-30,0105,Aqua,MODIS,60,6.0NRT,277.6,34.2,N
51.494,6.74,308.6,1.1,1,2017-10-30,1030,Terra,MODIS,39,6.0NRT,284.9,10.9,D
51.482,6.726,313.6,1,1,2017-11-03,2115,Terra,MODIS,37,6.0NRT,279.6,14,N
51.488,6.707,305.6,1,1,2017-11-06,1035,Terra,MODIS,0,6.0NRT,283.6,8.9,D
51.483,6.724,301.4,1.9,1.4,2017-11-07,1120,Terra,MODIS,0,6.0NRT,280.4,18.2,D
51.483,6.713,301.8,1,1,2017-11-10,2125,Terra,MODIS,44,6.0NRT,277.2,9.1,N
51.485,6.711,304.2,1.2,1.1,2017-11-11,0130,Aqua,MODIS,59,6.0NRT,275.4,14.5,N
51.482,6.712,315.9,1,1,2017-11-12,2110,Terra,MODIS,92,6.0NRT,276,20.7,N
51.483,6.719,310.6,1.1,1,2017-11-18,0135,Aqua,MODIS,80,6.0NRT,275.1,15.6,N
51.485,6.707,302.3,1,1,2017-11-19,2115,Terra,MODIS,48,6.0NRT,277,8.9,N
51.488,6.725,314,1.1,1,2017-10-01,0135,Aqua,MODIS,88,6.0NRT,282.6,17,N
51.488,6.724,306.9,1.1,1.1,2017-10-13,0200,Aqua,MODIS,70,6.0NRT,281.6,11.6,N
51.494,6.739,319.3,1.1,1,2017-10-14,1030,Terra,MODIS,69,6.0NRT,293.2,17,D
51.484,6.712,309.5,1,1,2017-10-15,0150,Aqua,MODIS,75,6.0NRT,286.1,11.1,N
51.485,6.717,309.4,1.9,1.3,2017-10-15,1300,Aqua,MODIS,0,6.0NRT,295.3,16.8,D
51.485,6.712,316.7,1.4,1.2,2017-10-16,1020,Terra,MODIS,0,6.0NRT,293.1,21.2,D
51.484,6.725,303.1,1.1,1,2017-10-16,2130,Terra,MODIS,27,6.0NRT,288.2,6.2,N
51.495,6.738,305.7,1.1,1,2017-10-16,2130,Terra,MODIS,65,6.0NRT,288.7,8.3,N
51.482,6.711,304.4,1,1,2017-10-19,1050,Terra,MODIS,0,6.0NRT,274.4,6.9,D
51.486,6.737,302.1,1,1,2017-10-25,2125,Terra,MODIS,45,6.0NRT,283.9,6.9,N
51.485,6.707,300.5,1.2,1.1,2017-10-26,1240,Aqua,MODIS,0,6.0NRT,277.4,7.8,D
51.492,6.738,305.7,1,1,2017-10-30,1215,Aqua,MODIS,39,6.0NRT,285.2,9.2,D
51.482,6.733,300.2,1.7,1.3,2017-11-03,1150,Aqua,MODIS,21,6.0NRT,285.1,10.1,D
51.487,6.71,306.8,1,1,2017-11-07,0155,Aqua,MODIS,69,6.0NRT,276.6,12.5,N
51.485,6.724,315.4,1,1,2017-11-07,0155,Aqua,MODIS,91,6.0NRT,276.5,18.3,N
51.485,6.726,300.2,1,1,2017-11-12,2110,Terra,MODIS,19,6.0NRT,274.4,9.5,N
51.486,6.71,312.5,1,1,2017-11-13,1045,Terra,MODIS,0,6.0NRT,282.6,13.9,D
51.478,6.713,304.2,1,1,2017-11-13,1230,Aqua,MODIS,0,6.0NRT,281.8,7.6,D
51.485,6.715,322.2,1,1,2017-11-28,2110,Terra,MODIS,100,6.0NRT,276,25.7,N
51.484,6.708,303.1,1,1,2017-12-09,0155,Aqua,MODIS,53,6.0NRT,273,10.8,N
51.482,6.721,306.9,1.1,1,2017-12-16,0200,Aqua,MODIS,47,6.0NRT,274.1,13.6,N
49.683,10.865,300.5,1,1,2017-10-14,1030,Terra,MODIS,37,6.0NRT,289.9,3.6,D
48.81,9.8,312.7,1.1,1.1,2017-10-16,1205,Aqua,MODIS,73,6.0NRT,294.5,11.5,D
49.377,9.818,315.4,1.4,1.2,2017-10-18,1150,Aqua,MODIS,76,6.0NRT,290.3,23.5,D
49.595,10.029,304.9,1.1,1,2017-11-01,1205,Aqua,MODIS,57,6.0NRT,283.2,8.8,D
49.648,10.116,304.5,1.1,1,2017-11-01,1205,Aqua,MODIS,48,6.0NRT,282.9,7.8,D
49.653,10.108,321.5,1.1,1,2017-11-01,1205,Aqua,MODIS,76,6.0NRT,282.7,23.7,D
51.371,6.716,303.7,1,1,2017-10-14,1215,Aqua,MODIS,43,6.0NRT,290.7,4.2,D
51.369,6.702,313.9,1,1,2017-10-14,1215,Aqua,MODIS,56,6.0NRT,290.5,11.6,D
51.371,6.705,300.6,1,1,2017-10-19,1050,Terra,MODIS,0,6.0NRT,277.9,4.6,D
51.371,6.718,310.1,1.6,1.3,2017-11-13,0120,Aqua,MODIS,79,6.0NRT,273.1,30.5,N
51.371,6.713,301,1,1,2017-11-23,0155,Aqua,MODIS,37,6.0NRT,269.4,9.3,N
52.628,14.398,304.9,1,1,2017-10-16,1020,Terra,MODIS,60,6.0NRT,291.6,5.1,D
51.549,13.948,320.2,1,1,2017-10-16,1020,Terra,MODIS,69,6.0NRT,292.2,16.2,D
51.572,13.745,305.9,1,1,2017-10-16,1020,Terra,MODIS,62,6.0NRT,291.9,6.3,D
51.565,13.728,301.9,1,1,2017-10-16,1020,Terra,MODIS,30,6.0NRT,291.9,3.8,D
51.499,13.852,301.1,1,1,2017-10-16,1020,Terra,MODIS,39,6.0NRT,290.9,3.5,D
51.492,13.834,304.8,1,1,2017-10-16,1020,Terra,MODIS,52,6.0NRT,291.2,5.7,D
51.28,13.881,309.4,1,1,2017-10-16,1020,Terra,MODIS,69,6.0NRT,291.4,8.9,D
51.7,13.225,312.5,1.1,1.1,2017-10-17,0135,Aqua,MODIS,85,6.0NRT,281.4,17.6,N
50.928,13.388,302.4,1,1,2017-10-16,1020,Terra,MODIS,52,6.0NRT,290.9,4,D
51.432,12.38,304.4,1.1,1,2017-10-18,1150,Aqua,MODIS,59,6.0NRT,289.6,6.3,D
48.692,8.991,306,1,1,2017-10-05,1220,Aqua,MODIS,63,6.0NRT,287,6.5,D
48.701,8.988,304.7,1,1,2017-10-05,1220,Aqua,MODIS,52,6.0NRT,287,5.6,D
48.317,10.964,301.3,1,1,2017-10-07,1025,Terra,MODIS,37,6.0NRT,274.4,6.7,D
48.012,9.241,304.6,1,1,2017-10-14,1215,Aqua,MODIS,59,6.0NRT,293.7,5.5,D
48.474,10.359,305.8,1,1,2017-10-14,1215,Aqua,MODIS,62,6.0NRT,291.1,6.4,D
48.134,11.696,300.2,1,1,2017-10-16,1020,Terra,MODIS,29,6.0NRT,290.1,1.6,D
48.131,9.153,314.9,1.2,1.1,2017-10-16,1205,Aqua,MODIS,75,6.0NRT,294.9,16.1,D
48.437,10.351,320.2,1.1,1,2017-10-16,1205,Aqua,MODIS,80,6.0NRT,293.1,18.9,D
48.435,10.337,315.4,1.1,1,2017-10-16,1205,Aqua,MODIS,76,6.0NRT,293.7,14.1,D
48.54,10.352,305.1,1.1,1,2017-10-16,1205,Aqua,MODIS,57,6.0NRT,293.9,5.3,D
48.48,10.362,301.2,1.1,1.1,2017-10-21,1035,Terra,MODIS,39,6.0NRT,285.4,5.5,D
52.158,10.425,302,2,1.4,2017-10-01,1245,Aqua,MODIS,35,6.0NRT,290.6,10.7,D
52.158,10.405,308.6,1.1,1,2017-10-06,2055,Terra,MODIS,75,6.0NRT,282,12.6,N
52.154,10.41,304.2,1.2,1.1,2017-10-09,1010,Terra,MODIS,58,6.0NRT,277.5,10.6,D
52.157,10.405,305.1,1.2,1.1,2017-10-12,0115,Aqua,MODIS,63,6.0NRT,284.2,12.2,N
52.156,10.409,306.7,1,1,2017-10-14,1030,Terra,MODIS,20,6.0NRT,291.5,5.6,D
52.147,10.406,304.7,1,1,2017-10-14,1030,Terra,MODIS,25,6.0NRT,290.3,4.6,D
52.153,10.41,304.2,1.1,1.1,2017-10-15,0150,Aqua,MODIS,59,6.0NRT,284.5,10.2,N
52.155,10.413,301,1.2,1.1,2017-10-15,2045,Terra,MODIS,21,6.0NRT,286,7.2,N
52.157,10.409,302.8,1.2,1.1,2017-10-18,1150,Aqua,MODIS,31,6.0NRT,288.3,5.5,D
52.157,10.409,310.7,1.1,1,2017-10-19,0125,Aqua,MODIS,81,6.0NRT,280.9,15.2,N
52.147,10.407,310.3,1.5,1.2,2017-10-19,1235,Aqua,MODIS,70,6.0NRT,292.1,14.9,D
52.153,10.406,315,1.3,1.1,2017-10-22,0155,Aqua,MODIS,90,6.0NRT,281.7,22.6,N
52.15,10.406,300.8,1,1,2017-10-30,1030,Terra,MODIS,42,6.0NRT,282.6,6.4,D
52.157,10.41,313,1.3,1.2,2017-11-03,1005,Terra,MODIS,69,6.0NRT,285.5,19.8,D
52.154,10.406,309.4,1.1,1.1,2017-11-03,2115,Terra,MODIS,77,6.0NRT,276.1,15.9,N
52.153,10.41,306.4,1.3,1.1,2017-11-06,0110,Aqua,MODIS,68,6.0NRT,276.2,18,N
52.151,10.412,317.3,1,1,2017-11-06,1035,Terra,MODIS,77,6.0NRT,281.6,18.5,D
52.155,10.409,304.7,1,1,2017-11-17,1205,Aqua,MODIS,59,6.0NRT,282.1,9,D
52.155,10.407,307.3,1.3,1.1,2017-11-25,2040,Terra,MODIS,71,6.0NRT,274.1,18.8,N
52.151,10.406,300.2,1.1,1,2017-12-25,2055,Terra,MODIS,19,6.0NRT,274.9,9.2,N
52.154,10.412,310.3,1,1,2017-12-29,0130,Aqua,MODIS,80,6.0NRT,272.7,15,N
52.154,10.412,300.3,1.4,1.2,2017-12-29,1055,Terra,MODIS,35,6.0NRT,275.5,13.6,D
51.364,6.706,300.9,1.1,1,2017-10-01,0135,Aqua,MODIS,36,6.0NRT,281.1,8.3,N
51.362,6.711,319,1,1,2017-10-14,1215,Aqua,MODIS,72,6.0NRT,292.1,15.2,D
51.365,6.704,309.4,1.3,1.1,2017-10-16,1205,Aqua,MODIS,0,6.0NRT,293.1,10.4,D
51.361,6.709,311,1.3,1.1,2017-11-01,1205,Aqua,MODIS,67,6.0NRT,285.5,17.4,D
51.366,6.703,304.4,1,1,2017-11-03,2115,Terra,MODIS,60,6.0NRT,280.6,10.2,N
51.362,6.709,302.3,1,1,2017-11-04,1050,Terra,MODIS,49,6.0NRT,284.2,7,D
51.361,6.709,310.9,1.1,1,2017-11-04,1235,Aqua,MODIS,67,6.0NRT,287.4,13.1,D
51.366,6.707,309.4,1.1,1.1,2017-11-05,2105,Terra,MODIS,77,6.0NRT,276.5,16.9,N
51.363,6.702,304.1,1.3,1.1,2017-11-17,1205,Aqua,MODIS,52,6.0NRT,281.2,11.4,D
51.368,6.709,300.2,1,1,2017-11-22,1035,Terra,MODIS,25,6.0NRT,269.4,8.4,D
51.366,6.705,311,1,1,2017-11-22,1220,Aqua,MODIS,53,6.0NRT,285.3,12.3,D
51.368,6.714,305.3,1.6,1.3,2017-11-29,0120,Aqua,MODIS,64,6.0NRT,273.5,24.5,N
52.156,10.401,310.8,2,1.4,2017-10-01,1245,Aqua,MODIS,71,6.0NRT,291.9,26.4,D
52.156,10.395,309.2,2,1.4,2017-10-01,1245,Aqua,MODIS,68,6.0NRT,291.5,23.1,D
52.156,10.401,302.5,1,1,2017-10-13,2100,Terra,MODIS,50,6.0NRT,271.4,8.8,N
52.152,10.398,317.7,1,1,2017-10-14,1215,Aqua,MODIS,78,6.0NRT,292.2,15.1,D
52.152,10.396,307.5,1.2,1.1,2017-10-15,2045,Terra,MODIS,71,6.0NRT,286.9,12,N
52.152,10.401,320.2,1.1,1,2017-10-16,1020,Terra,MODIS,80,6.0NRT,292.6,18.1,D
52.159,10.4,304.9,1.5,1.2,2017-10-16,2130,Terra,MODIS,62,6.0NRT,286.4,14.4,N
52.156,10.4,301.2,1,1,2017-10-17,0135,Aqua,MODIS,38,6.0NRT,284.7,6.2,N
52.156,10.392,302.1,2,1.4,2017-10-17,1245,Aqua,MODIS,51,6.0NRT,289,12.8,D
52.153,10.403,315.9,1.1,1.1,2017-10-18,2115,Terra,MODIS,92,6.0NRT,284.2,20.6,N
52.155,10.391,302.3,1.3,1.1,2017-10-19,1050,Terra,MODIS,45,6.0NRT,289.6,5.6,D
52.157,10.403,304,1.3,1.1,2017-10-25,2125,Terra,MODIS,58,6.0NRT,281.5,13.1,N
52.158,10.399,301.9,1.1,1,2017-11-04,0125,Aqua,MODIS,44,6.0NRT,274.7,9.7,N
52.153,10.397,324.4,1,1,2017-11-06,1035,Terra,MODIS,83,6.0NRT,281.7,25.9,D
52.159,10.402,302.4,1,1,2017-11-15,1030,Terra,MODIS,52,6.0NRT,279,8.2,D
52.152,10.394,305.2,1,1,2017-11-17,1205,Aqua,MODIS,61,6.0NRT,282.5,9.2,D
52.159,10.401,304.1,1.6,1.2,2017-11-28,1000,Terra,MODIS,50,6.0NRT,273.7,17.2,D
52.156,10.398,305.4,1,1,2017-12-29,0130,Aqua,MODIS,64,6.0NRT,272.7,11.7,N
49.245,6.848,303.1,1.1,1,2017-10-03,1050,Terra,MODIS,49,6.0NRT,290,6.8,D
49.247,6.854,314.1,1,1,2017-10-14,1030,Terra,MODIS,74,6.0NRT,293.1,12.7,D
49.353,6.75,306.2,1.1,1,2017-10-14,1215,Aqua,MODIS,61,6.0NRT,295.4,5.7,D
49.358,6.741,303.3,1,1,2017-10-19,1235,Aqua,MODIS,48,6.0NRT,290.3,4.3,D
49.24,6.847,301,1.4,1.2,2017-11-01,1205,Aqua,MODIS,44,6.0NRT,285.9,8.9,D
49.352,6.746,300.3,1,1,2017-11-13,1230,Aqua,MODIS,33,6.0NRT,281.7,6.8,D
49.247,6.847,300.5,1.5,1.2,2017-11-22,2145,Terra,MODIS,28,6.0NRT,277.4,13.8,N
53.52,9.898,310,1.5,1.2,2017-10-01,2035,Terra,MODIS,79,6.0NRT,282.8,22.8,N
53.513,10.041,300.8,1.1,1.1,2017-10-16,1020,Terra,MODIS,0,6.0NRT,289.4,5.2,D
53.519,9.903,300.4,1.1,1.1,2017-10-16,1020,Terra,MODIS,0,6.0NRT,289.6,4.3,D
53.513,10.036,302.4,1,1,2017-10-16,1205,Aqua,MODIS,45,6.0NRT,291.8,3.9,D
53.518,9.903,304.2,1.5,1.2,2017-10-17,2035,Terra,MODIS,59,6.0NRT,282.1,16.7,N
53.358,11.88,301.7,1,1,2017-10-18,1150,Aqua,MODIS,49,6.0NRT,285.4,5.9,D
53.521,9.908,301,1.5,1.2,2017-11-06,0110,Aqua,MODIS,37,6.0NRT,275.2,15.9,N
52.162,10.406,300.1,1.5,1.2,2017-10-01,2035,Terra,MODIS,10,6.0NRT,282.5,11.7,N
52.436,10.775,311.3,1,1,2017-10-14,1030,Terra,MODIS,67,6.0NRT,291.6,9.7,D
52.201,11.028,314.7,1,1,2017-10-14,1030,Terra,MODIS,75,6.0NRT,288.8,13.1,D
52.174,10.416,304,1,1,2017-10-14,1030,Terra,MODIS,24,6.0NRT,289.9,4.3,D
52.177,10.42,308.3,1.2,1.1,2017-10-15,2045,Terra,MODIS,58,6.0NRT,285.5,12.5,N
52.174,10.404,313.1,1.2,1.1,2017-10-15,2045,Terra,MODIS,86,6.0NRT,285.7,17,N
52.433,10.779,315.7,1.1,1.1,2017-10-18,1150,Aqua,MODIS,76,6.0NRT,292,16.7,D
52.16,10.41,304.4,1.3,1.1,2017-10-21,0110,Aqua,MODIS,60,6.0NRT,282.3,14.6,N
52.163,10.411,300.2,1.3,1.1,2017-10-22,0155,Aqua,MODIS,21,6.0NRT,281.8,9.3,N
52.161,10.413,308.5,1,1,2017-11-27,0130,Aqua,MODIS,75,6.0NRT,274.5,13.1,N
