latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
39.543,20.17,307,1,1,2017-03-24,1151,Aqua,MODIS,0,6.1,290.5,5.4
39.785,19.87,304.4,1.3,1.1,2017-07-25,0027,Aqua,MODIS,29,6.1,292.4,6
39.682,20.081,311.8,1.5,1.2,2017-09-21,1208,Aqua,MODIS,0,6.1,293.9,11.8
41.19,24.172,314.7,1.2,1.1,2017-09-22,2039,Terra,MODIS,90,6.1,285.6,19.9
41.191,24.181,309.6,1.2,1.1,2017-09-22,2039,Terra,MODIS,78,6.1,285.4,15.8
41.19,24.166,300.7,1.2,1.1,2017-09-22,2039,Terra,MODIS,32,6.1,284.2,8.4
41.051,24.393,328.7,1.8,1.3,2017-09-21,1957,Terra,MODIS,100,6.1,286.9,66.5
41.047,24.388,310.7,1.8,1.3,2017-09-21,1957,Terra,MODIS,81,6.1,286.7,27.9
41.059,24.385,312.5,1.8,1.3,2017-09-21,1957,Terra,MODIS,85,6.1,283.6,31.4
36.27,22.983,328.4,2.1,1.4,2017-08-04,0852,Terra,MODIS,81,6.1,306,48.4
36.251,22.949,437.7,2,1.4,2017-08-04,1207,Aqua,MODIS,87,6.1,326.7,1518.9
36.265,22.969,350.9,2,1.4,2017-08-04,1207,Aqua,MODIS,96,6.1,310.4,141.6
36.263,22.948,431.7,2,1.4,2017-08-04,1207,Aqua,MODIS,75,6.1,324.3,1345.8
36.26,22.93,348.4,1.2,1.1,2017-08-05,0935,Terra,MODIS,0,6.1,313.7,55.4
36.253,22.968,331.6,1.2,1.1,2017-08-05,0935,Terra,MODIS,79,6.1,314.2,20.6
36.213,22.966,312.9,1,1,2017-08-05,2038,Terra,MODIS,73,6.1,296.5,9
36.233,22.979,317.2,1,1,2017-08-05,2038,Terra,MODIS,93,6.1,295.3,13.8
36.225,22.923,317.1,1,1,2017-08-05,2038,Terra,MODIS,93,6.1,296.7,12.6
36.222,22.964,351.8,1.8,1.3,2017-08-05,1112,Aqua,MODIS,96,6.1,310.7,122.3
36.234,22.96,396.4,1.8,1.3,2017-08-05,1112,Aqua,MODIS,100,6.1,318.8,525.1
36.228,22.958,412.7,1.8,1.3,2017-08-05,1112,Aqua,MODIS,100,6.1,320.2,778.9
36.244,22.973,344.3,1.8,1.3,2017-08-05,1112,Aqua,MODIS,92,6.1,310.4,83
36.239,22.953,370.8,1.8,1.3,2017-08-05,1112,Aqua,MODIS,94,6.1,316.2,245.8
36.235,22.934,338.9,1.8,1.3,2017-08-05,1112,Aqua,MODIS,0,6.1,310.2,62.4
36.255,22.97,328.6,1.8,1.3,2017-08-05,1112,Aqua,MODIS,81,6.1,310.3,31.8
38.127,23.941,310.4,1,1,2017-04-11,1138,Aqua,MODIS,57,6.1,297.1,5.9
37.761,23.94,310.3,1.1,1,2017-07-31,2020,Terra,MODIS,80,6.1,296.5,8.4
37.779,23.928,308.3,1.1,1,2017-08-01,0033,Aqua,MODIS,74,6.1,295.3,8.1
