latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.934,21.275,320,1.2,1.1,2017-10-03,0915,Terra,MODIS,77,6.0NRT,300,12.9,D
37.933,21.268,322.1,1.2,1.1,2017-10-03,0915,Terra,MODIS,79,6.0NRT,299.8,15.7,D
37.846,21.323,314.4,1.2,1.1,2017-10-03,0915,Terra,MODIS,70,6.0NRT,299.9,6.7,D
37.632,21.485,312.8,1.2,1.1,2017-10-03,0915,Terra,MODIS,68,6.0NRT,298.7,6.6,D
37.819,21.245,314.2,1.1,1,2017-10-04,1135,Aqua,MODIS,0,6.0NRT,301.7,5.9,D
37.873,21.293,315.7,1,1,2017-10-04,1135,Aqua,MODIS,70,6.0NRT,302.4,6.6,D
37.981,21.302,320.6,1.3,1.1,2017-10-06,0945,Terra,MODIS,73,6.0NRT,296.6,20.8,D
37.83,21.215,312.2,1.6,1.2,2017-10-13,0950,Terra,MODIS,50,6.0NRT,297.7,11,D
37.919,21.302,317.2,2.2,1.4,2017-10-14,0855,Terra,MODIS,73,6.0NRT,299.2,29.8,D
37.917,21.328,315.3,2.2,1.4,2017-10-14,0855,Terra,MODIS,66,6.0NRT,299.2,25,D
37.933,21.305,314.1,1.1,1.1,2017-10-15,0940,Terra,MODIS,70,6.0NRT,301.3,6.5,D
37.629,21.455,310.1,1.1,1.1,2017-10-15,0940,Terra,MODIS,55,6.0NRT,298.6,5.1,D
38.164,21.397,318.5,1.6,1.2,2017-10-16,0055,Aqua,MODIS,97,6.0NRT,289,36.1,N
38.079,21.368,300.5,1.4,1.2,2017-11-04,2020,Terra,MODIS,28,6.0NRT,284.7,9.8,N
38.085,21.368,304.5,1.9,1.4,2017-11-05,0955,Terra,MODIS,36,6.0NRT,292.2,8.8,D
38.113,21.645,303.9,2.7,1.6,2017-11-24,0850,Terra,MODIS,57,6.0NRT,284.5,28.1,D
38.109,21.639,302.1,2.7,1.6,2017-11-24,0850,Terra,MODIS,50,6.0NRT,284.9,22.4,D
39.252,25.914,337.3,1.5,1.2,2017-10-23,0850,Terra,MODIS,89,6.0NRT,297.8,66.1,D
39.25,25.932,335,1.5,1.2,2017-10-23,0850,Terra,MODIS,88,6.0NRT,296,59.7,D
39.216,25.946,308.3,1.5,1.2,2017-10-23,0850,Terra,MODIS,58,6.0NRT,294.9,7.7,D
39.194,25.956,315.5,1,1,2017-10-31,1115,Aqua,MODIS,76,6.0NRT,294.2,12.4,D
