latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
47.412,18.484,305,2,1.4,2017-03-13,1027,Terra,MODIS,60,6.1,283.3,22.5
47.362,18.526,317.8,1.1,1.1,2017-06-03,1159,Aqua,MODIS,22,6.1,303.1,8.6
47.356,18.004,312.7,1,1,2017-03-17,1147,Aqua,MODIS,72,6.1,289.6,10.3
47.693,17.971,329.7,1.1,1,2017-04-02,1002,Terra,MODIS,84,6.1,298.9,26
47.587,18.041,333.8,1,1,2017-07-16,1140,Aqua,MODIS,87,6.1,303,26.1
47.596,18.038,321.6,1,1,2017-07-16,1140,Aqua,MODIS,35,6.1,303.8,11.3
47.616,18.052,358.5,1,1,2017-07-16,1140,Aqua,MODIS,99,6.1,305.6,79.3
47.614,18.039,328.9,1,1,2017-07-16,1140,Aqua,MODIS,73,6.1,303.1,21.3
46.953,17.104,327.2,1,1,2017-06-28,1152,Aqua,MODIS,80,6.1,301.1,16.2
46.951,17.091,330.5,1,1,2017-06-28,1152,Aqua,MODIS,83,6.1,302.6,19.9
46.626,17.306,313.1,1,1,2017-04-02,1003,Terra,MODIS,60,6.1,298.3,7.3
46.508,17.266,308.8,1,1,2017-05-20,1003,Terra,MODIS,33,6.1,295.1,6.1
46.127,17.221,302.1,1.2,1.1,2017-06-28,0044,Aqua,MODIS,46,6.1,289.2,7.1
46.935,18.935,300.4,1.7,1.3,2017-06-15,2010,Terra,MODIS,26,6.1,289.7,9.6
46.932,18.948,317.5,1,1,2017-07-02,0944,Terra,MODIS,44,6.1,299.5,10.1
47.029,18.885,318.2,3.1,1.7,2017-07-17,1039,Terra,MODIS,72,6.1,299.2,49.7
47.015,18.877,338.6,3.1,1.7,2017-07-17,1039,Terra,MODIS,90,6.1,298.7,177.3
47.012,18.851,324.5,4.1,1.9,2017-07-17,1045,Aqua,MODIS,80,6.1,296.1,129.4
46.936,18.943,301.6,1,1,2017-08-14,2035,Terra,MODIS,42,6.1,290.1,4.8
46.935,18.951,301.5,1.1,1,2017-08-28,2047,Terra,MODIS,41,6.1,289.6,5.9
46.592,17.263,300.9,1.6,1.2,2017-03-04,1217,Aqua,MODIS,42,6.1,289.4,6.8
46.6,17.676,311.5,1,1,2017-08-08,1146,Aqua,MODIS,37,6.1,296.4,4.5
46.282,20.182,325.9,1,1,2017-07-07,1146,Aqua,MODIS,70,6.1,305.8,9.7
46.293,20.036,309.1,1,1,2017-09-18,1140,Aqua,MODIS,55,6.1,293.4,4.7
46.875,18.187,305.9,1.1,1,2017-03-17,1003,Terra,MODIS,62,6.1,293.1,5
46.671,18.253,314.8,1.2,1.1,2017-03-24,1009,Terra,MODIS,74,6.1,290.6,14.1
47.079,18.535,312.2,1.6,1.2,2017-03-29,1211,Aqua,MODIS,49,6.1,300.4,8.6
47.799,20.053,302.6,1.1,1,2017-03-26,0956,Terra,MODIS,52,6.1,290.3,4
47.82,19.852,320.8,1,1,2017-04-02,1147,Aqua,MODIS,73,6.1,299.5,13.3
47.719,17.416,313.6,2.2,1.5,2017-06-11,1110,Aqua,MODIS,54,6.1,299.2,19.8
47.728,17.415,310.2,2.3,1.5,2017-07-13,1110,Aqua,MODIS,60,6.1,296,19.4
47.332,17.712,305.6,1,1,2017-03-17,1147,Aqua,MODIS,57,6.1,290.3,5.8
47.341,17.709,302.5,1,1,2017-03-17,1147,Aqua,MODIS,29,6.1,290.9,3.7
48.016,19.83,303.7,1,1,2017-03-26,1141,Aqua,MODIS,57,6.1,291.4,4.5
46.625,19.967,315.2,1.5,1.2,2017-04-09,1009,Terra,MODIS,73,6.1,297.5,17.1
47.19,19.888,312.4,1.3,1.1,2017-05-10,0926,Terra,MODIS,72,6.1,291.1,14.7
47.434,19.46,300.6,1.7,1.3,2017-03-13,1211,Aqua,MODIS,39,6.1,285.6,8.7
47.401,19.521,302.2,1,1,2017-03-17,1147,Aqua,MODIS,51,6.1,287.9,3.6
47.531,19.252,318,1.2,1.1,2017-07-02,1128,Aqua,MODIS,62,6.1,300,10.4
47.466,19.285,319.5,1.3,1.1,2017-07-30,1009,Terra,MODIS,68,6.1,303.8,10.2
47.675,19.522,316.5,1.1,1,2017-08-12,0938,Terra,MODIS,64,6.1,296.2,8.4
47.674,19.536,320.1,1.1,1,2017-08-12,0938,Terra,MODIS,72,6.1,294.7,11.9
47.668,19.529,318.2,1.3,1.1,2017-08-12,1122,Aqua,MODIS,57,6.1,300.8,11.3
47.432,18.811,312.9,2.1,1.4,2017-09-01,0914,Terra,MODIS,17,6.1,296.3,14
48.089,19.607,307.4,1.7,1.3,2017-03-04,2004,Terra,MODIS,54,6.1,277.1,23.6
47.657,17.129,308.6,1.4,1.2,2017-01-07,1128,Aqua,MODIS,67,6.1,267.6,23.5
46.609,18.638,301.4,1.9,1.3,2017-04-21,1217,Aqua,MODIS,20,6.1,286.8,11.3
46.703,18.368,300.5,2.6,1.5,2017-03-16,1104,Aqua,MODIS,38,6.1,284.3,15.9
46.457,17.818,305.4,1,1,2017-03-17,1146,Aqua,MODIS,57,6.1,292.1,4.1
45.998,19.124,304.6,1.7,1.3,2017-02-26,1115,Aqua,MODIS,59,6.1,284.2,16
46.937,18.939,305.3,1.7,1.3,2017-06-15,2010,Terra,MODIS,64,6.1,290,15.2
46.938,18.947,315.7,1.2,1.1,2017-07-04,0932,Terra,MODIS,0,6.1,302.2,9.2
46.938,18.937,303.6,1.1,1,2017-07-06,2029,Terra,MODIS,56,6.1,291.7,5.4
47.027,18.891,325,3.1,1.7,2017-07-17,1039,Terra,MODIS,80,6.1,299.2,82.9
47.027,18.9,313.2,4.1,1.9,2017-07-17,1045,Aqua,MODIS,58,6.1,296,45.9
46.679,18.886,303.4,1,1,2017-08-04,0102,Aqua,MODIS,55,6.1,291.7,5.6
47.354,17.609,302.3,1,1,2017-03-26,0956,Terra,MODIS,52,6.1,290.1,3.7
47.505,19.247,302.6,2,1.4,2017-03-04,1217,Aqua,MODIS,53,6.1,290.2,9.8
47.446,18.961,314.4,1.1,1.1,2017-05-04,1003,Terra,MODIS,73,6.1,297.7,11
47.45,18.966,316.5,1.1,1.1,2017-08-08,1003,Terra,MODIS,68,6.1,301.1,11
47.227,17.874,301.8,1,1,2017-03-17,1147,Aqua,MODIS,48,6.1,287,3.8
47.119,18.405,322.7,2.4,1.5,2017-06-24,1033,Terra,MODIS,77,6.1,302.2,47
47.111,18.435,321,2.4,1.5,2017-06-24,1033,Terra,MODIS,76,6.1,299.9,41.9
47.238,18.152,318,1.8,1.3,2017-07-10,1217,Aqua,MODIS,32,6.1,301.2,14.3
47.187,17.981,322.5,1.1,1,2017-07-18,0944,Terra,MODIS,33,6.1,307.4,12.5
47.453,19.615,312.8,1.1,1,2017-06-14,0956,Terra,MODIS,40,6.1,298.4,6.6
46.357,18.558,310.6,3.1,1.7,2017-01-06,1039,Terra,MODIS,41,6.1,269.4,82.5
46.271,18.739,313.2,1.9,1.3,2017-03-04,1217,Aqua,MODIS,73,6.1,293.5,25.2
46.347,18.28,310.4,1.3,1.1,2017-04-25,1009,Terra,MODIS,64,6.1,293.5,9.4
46.263,18.705,304.6,1,1,2017-05-06,0951,Terra,MODIS,47,6.1,291.9,2.8
46.34,21.006,303.7,1.4,1.2,2017-02-28,0920,Terra,MODIS,57,6.1,291.2,6.2
46.413,20.948,303.4,1,1,2017-08-07,2029,Terra,MODIS,55,6.1,289,6.5
46.814,21.08,312.3,1.1,1,2017-03-17,1146,Aqua,MODIS,71,6.1,293.9,9.4
47.239,21.419,327.9,1.2,1.1,2017-03-26,0956,Terra,MODIS,85,6.1,288.9,34.5
46.817,21.02,318.5,2,1.4,2017-07-05,1015,Terra,MODIS,70,6.1,300.9,23.3
47.098,18.807,311.4,1,1,2017-03-28,0944,Terra,MODIS,56,6.1,296,6.7
47.013,18.883,335.7,3.1,1.7,2017-07-17,1039,Terra,MODIS,88,6.1,298.5,155.2
46.935,18.943,303.1,1,1,2017-03-17,1147,Aqua,MODIS,34,6.1,291.3,3.8
46.874,18.78,323.4,1.3,1.1,2017-03-22,1205,Aqua,MODIS,78,6.1,297.1,24
46.935,18.936,323.5,1.2,1.1,2017-07-18,1128,Aqua,MODIS,0,6.1,307.4,12.5
46.941,18.944,302.7,1,1,2017-07-20,2041,Terra,MODIS,51,6.1,288.3,4.6
46.939,18.948,307.7,1,1,2017-09-04,0945,Terra,MODIS,0,6.1,294.4,5.6
46.938,18.945,301.1,1.2,1.1,2017-09-25,1003,Terra,MODIS,0,6.1,286.8,4
46.928,20.521,310.1,1.5,1.2,2017-03-24,1009,Terra,MODIS,65,6.1,296.4,9.8
46.738,20.59,320.8,1.7,1.3,2017-07-13,1109,Aqua,MODIS,75,6.1,302.7,24.3
