latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.788,22.647,308.6,1.4,1.2,2017-10-19,0910,Terra,MODIS,67,6.0NRT,293.8,10.2,D
47.77,21.994,300,1.5,1.2,2017-10-19,0910,Terra,MODIS,20,6.0NRT,286.5,5,D
47.761,21.989,307.1,1.9,1.3,2017-10-19,1055,Aqua,MODIS,65,6.0NRT,292.5,14.8,D
47.933,21.839,326.3,1.1,1,2017-10-20,1140,Aqua,MODIS,84,6.0NRT,293.2,25.5,D
47.931,21.825,303.4,1.1,1,2017-10-20,1140,Aqua,MODIS,56,6.0NRT,292.4,4.7,D
47.069,18.64,300.4,2,1.4,2017-10-01,1105,Aqua,MODIS,26,6.0NRT,290.1,4.5,D
46.49,20.953,308.5,1.4,1.2,2017-10-09,1155,Aqua,MODIS,67,6.0NRT,295.4,8.9,D
46.763,18.338,306.4,1.1,1.1,2017-10-15,0935,Terra,MODIS,60,6.0NRT,293.9,5.6,D
46.896,21.123,300.6,1.7,1.3,2017-10-18,1005,Terra,MODIS,39,6.0NRT,280,8.2,D
46.736,20.924,301.9,1.6,1.3,2017-10-18,1005,Terra,MODIS,49,6.0NRT,280.6,8.4,D
46.437,21.23,331.9,2.3,1.5,2017-10-19,1055,Aqua,MODIS,87,6.0NRT,300.5,87.6,D
46.537,21.284,314.5,1.2,1.1,2017-10-20,0955,Terra,MODIS,72,6.0NRT,299.9,11.3,D
46.464,21.211,300.1,1,1,2017-11-05,1140,Aqua,MODIS,29,6.0NRT,283.6,5,D
47.148,20.021,300.2,1,1,2017-11-05,1140,Aqua,MODIS,32,6.0NRT,283.8,5.1,D
47.762,22.564,300.9,3.2,1.7,2017-10-07,1025,Terra,MODIS,43,6.0NRT,284.7,24.5,D
47.739,22.32,305,1.8,1.3,2017-10-19,1055,Aqua,MODIS,60,6.0NRT,290.9,12.2,D
48.128,22.172,303.9,1.1,1,2017-10-20,1140,Aqua,MODIS,57,6.0NRT,292.4,5.3,D
48.127,22.158,305,1.1,1,2017-10-20,1140,Aqua,MODIS,60,6.0NRT,293.3,5.9,D
47.901,22.388,302.7,1.1,1,2017-11-05,1140,Aqua,MODIS,53,6.0NRT,287.4,6.8,D
46.298,20.188,303.8,1.1,1.1,2017-11-23,1125,Aqua,MODIS,57,6.0NRT,281.8,8.9,D
47.676,16.984,304.2,1.2,1.1,2017-10-09,1015,Terra,MODIS,54,6.0NRT,287.8,7.7,D
47.671,16.974,301.2,1,1,2017-10-09,1155,Aqua,MODIS,43,6.0NRT,290,4,D
46.739,16.909,307.1,1.1,1.1,2017-10-16,1200,Aqua,MODIS,50,6.0NRT,295.8,5.9,D
46.737,16.894,309,1.1,1.1,2017-10-16,1200,Aqua,MODIS,64,6.0NRT,295.1,7.6,D
46.743,16.901,308.1,1.1,1.1,2017-10-16,1200,Aqua,MODIS,62,6.0NRT,295.4,7.6,D
46.27,18.838,305.6,1.9,1.3,2017-10-14,1215,Aqua,MODIS,58,6.0NRT,285.1,14.5,D
47.381,19.931,307,1.1,1.1,2017-10-02,1150,Aqua,MODIS,51,6.0NRT,293.2,5.5,D
46.834,19.678,304.7,1.9,1.3,2017-10-19,0910,Terra,MODIS,58,6.0NRT,293.2,10.2,D
46.938,18.943,304,1.2,1.1,2017-10-25,1155,Aqua,MODIS,44,6.0NRT,285.9,8.2,D
