latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
55.131,-8.05,340.7,1.1,1,2017-05-04,1139,Terra,MODIS,80,6.1,294.1,46.7
55.12,-8.037,311.3,1.1,1,2017-05-04,1139,Terra,MODIS,49,6.1,292.3,9.1
55.126,-8.058,314.9,1,1,2017-05-04,1327,Aqua,MODIS,62,6.1,293,12.4
53.273,-9.532,318.8,1.3,1.1,2017-03-25,2203,Terra,MODIS,87,6.1,275.4,27.6
52.205,-9.76,306.7,1.2,1.1,2017-03-26,1134,Terra,MODIS,64,6.1,287.9,10
51.788,-9.06,301.2,1.1,1.1,2017-03-26,1134,Terra,MODIS,45,6.1,285.9,6.6
51.904,-10.194,300.1,1.1,1,2017-03-26,1321,Aqua,MODIS,20,6.1,287.5,4.2
52.018,-10.137,304.1,1.1,1,2017-03-26,1321,Aqua,MODIS,44,6.1,287.1,7.4
52.495,-9.492,328.9,1.1,1,2017-03-26,1321,Aqua,MODIS,86,6.1,289.5,30.3
51.968,-9.815,304.2,1.4,1.2,2017-03-27,1217,Terra,MODIS,58,6.1,287,11.3
53.274,-9.212,304.7,2.6,1.5,2017-04-08,1241,Terra,MODIS,56,6.1,287.9,23.5
53.264,-9.176,300.8,2.6,1.5,2017-04-08,1241,Terra,MODIS,0,6.1,289,14.6
53.322,-9.337,312.2,1.2,1.1,2017-05-07,1211,Terra,MODIS,63,6.1,293.5,11.6
53.331,-9.331,317.2,1.9,1.3,2017-05-08,1115,Terra,MODIS,77,6.1,292.3,33.4
53.319,-9.33,311.2,3.4,1.7,2017-05-08,1253,Terra,MODIS,47,6.1,291.4,44.8
53.311,-9.376,315.9,1,1,2017-05-08,2228,Terra,MODIS,91,6.1,278.9,16.7
53.306,-9.406,304.6,1,1,2017-05-08,2228,Terra,MODIS,25,6.1,279.6,8.5
53.336,-9.323,304,1,1,2017-05-08,2228,Terra,MODIS,58,6.1,280.2,9.2
53.345,-9.334,395.1,1,1,2017-05-09,1158,Terra,MODIS,100,6.1,302.1,231.1
