latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
40.579,15.115,303,1,1,2017-03-17,1004,Terra,MODIS,33,6.1,293,3.7
40.738,14.947,304.7,1.5,1.2,2017-03-17,1145,Aqua,MODIS,51,6.1,291.9,9.8
40.586,14.995,300.5,1.9,1.3,2017-06-11,2033,Terra,MODIS,28,6.1,290.3,10.3
40.534,15.208,304.5,1,1,2017-07-16,2104,Terra,MODIS,60,6.1,289.9,6.8
40.671,15.065,301,1,1,2017-07-16,2104,Terra,MODIS,37,6.1,286.4,5.4
40.669,15.054,307.6,1,1,2017-07-16,2104,Terra,MODIS,72,6.1,288.9,9.3
40.676,15.04,312,1,1,2017-07-16,2104,Terra,MODIS,84,6.1,289.6,11.4
41.125,15.004,330.5,1,1,2017-08-01,0959,Terra,MODIS,71,6.1,314.3,9.7
41.116,15.002,328.6,1,1,2017-08-01,0959,Terra,MODIS,58,6.1,312.8,7.5
41.12,14.995,330.3,1.8,1.3,2017-08-01,1138,Aqua,MODIS,71,6.1,311.5,25.8
41.115,14.992,327.5,1.8,1.3,2017-08-01,1138,Aqua,MODIS,43,6.1,310.7,16.6
40.979,14.976,319.4,4.7,2,2017-08-02,0903,Terra,MODIS,28,6.1,302.9,61.3
40.981,15.196,328.5,1.3,1.1,2017-08-02,1221,Aqua,MODIS,46,6.1,313.7,12
40.988,15.164,360.4,1.3,1.1,2017-08-02,1221,Aqua,MODIS,100,6.1,315.1,93.6
40.756,15.231,325.4,1,1,2017-08-10,0953,Terra,MODIS,43,6.1,312.9,8.9
40.951,15.057,328.3,1.8,1.3,2017-08-17,1138,Aqua,MODIS,73,6.1,308.8,32.1
40.941,14.986,332.2,1.2,1.1,2017-08-18,1221,Aqua,MODIS,73,6.1,309.3,26.1
40.976,14.979,323.9,1.1,1.1,2017-08-19,0946,Terra,MODIS,50,6.1,306.3,11.8
40.818,15.038,321.2,1.1,1.1,2017-08-19,0946,Terra,MODIS,31,6.1,303.2,12.6
40.639,15.033,327.7,1.4,1.2,2017-08-22,1017,Terra,MODIS,77,6.1,304,27.8
40.629,15.03,346.7,1.4,1.2,2017-08-22,1017,Terra,MODIS,93,6.1,306.9,72.5
40.681,15.013,303.8,1.1,1.1,2017-08-22,0051,Aqua,MODIS,57,6.1,290.9,7.2
40.624,15.035,332.7,1.1,1,2017-08-22,1157,Aqua,MODIS,81,6.1,309.4,22.4
40.544,14.937,325.3,1.2,1.1,2017-08-31,1011,Terra,MODIS,70,6.1,305,13.8
41.279,15.022,320.6,1.6,1.2,2017-09-30,1023,Terra,MODIS,79,6.1,292.9,30.7
38.011,15.746,301.5,1,1,2017-02-22,0959,Terra,MODIS,47,6.1,286.9,5.5
38.012,15.79,311.2,1,1,2017-02-25,1209,Aqua,MODIS,71,6.1,291,9
38.04,15.873,343,1,1,2017-03-19,0953,Terra,MODIS,93,6.1,292.2,48.7
38.027,15.768,307.8,1.1,1,2017-03-20,1215,Aqua,MODIS,60,6.1,295.2,5.7
37.995,15.729,305.9,4.4,1.9,2017-07-08,2152,Terra,MODIS,66,6.1,293.3,43.4
37.97,15.876,325.7,1.5,1.2,2017-07-08,1227,Aqua,MODIS,61,6.1,309.9,11.7
37.979,15.866,330.9,1,1,2017-07-09,0953,Terra,MODIS,48,6.1,313.7,13.3
37.962,15.735,330.4,1,1,2017-07-09,0953,Terra,MODIS,73,6.1,314.3,10.2
37.977,15.865,321.7,2.3,1.5,2017-07-09,1132,Aqua,MODIS,64,6.1,307.6,20.6
38.048,15.774,358,1.1,1,2017-07-10,1214,Aqua,MODIS,98,6.1,310.1,73.9
38.046,15.762,352.4,1.1,1,2017-07-10,1214,Aqua,MODIS,95,6.1,312.6,58.3
37.975,15.712,332.2,1.1,1,2017-07-23,2109,Terra,MODIS,100,6.1,301.3,31.8
37.984,15.71,314.8,1.1,1,2017-07-23,2109,Terra,MODIS,90,6.1,297.9,11.5
38.008,15.754,313.1,1.1,1,2017-07-23,2109,Terra,MODIS,86,6.1,297.4,10.6
38.007,15.741,321.5,1.1,1,2017-07-23,2109,Terra,MODIS,100,6.1,296.4,18.8
37.933,15.808,305.1,4.4,1.9,2017-07-24,2152,Terra,MODIS,61,6.1,294.4,32.5
37.934,15.802,307.5,4.4,1.9,2017-07-24,2152,Terra,MODIS,72,6.1,294.4,46.8
37.966,15.714,305.9,1.7,1.3,2017-07-24,0123,Aqua,MODIS,39,6.1,294.9,10.8
37.957,15.755,332.3,1.4,1.2,2017-07-30,1012,Terra,MODIS,85,6.1,309.7,28.3
37.952,15.75,327.2,1.3,1.1,2017-07-30,1150,Aqua,MODIS,56,6.1,311.7,12.8
37.943,15.796,311.4,1.1,1.1,2017-08-03,2051,Terra,MODIS,80,6.1,298.3,7.7
38.032,15.693,320.6,3,1.6,2017-08-03,1125,Aqua,MODIS,47,6.1,305.5,35.6
38.071,15.886,310.9,2.9,1.6,2017-08-16,2021,Terra,MODIS,73,6.1,291.4,48.7
37.985,15.927,320.8,1.5,1.2,2017-08-25,1226,Aqua,MODIS,24,6.1,306.4,10.7
