latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.514,17.956,348.9,1,1,2017-10-13,0950,Terra,MODIS,95,6.0NRT,298.9,56.7,D
39.881,18.303,308.3,1.1,1,2017-10-27,1140,Aqua,MODIS,65,6.0NRT,296.2,5.9,D
40.041,18.152,321.3,1.1,1.1,2017-10-27,1140,Aqua,MODIS,80,6.0NRT,294.6,19.4,D
40.039,18.139,304.9,1.1,1.1,2017-10-27,1140,Aqua,MODIS,55,6.0NRT,294.5,4.3,D
40.063,18.225,311.6,1.1,1,2017-10-27,1140,Aqua,MODIS,69,6.0NRT,293.6,10.1,D
40.061,18.213,327.9,1.1,1,2017-10-27,1140,Aqua,MODIS,85,6.0NRT,294.7,28.2,D
40.204,18.012,344.7,1.1,1.1,2017-10-27,1140,Aqua,MODIS,94,6.0NRT,296.1,57.3,D
40.202,17.999,316.9,1.1,1.1,2017-10-27,1140,Aqua,MODIS,76,6.0NRT,294.8,14.1,D
40.199,17.986,307,1.1,1.1,2017-10-27,1140,Aqua,MODIS,62,6.0NRT,294.9,5.3,D
40.266,18.208,306.7,1.1,1,2017-10-27,1140,Aqua,MODIS,32,6.0NRT,295.2,4.7,D
38.106,14.816,323.2,1.1,1.1,2017-10-21,1220,Aqua,MODIS,80,6.0NRT,295.8,22,D
38.105,14.803,317.8,1.1,1.1,2017-10-21,1220,Aqua,MODIS,74,6.0NRT,295.3,15.4,D
37.924,15.09,313.1,1.1,1,2017-10-22,0945,Terra,MODIS,67,6.0NRT,299,8.5,D
38.795,15.214,327.2,1.2,1.1,2017-12-21,2115,Terra,MODIS,97,6.0NRT,276.6,0,N
37.758,14.046,312.1,2.1,1.4,2017-10-07,1030,Terra,MODIS,71,6.0NRT,295.7,25.3,D
37.745,14.042,309.3,2.1,1.4,2017-10-07,1030,Terra,MODIS,52,6.0NRT,293.9,18.4,D
37.724,13.937,313.5,1.7,1.3,2017-10-08,0935,Terra,MODIS,67,6.0NRT,297.7,16.4,D
37.722,13.956,308,1.7,1.3,2017-10-08,0935,Terra,MODIS,42,6.0NRT,295.7,7.6,D
37.689,14.069,312.1,2.8,1.6,2017-10-08,1250,Aqua,MODIS,63,6.0NRT,297.9,25,D
37.719,14.004,316.4,1.4,1.2,2017-10-09,1015,Terra,MODIS,67,6.0NRT,297.9,16.2,D
37.738,13.908,318.9,1.7,1.3,2017-10-10,1235,Aqua,MODIS,75,6.0NRT,299.2,26.1,D
37.783,14.119,316.3,1,1,2017-10-13,0950,Terra,MODIS,70,6.0NRT,299.4,9.6,D
37.738,13.971,322.7,1,1,2017-10-13,0950,Terra,MODIS,77,6.0NRT,298.1,16.3,D
37.674,14.101,315.6,1,1,2017-10-13,0950,Terra,MODIS,55,6.0NRT,303.6,7.4,D
