latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
54.264,70.614,302.8,3.6,1.8,2017-10-10,0735,Terra,MODIS,54,6.0NRT,287.9,32.3,D
54.256,70.601,302.2,3.6,1.8,2017-10-10,0735,Terra,MODIS,51,6.0NRT,287.8,27.2,D
54.261,70.594,336.5,1.2,1.1,2017-10-10,0745,Aqua,MODIS,90,6.0NRT,290,50,D
54.258,70.576,302.7,1.2,1.1,2017-10-10,0745,Aqua,MODIS,53,6.0NRT,289.1,5.8,D
54.133,70.512,300.1,1.1,1,2017-10-11,0640,Terra,MODIS,21,6.0NRT,289.3,3.4,D
53.982,70.501,300.5,1.1,1,2017-10-11,0640,Terra,MODIS,37,6.0NRT,287.4,4.4,D
54.269,70.538,305,1.3,1.1,2017-10-11,0830,Aqua,MODIS,60,6.0NRT,290,8.4,D
54.255,70.6,303.5,2.6,1.6,2017-10-12,0725,Terra,MODIS,56,6.0NRT,285.4,24.5,D
53.966,70.362,303.9,1.6,1.3,2017-10-12,0735,Aqua,MODIS,57,6.0NRT,286.7,13.1,D
54.245,70.644,317.8,1.6,1.2,2017-10-12,0735,Aqua,MODIS,78,6.0NRT,286.8,29.8,D
54.25,70.614,308.7,1.6,1.2,2017-10-12,0735,Aqua,MODIS,54,6.0NRT,287,15.8,D
54.246,70.591,311.2,1.6,1.2,2017-10-12,0735,Aqua,MODIS,68,6.0NRT,286.4,19.3,D
54.09,70.659,311.5,1,1,2017-10-13,0630,Terra,MODIS,71,6.0NRT,284.2,12.4,D
54.3,70.907,349.4,1.1,1,2017-10-13,0815,Aqua,MODIS,96,6.0NRT,288.5,71.7,D
54.289,70.653,335.8,1.1,1,2017-10-13,0815,Aqua,MODIS,90,6.0NRT,287,41.7,D
54.298,70.65,322.5,1.1,1,2017-10-13,0815,Aqua,MODIS,82,6.0NRT,286.4,23.2,D
54.296,70.633,327.9,1.1,1,2017-10-13,0815,Aqua,MODIS,85,6.0NRT,286.5,29.9,D
54.268,70.404,314.6,1.1,1,2017-10-22,0625,Terra,MODIS,75,6.0NRT,274.7,18.2,D
53.696,70.626,313.1,1.2,1.1,2017-10-10,0745,Aqua,MODIS,73,6.0NRT,290.2,15.1,D
53.693,70.608,304.4,1.2,1.1,2017-10-10,0745,Aqua,MODIS,59,6.0NRT,290.7,7.2,D
53.727,70.37,324.8,1.7,1.3,2017-10-12,0735,Aqua,MODIS,83,6.0NRT,287.8,47.3,D
53.724,70.367,332.8,1.7,1.3,2017-10-12,0735,Aqua,MODIS,88,6.0NRT,288,70,D
48.606,72.184,307.3,1,1,2017-10-15,0620,Terra,MODIS,65,6.0NRT,289.9,7.1,D
48.604,72.198,340,1,1,2017-10-15,0620,Terra,MODIS,92,6.0NRT,292.2,43.4,D
48.602,72.211,311.9,1,1,2017-10-15,0620,Terra,MODIS,72,6.0NRT,289.7,10.4,D
48.609,72.225,310.3,1,1,2017-10-15,0800,Aqua,MODIS,70,6.0NRT,290.4,8.9,D
48.654,72.3,320.5,2.6,1.5,2017-10-16,0700,Terra,MODIS,80,6.0NRT,288.9,74.5,D
48.637,72.256,303.4,3.9,1.8,2017-10-16,0705,Aqua,MODIS,52,6.0NRT,281.6,48.9,D
54.445,70.558,305.2,1.2,1.1,2017-10-10,0745,Aqua,MODIS,61,6.0NRT,289.6,8.3,D
54.37,71.101,305.8,1.1,1,2017-10-11,0640,Terra,MODIS,41,6.0NRT,273,5.6,D
54.361,71.097,306.6,1.1,1,2017-10-11,0640,Terra,MODIS,48,6.0NRT,272.4,6.2,D
54.362,71.091,310.7,1.4,1.2,2017-10-11,0830,Aqua,MODIS,66,6.0NRT,285.5,15.6,D
54.373,71.088,306.4,1.4,1.2,2017-10-11,0830,Aqua,MODIS,50,6.0NRT,284.2,10.7,D
54.51,71.013,338.6,2.7,1.6,2017-10-12,0725,Terra,MODIS,91,6.0NRT,284.9,178,D
54.5,71.05,318.2,2.7,1.6,2017-10-12,0725,Terra,MODIS,78,6.0NRT,285.3,72.2,D
54.507,71.005,337.6,2.7,1.6,2017-10-12,0725,Terra,MODIS,91,6.0NRT,286.1,172.9,D
54.497,71.043,323,2.7,1.6,2017-10-12,0725,Terra,MODIS,82,6.0NRT,285.7,93.5,D
54.501,71.047,316,1.5,1.2,2017-10-12,0735,Aqua,MODIS,76,6.0NRT,286.2,26.6,D
54.496,71.025,338.8,1.5,1.2,2017-10-12,0735,Aqua,MODIS,91,6.0NRT,288.5,76.3,D
