latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
42.177,20.861,311.6,1.8,1.3,2017-09-05,1209,Aqua,MODIS,22,6.1,292.1,18.8
42.833,20.662,316.3,1.1,1,2017-03-24,1152,Aqua,MODIS,74,6.1,301.3,8.9
42.715,20.612,321.9,1.3,1.1,2017-04-01,0921,Terra,MODIS,79,6.1,300.8,20.9
42.72,20.807,309.5,1.7,1.3,2017-04-02,1004,Terra,MODIS,68,6.1,298.6,9.8
42.72,20.798,315.6,1,1,2017-04-02,1145,Aqua,MODIS,70,6.1,302,7.1
42.746,20.585,325.2,1,1,2017-04-02,1145,Aqua,MODIS,81,6.1,302.8,15.9
42.837,20.65,326.7,1.9,1.3,2017-04-03,0908,Terra,MODIS,85,6.1,292.4,53.2
42.844,20.646,311.7,1.9,1.3,2017-04-03,0908,Terra,MODIS,72,6.1,291.4,19.2
42.832,20.643,310.4,1.9,1.3,2017-04-03,0908,Terra,MODIS,69,6.1,292.3,16.5
42.83,20.666,307.1,1.9,1.3,2017-04-03,0908,Terra,MODIS,45,6.1,291.6,10.9
42.669,20.697,326.5,1.7,1.3,2017-08-05,1114,Aqua,MODIS,48,6.1,311.6,18.4
42.659,20.701,344,1.2,1.1,2017-08-06,1157,Aqua,MODIS,90,6.1,314.7,42.4
42.803,20.753,316.5,1,1,2017-08-12,0940,Terra,MODIS,52,6.1,304.7,5.5
42.719,20.583,305.2,1.1,1,2017-08-12,2046,Terra,MODIS,53,6.1,286.3,8.2
42.727,20.588,305,1.1,1,2017-08-12,2046,Terra,MODIS,55,6.1,287.7,8.8
42.72,20.587,324.6,1.5,1.2,2017-08-12,1120,Aqua,MODIS,75,6.1,305,17.8
42.843,20.718,302.6,2.1,1.4,2017-08-27,2003,Terra,MODIS,50,6.1,291,14.8
42.818,20.744,339.4,1.4,1.2,2017-08-28,1120,Aqua,MODIS,90,6.1,300.8,58.7
42.814,20.728,318.2,1.4,1.2,2017-08-28,1120,Aqua,MODIS,63,6.1,298.6,14.3
42.828,20.741,320,1.4,1.2,2017-08-28,1120,Aqua,MODIS,75,6.1,299.6,18.4
42.846,20.698,315.8,1.1,1,2017-08-31,1151,Aqua,MODIS,62,6.1,301.4,9.5
42.78,20.84,317.7,1.4,1.2,2017-09-02,0958,Terra,MODIS,47,6.1,304.5,10.3
