latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
56.713,23.589,305.9,1.1,1,2017-05-20,1000,Terra,MODIS,20,6.1,289.6,4.9
56.748,23.582,304.6,1,1,2017-08-21,1118,Aqua,MODIS,50,6.1,290,5.6
56.937,23.575,316,1.8,1.3,2017-06-18,2043,Terra,MODIS,92,6.1,287.1,36.8
56.931,23.57,305.8,1.8,1.3,2017-06-18,2043,Terra,MODIS,66,6.1,286.5,19
56.895,21.457,302.5,1.7,1.3,2017-05-07,1042,Aqua,MODIS,23,6.1,290.1,7.9
57.353,21.577,303.1,1.2,1.1,2017-05-06,1137,Aqua,MODIS,0,6.1,287.8,4.6
56.235,21.187,303.7,1.3,1.1,2017-06-10,1018,Terra,MODIS,16,6.1,284.4,6.1
56.786,22.095,303.6,1.2,1.1,2017-05-22,1136,Aqua,MODIS,49,6.1,290.6,5.3
56.784,22.075,305.6,1.2,1.1,2017-05-22,1136,Aqua,MODIS,57,6.1,289.7,6.8
56.663,27.468,308.4,1.1,1.1,2017-05-06,0948,Terra,MODIS,65,6.1,291.2,8.2
56.593,27.713,301.1,1,1,2017-05-12,1059,Aqua,MODIS,45,6.1,287.8,4.2
55.902,27.22,300.2,1,1,2017-05-12,1059,Aqua,MODIS,8,6.1,286.6,3
55.863,26.909,302.2,1,1,2017-04-10,1100,Aqua,MODIS,51,6.1,291,3.8
56.678,23.691,301.4,1,1,2017-05-01,1118,Aqua,MODIS,47,6.1,289.3,3.5
56.584,23.668,305.5,1.1,1.1,2017-08-24,1000,Terra,MODIS,38,6.1,288.3,6.5
58.03,25.156,306.8,1.1,1,2017-05-30,1048,Aqua,MODIS,42,6.1,296.1,6.5
57.171,24.41,315.9,1.2,1.1,2017-06-09,1124,Aqua,MODIS,69,6.1,298.1,14.1
56.831,24.003,307.9,1.2,1.1,2017-06-28,1006,Terra,MODIS,35,6.1,295.1,8.4
57.162,24.407,309.3,2,1.4,2017-07-23,1149,Aqua,MODIS,37,6.1,290.1,19.1
56.885,24.262,310.6,1.3,1.1,2017-08-11,1041,Aqua,MODIS,45,6.1,296.5,10.4
56.95,23.862,314.6,1.1,1,2017-05-04,1000,Terra,MODIS,65,6.1,291.8,14
57.136,24.461,307.1,1,1,2017-05-03,1106,Aqua,MODIS,65,6.1,287.1,7
57.133,24.445,331.5,1,1,2017-05-03,1106,Aqua,MODIS,87,6.1,288.8,30.5
57.118,24.467,313.2,1.5,1.2,2017-05-22,1137,Aqua,MODIS,66,6.1,296.4,14.6
57.116,24.442,308.5,1.5,1.2,2017-05-22,1137,Aqua,MODIS,22,6.1,297.6,8.2
57.31,25.086,306.6,1.9,1.3,2017-06-17,1024,Terra,MODIS,49,6.1,295.7,12.8
56.83,27.054,301.4,1,1,2017-05-12,1100,Aqua,MODIS,31,6.1,289.3,3.3
56.313,25.508,304.5,1.1,1.1,2017-05-14,1047,Aqua,MODIS,13,6.1,290,4.3
56.461,25.329,304.5,1.1,1.1,2017-05-14,1047,Aqua,MODIS,8,6.1,289.6,5.1
56.663,25.296,303,1.2,1.1,2017-06-09,1124,Aqua,MODIS,32,6.1,289.2,4.9
