latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
55.807,22.844,305.3,1,1,2017-05-13,0954,Terra,MODIS,31,6.1,293.3,3.2
56.202,23.294,304.7,1.1,1.1,2017-07-20,0930,Terra,MODIS,55,6.1,293.9,6
55.259,22.294,304.8,1,1,2017-07-27,1123,Aqua,MODIS,20,6.1,290.6,3.3
54.626,22.724,302.2,1.2,1.1,2017-03-24,1007,Terra,MODIS,51,6.1,284,8.7
54.587,22.692,300.4,2.4,1.5,2017-03-27,0859,Terra,MODIS,32,6.1,284.1,14.5
54.937,24.103,301.1,1.8,1.3,2017-05-16,1035,Aqua,MODIS,33,6.1,291,8.3
55.062,24.246,302.1,1,1,2017-09-29,0936,Terra,MODIS,51,6.1,286.1,5.8
54.751,24.572,331,1,1,2017-08-14,1111,Aqua,MODIS,75,6.1,294.9,28.5
54.756,24.598,310.4,1,1,2017-08-30,1111,Aqua,MODIS,69,6.1,292.8,8.3
55.013,24.369,302.8,2,1.4,2017-05-30,0859,Terra,MODIS,50,6.1,289.2,14.3
55.711,24.382,303.3,1,1,2017-09-13,0936,Terra,MODIS,56,6.1,289,5
55.073,25.838,301,1,1,2017-05-17,0930,Terra,MODIS,34,6.1,280.6,5.7
55.074,25.828,326,2.8,1.6,2017-05-23,1031,Terra,MODIS,84,6.1,297.9,104.8
55.078,25.827,321.9,1.3,1.1,2017-05-23,1041,Aqua,MODIS,80,6.1,304.1,24.7
55.073,25.825,328.9,2.1,1.4,2017-05-25,1018,Terra,MODIS,86,6.1,296.8,79.1
55.064,25.813,315.3,3.5,1.8,2017-05-25,1207,Aqua,MODIS,63,6.1,291.5,72.8
55.073,25.804,316,3.5,1.8,2017-05-25,1207,Aqua,MODIS,72,6.1,291.7,83.3
55.071,25.82,315.4,1.2,1.1,2017-05-30,1047,Aqua,MODIS,70,6.1,301.9,13.8
55.072,25.833,312.1,1.5,1.2,2017-06-06,0905,Terra,MODIS,35,6.1,300.8,14.9
55.047,25.796,309.4,1.6,1.2,2017-06-28,1006,Terra,MODIS,47,6.1,297.6,12.8
55.081,25.824,305.2,1.7,1.3,2017-07-28,1028,Aqua,MODIS,18,6.1,289.2,8.7
55.078,25.81,314.9,2.5,1.5,2017-08-31,1154,Aqua,MODIS,75,6.1,295,48.5
54.293,24.282,306.9,1,1,2017-05-19,1105,Aqua,MODIS,21,6.1,293.6,3.3
55.827,23.509,301.8,1,1,2017-05-01,1118,Aqua,MODIS,49,6.1,288.8,3.4
55.825,23.493,303.1,1,1,2017-05-01,1118,Aqua,MODIS,55,6.1,290.4,4.3
