latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
49.526,5.912,300.9,1,1,2017-01-06,1039,Terra,MODIS,43,6.1,269.4,9.6
49.518,5.906,301.1,1,1,2017-03-15,2125,Terra,MODIS,38,6.1,277.4,8.4
49.522,5.904,311.1,1.3,1.1,2017-04-08,1104,Terra,MODIS,66,6.1,295.8,11.2
49.523,5.899,308.1,1.3,1.1,2017-04-08,1104,Terra,MODIS,47,6.1,296.1,8.8
49.504,5.964,305.4,1.2,1.1,2017-05-07,2143,Terra,MODIS,64,6.1,279.5,13.5
49.506,5.964,301.4,1.3,1.1,2017-06-30,2106,Terra,MODIS,40,6.1,284.3,9.8
49.509,5.954,302.5,1.1,1,2017-07-03,2137,Terra,MODIS,50,6.1,286.4,7
49.52,5.915,303.7,1.5,1.2,2017-03-14,1110,Terra,MODIS,57,6.1,284.6,11.2
49.499,5.956,317.4,1.5,1.2,2017-06-26,1206,Aqua,MODIS,48,6.1,299.8,12.6
49.524,5.896,315.8,1.1,1.1,2017-09-24,1058,Terra,MODIS,76,6.1,293.5,16.2
49.522,5.903,317.4,1,1,2017-04-03,1045,Terra,MODIS,78,6.1,289.6,14.6
49.522,5.909,303.6,1.4,1.2,2017-04-07,1021,Terra,MODIS,17,6.1,289,7.7
49.506,5.966,304.1,1.4,1.2,2017-04-07,1021,Terra,MODIS,51,6.1,290,7.7
49.525,5.906,311.1,1,1,2017-05-09,2131,Terra,MODIS,82,6.1,278.3,15
49.496,5.949,318.5,1,1,2017-05-21,1230,Aqua,MODIS,67,6.1,300.3,10.8
49.503,5.956,302.4,1,1,2017-06-02,0145,Aqua,MODIS,49,6.1,288.3,5.9
49.521,5.897,310.6,1,1,2017-06-06,1230,Aqua,MODIS,42,6.1,296.9,8.2
49.504,5.962,313.4,1.2,1.1,2017-06-08,1218,Aqua,MODIS,42,6.1,296,7.8
49.516,5.902,317.4,1.2,1.1,2017-06-08,1218,Aqua,MODIS,73,6.1,294.2,14.6
49.523,5.898,300.9,1,1,2017-06-18,0145,Aqua,MODIS,35,6.1,285.6,6.5
49.522,5.912,312.7,1,1,2017-06-18,0145,Aqua,MODIS,86,6.1,285,14.4
49.527,5.906,303.9,1,1,2017-07-04,0144,Aqua,MODIS,58,6.1,284.6,8.6
49.522,5.902,311.4,1.3,1.1,2017-07-13,1104,Terra,MODIS,55,6.1,300.2,10.6
49.525,5.907,313.1,2,1.4,2017-07-18,1122,Terra,MODIS,44,6.1,296.8,16.7
49.505,5.968,305.1,2.9,1.6,2017-09-02,0957,Terra,MODIS,61,6.1,290.7,25.3
49.519,5.905,304.6,1,1,2017-09-14,2131,Terra,MODIS,61,6.1,280.3,10.3
49.501,5.954,302.7,1.4,1.2,2017-09-19,2150,Terra,MODIS,51,6.1,279.9,14.5
49.5,5.955,305.4,1,1,2017-09-26,1230,Aqua,MODIS,42,6.1,287.7,5.2
49.519,5.904,300.7,1,1,2017-01-06,1039,Terra,MODIS,41,6.1,269.6,10.2
49.522,5.905,301.2,1.3,1.1,2017-02-19,1103,Terra,MODIS,46,6.1,280.9,10.3
49.518,5.891,301.3,1.9,1.4,2017-03-12,1307,Aqua,MODIS,46,6.1,288.7,11.8
49.524,5.896,302.5,1.4,1.2,2017-03-14,1110,Terra,MODIS,52,6.1,284.2,10.4
49.527,5.902,317.2,1,1,2017-03-15,2125,Terra,MODIS,95,6.1,278.9,19.3
49.522,5.901,305.1,1,1,2017-03-25,1051,Terra,MODIS,60,6.1,285.3,7.6
49.52,5.917,303.2,1,1,2017-04-03,1045,Terra,MODIS,29,6.1,290.8,4.3
49.525,5.906,308.5,1.1,1,2017-04-21,1033,Terra,MODIS,67,6.1,295.4,8.1
49.504,5.952,320.6,1.1,1,2017-04-28,1224,Aqua,MODIS,63,6.1,287.2,18.4
