latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
41.372,21.765,303.4,1.6,1.2,2017-03-06,1203,Aqua,MODIS,44,6.1,287.9,7.6
41.339,21.77,328,1,1,2017-07-25,1132,Aqua,MODIS,72,6.1,308.3,17.5
41.336,21.802,326.5,1,1,2017-08-05,0934,Terra,MODIS,62,6.1,306.5,14.1
41.322,21.821,329.3,1,1,2017-08-05,2039,Terra,MODIS,100,6.1,295.6,27.4
41.329,21.811,317.8,1.9,1.3,2017-08-05,0008,Aqua,MODIS,96,6.1,293.1,37.9
41.327,21.834,304.7,1.8,1.3,2017-08-05,0008,Aqua,MODIS,61,6.1,292.6,13.8
41.333,21.81,323.2,1.6,1.3,2017-08-05,1114,Aqua,MODIS,61,6.1,305.9,22.4
41.309,21.792,305.6,3.7,1.8,2017-08-06,1944,Terra,MODIS,65,6.1,294,33.5
41.312,21.816,303.1,3.7,1.8,2017-08-06,2122,Terra,MODIS,53,6.1,292.9,23.5
41.319,21.821,360.3,1.3,1.1,2017-08-06,1157,Aqua,MODIS,100,6.1,312,109.8
41.317,21.806,358.6,1.3,1.1,2017-08-06,1157,Aqua,MODIS,99,6.1,314.9,103.1
41.465,21.731,323.9,1.1,1.1,2017-08-07,0921,Terra,MODIS,40,6.1,304.6,11.6
41.463,21.744,357.2,1.1,1.1,2017-08-07,0921,Terra,MODIS,98,6.1,308.5,77.4
41.305,21.813,337.4,1.1,1,2017-08-07,0922,Terra,MODIS,85,6.1,305.1,31.7
41.321,21.803,305.3,1,1,2017-08-07,2027,Terra,MODIS,64,6.1,290.2,6.6
41.47,21.741,308.4,1,1,2017-08-07,2027,Terra,MODIS,74,6.1,293.1,7.3
41.468,21.729,310.8,1,1,2017-08-07,2027,Terra,MODIS,81,6.1,292.9,9.3
41.466,21.74,327.5,1,1,2017-08-08,1144,Aqua,MODIS,52,6.1,309.6,13.5
41.475,21.737,327.1,1,1,2017-08-08,1144,Aqua,MODIS,49,6.1,306,13.5
41.473,21.725,328,1,1,2017-08-08,1144,Aqua,MODIS,60,6.1,305,15.5
41.298,21.835,323.8,1.5,1.2,2017-08-09,0909,Terra,MODIS,49,6.1,305.1,17.7
41.434,21.752,301.7,1.6,1.2,2017-08-26,2058,Terra,MODIS,40,6.1,290.4,9.1
41.435,21.765,300,1.6,1.2,2017-08-26,2058,Terra,MODIS,11,6.1,289.7,8.5
41.439,21.772,316.8,2.3,1.5,2017-08-27,0857,Terra,MODIS,47,6.1,304.7,18.5
41.425,21.79,322.2,1.1,1,2017-08-28,0940,Terra,MODIS,49,6.1,309.7,8.1
41.368,21.696,302.6,1,1,2017-09-18,0033,Aqua,MODIS,50,6.1,290,5.9
41.356,21.695,328.7,1,1,2017-09-18,1138,Aqua,MODIS,33,6.1,314.1,14.8
41.365,21.693,339.6,1,1,2017-09-18,1138,Aqua,MODIS,84,6.1,314.9,29.6
41.374,21.691,332.2,1,1,2017-09-18,1138,Aqua,MODIS,39,6.1,308.1,18.5
41.377,21.693,312.5,1.9,1.3,2017-09-19,0903,Terra,MODIS,26,6.1,296.3,13.6
41.38,22.898,305.2,1,1,2017-03-19,1133,Aqua,MODIS,27,6.1,287.4,5.2
41.304,22.581,309.3,1.1,1.1,2017-03-21,0939,Terra,MODIS,51,6.1,298,5.6
41.386,22.76,308.1,4.3,1.9,2017-03-22,1022,Terra,MODIS,33,6.1,291.5,54.8
41.378,22.757,319.8,1.8,1.3,2017-03-22,1203,Aqua,MODIS,68,6.1,294.7,32.4
41.322,22.472,304.7,1,1,2017-07-06,2027,Terra,MODIS,61,6.1,293.9,5.3
41.28,22.585,337.5,1.1,1,2017-08-19,1126,Aqua,MODIS,87,6.1,308.4,29
41.276,22.63,331.9,1.2,1.1,2017-08-28,1120,Aqua,MODIS,83,6.1,305.8,26.2
41.303,22.646,326.7,4.3,1.9,2017-09-14,1023,Terra,MODIS,83,6.1,297.6,162.2
41.313,22.626,330.9,1.8,1.3,2017-09-14,1203,Aqua,MODIS,42,6.1,306.4,42.6
41.309,22.644,402.8,1.8,1.3,2017-09-14,1203,Aqua,MODIS,100,6.1,317.3,606.6
41.265,22.649,327.3,1.9,1.4,2017-09-18,0958,Terra,MODIS,80,6.1,306.6,41.7
41.259,22.637,342.9,1,1,2017-09-18,1138,Aqua,MODIS,91,6.1,315.7,36.1
42.046,20.991,301.9,1.1,1,2017-03-03,1133,Aqua,MODIS,36,6.1,289.8,4.1
42.107,21.204,338.7,1.5,1.2,2017-07-12,1203,Aqua,MODIS,87,6.1,311.6,45.6
42.12,21.192,327.1,1.1,1,2017-07-14,1151,Aqua,MODIS,69,6.1,309,13.3
41.879,21.18,307.2,1.4,1.2,2017-07-24,2015,Terra,MODIS,60,6.1,293.4,10.1
41.873,21.171,328.8,1.1,1,2017-07-25,1132,Aqua,MODIS,71,6.1,305.2,20.9
41.883,21.169,320.3,1.1,1,2017-07-25,1132,Aqua,MODIS,50,6.1,300.2,10.1
42.055,21.183,329.5,1.8,1.3,2017-08-01,2104,Terra,MODIS,100,6.1,294.5,66.7
42.022,21.183,308.1,1.3,1.1,2017-08-03,2052,Terra,MODIS,50,6.1,294.6,8.4
42.02,21.167,318.1,1.3,1.1,2017-08-03,2052,Terra,MODIS,96,6.1,294.6,19.8
42.006,21.156,318.9,4.1,1.9,2017-08-04,1028,Terra,MODIS,41,6.1,304.5,46.7
42.007,21.137,331.2,1.8,1.3,2017-08-04,1209,Aqua,MODIS,63,6.1,313,33.7
42.013,21.131,305.7,1,1,2017-08-05,2040,Terra,MODIS,25,6.1,295.1,4.3
42.024,21.141,308,1,1,2017-08-05,2040,Terra,MODIS,62,6.1,295.4,6
41.999,21.155,332.6,1.7,1.3,2017-08-05,1114,Aqua,MODIS,66,6.1,311.6,33
42.006,21.132,339.6,1.7,1.3,2017-08-05,1114,Aqua,MODIS,87,6.1,312.6,60.9
42.021,21.148,328.2,1.7,1.3,2017-08-05,1114,Aqua,MODIS,46,6.1,309.8,23.9
42.017,21.13,354.3,1.3,1.1,2017-08-06,1157,Aqua,MODIS,97,6.1,313.3,73.9
41.847,21.067,318.6,2.1,1.4,2017-08-11,2003,Terra,MODIS,97,6.1,292.6,43.7
41.853,21.085,307.7,2.1,1.4,2017-08-11,2003,Terra,MODIS,50,6.1,292.3,18.3
41.847,21.061,318.7,2.1,1.4,2017-08-11,2003,Terra,MODIS,97,6.1,292.8,43.3
41.865,21.08,305.6,2.1,1.4,2017-08-11,2003,Terra,MODIS,26,6.1,292,15.3
41.859,21.056,326.2,2.1,1.4,2017-08-11,2003,Terra,MODIS,100,6.1,292.7,67.2
41.852,20.987,306,1.1,1,2017-08-12,2046,Terra,MODIS,66,6.1,286.9,8.2
42.072,20.984,306.8,1.2,1.1,2017-09-23,1157,Aqua,MODIS,49,6.1,291.2,7.7
41.952,20.822,304.6,1,1,2017-08-05,2040,Terra,MODIS,61,6.1,289.3,8
41.989,20.858,305.7,1.2,1.1,2017-09-17,2021,Terra,MODIS,44,6.1,281.9,12.3
41.999,20.856,300.8,1.2,1.1,2017-09-17,2021,Terra,MODIS,5,6.1,282.4,8.5
41.984,20.845,335.8,3.2,1.7,2017-09-17,1056,Aqua,MODIS,87,6.1,296.1,184.5
41.989,20.872,313.1,3.2,1.7,2017-09-17,1056,Aqua,MODIS,58,6.1,294.9,42.6
41.981,20.843,332,3.2,1.7,2017-09-17,1056,Aqua,MODIS,85,6.1,295.8,154.7
41.996,20.896,318.9,1.5,1.2,2017-09-18,0958,Terra,MODIS,47,6.1,301.7,20.3
41.99,20.861,315.2,1,1,2017-09-18,1138,Aqua,MODIS,58,6.1,296,8.4
42.151,21.865,310.4,1,1,2017-03-23,0927,Terra,MODIS,59,6.1,295.2,4.1
42.169,22.074,343,1.1,1,2017-08-24,1144,Aqua,MODIS,91,6.1,313.1,38.3
42.168,22.061,328.5,1.1,1,2017-08-24,1144,Aqua,MODIS,81,6.1,312.3,15.5
42.178,22.072,335.9,1.1,1,2017-08-24,1144,Aqua,MODIS,87,6.1,313.2,25.4
42.244,22.224,326.7,1,1,2017-09-18,1138,Aqua,MODIS,72,6.1,307.3,17
42.254,22.251,313.7,1.5,1.2,2017-09-19,2009,Terra,MODIS,88,6.1,286.3,24.2
42.247,22.23,310.3,1.2,1.1,2017-09-20,0020,Aqua,MODIS,80,6.1,281.5,17.1
42.245,22.244,317.2,1.2,1.1,2017-09-20,0020,Aqua,MODIS,95,6.1,283.3,24.4
41.817,20.803,318.3,1,1,2017-04-27,1139,Aqua,MODIS,56,6.1,300.4,10.8
41.832,20.599,327.8,1.7,1.3,2017-08-08,1004,Terra,MODIS,78,6.1,304.6,44.5
41.827,20.603,331.9,1,1,2017-08-08,1144,Aqua,MODIS,78,6.1,307.7,21.3
41.825,20.591,331.9,1,1,2017-08-08,1144,Aqua,MODIS,78,6.1,309.6,21.2
41.836,20.601,323.1,1,1,2017-08-08,1144,Aqua,MODIS,59,6.1,309.1,11.4
41.834,20.589,329.9,1,1,2017-08-08,1144,Aqua,MODIS,75,6.1,309.8,19.2
41.78,20.669,303.9,1.3,1.1,2017-08-16,2021,Terra,MODIS,57,6.1,285.6,10.9
41.784,20.666,354.7,1,1,2017-08-17,1138,Aqua,MODIS,97,6.1,304.7,68.3
41.679,20.536,311.9,1.2,1.1,2017-08-23,0922,Terra,MODIS,42,6.1,299.9,10.4
41.67,20.519,316,2.8,1.6,2017-08-23,1102,Aqua,MODIS,62,6.1,294.3,51.1
