latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
41.564,22.056,306.7,1,1,2017-10-08,0930,Terra,MODIS,64,6.0NRT,292.3,5.8,D
41.443,21.856,311.9,2.5,1.5,2017-10-14,1215,Aqua,MODIS,72,6.0NRT,295.5,27.7,D
41.57,22.098,312.6,1.2,1.1,2017-10-18,1150,Aqua,MODIS,68,6.0NRT,293.9,7.9,D
41.695,22.052,301.2,2.5,1.5,2017-10-30,1215,Aqua,MODIS,45,6.0NRT,288.9,16.8,D
41.693,22.022,308.2,2.5,1.5,2017-10-30,1215,Aqua,MODIS,67,6.0NRT,289.4,32.9,D
41.352,21.563,316.1,1.7,1.3,2017-10-04,0955,Terra,MODIS,75,6.0NRT,291.3,23.2,D
41.081,21.499,321.4,2.9,1.6,2017-10-05,1220,Aqua,MODIS,78,6.0NRT,302.3,54.4,D
41.082,21.495,321.4,2.9,1.6,2017-10-05,1220,Aqua,MODIS,79,6.0NRT,302.4,51.4,D
41.441,21.827,316.9,2.5,1.5,2017-10-14,1215,Aqua,MODIS,77,6.0NRT,295.2,43,D
41.564,21.368,303,1,1,2017-10-15,0940,Terra,MODIS,33,6.0NRT,291,5.1,D
41.001,21.46,308.3,1.3,1.1,2017-10-19,0915,Terra,MODIS,52,6.0NRT,289.6,7.7,D
41.668,21.053,309.5,1.1,1.1,2017-10-22,0945,Terra,MODIS,69,6.0NRT,270.9,12.7,D
41.657,21.064,326.3,1.1,1.1,2017-10-22,0945,Terra,MODIS,84,6.0NRT,275.5,29.3,D
40.981,21.423,311.1,1.2,1.1,2017-10-22,1125,Aqua,MODIS,67,6.0NRT,293.8,8.4,D
41.654,21.063,315.3,1.2,1.1,2017-10-22,1125,Aqua,MODIS,63,6.0NRT,287.2,17.5,D
41.663,21.06,313.9,1.2,1.1,2017-10-22,1125,Aqua,MODIS,70,6.0NRT,284.5,16.7,D
41.661,21.045,315.1,1.2,1.1,2017-10-22,1125,Aqua,MODIS,75,6.0NRT,285.9,17.7,D
41.04,21.623,300.5,2.9,1.6,2017-12-08,1220,Aqua,MODIS,37,6.0NRT,285.1,26.1,D
41.974,20.855,302.6,3.2,1.7,2017-10-19,1055,Aqua,MODIS,50,6.0NRT,291,26.9,D
42.011,21.294,302,1.1,1,2017-10-29,1130,Aqua,MODIS,48,6.0NRT,289,4.6,D
41.634,22.891,304.8,1,1,2017-10-17,0925,Terra,MODIS,56,6.0NRT,290.3,5.5,D
41.86,22.332,313.1,1,1,2017-10-20,1135,Aqua,MODIS,72,6.0NRT,297.5,7.4,D
41.35,22.464,301.4,1,1,2017-10-29,1130,Aqua,MODIS,46,6.0NRT,283.3,4.9,D
41.348,22.452,329.3,1,1,2017-10-29,1130,Aqua,MODIS,86,6.0NRT,287,29.3,D
41.157,22.533,301.3,1.3,1.1,2017-10-31,1120,Aqua,MODIS,46,6.0NRT,289.2,5.8,D
41.604,22.858,302.7,1.9,1.3,2017-11-01,1200,Aqua,MODIS,53,6.0NRT,282.4,19.1,D
41.612,22.861,312.7,1,1,2017-11-02,0925,Terra,MODIS,73,6.0NRT,286.5,13.7,D
41.865,22.333,300.4,1,1,2017-11-05,1135,Aqua,MODIS,36,6.0NRT,289.8,3.3,D
40.876,21.574,309.6,1.2,1.1,2017-10-06,0945,Terra,MODIS,63,6.0NRT,291,5,D
41.427,20.71,302.5,1.5,1.2,2017-10-20,0955,Terra,MODIS,38,6.0NRT,292.2,7.9,D
41.406,20.715,301.6,1.8,1.3,2017-10-27,1000,Terra,MODIS,47,6.0NRT,288.5,11,D
41.412,20.71,301.3,1.8,1.3,2017-10-27,1000,Terra,MODIS,42,6.0NRT,288,10.2,D
41.763,22.119,311.6,1.3,1.1,2017-10-15,1120,Aqua,MODIS,65,6.0NRT,296.2,6.1,D
41.76,22.104,313.1,1.3,1.1,2017-10-15,1120,Aqua,MODIS,73,6.0NRT,297.2,8,D
41.77,22.101,314,1.3,1.1,2017-10-15,1120,Aqua,MODIS,69,6.0NRT,298.4,8.9,D
41.843,20.653,302,3.3,1.7,2017-10-03,1055,Aqua,MODIS,37,6.0NRT,289.2,23,D
41.839,20.647,301.9,3.3,1.7,2017-10-03,1055,Aqua,MODIS,39,6.0NRT,289.3,22.6,D
41.838,20.655,309.8,2.6,1.6,2017-10-05,1220,Aqua,MODIS,67,6.0NRT,291.7,30.1,D
41.844,20.648,308.5,2.6,1.6,2017-10-05,1220,Aqua,MODIS,57,6.0NRT,291.5,25.9,D
41.908,20.78,312.5,1.5,1.2,2017-10-15,1120,Aqua,MODIS,71,6.0NRT,294.4,18.5,D
41.905,20.764,308.2,1.5,1.2,2017-10-15,1120,Aqua,MODIS,64,6.0NRT,290.3,13,D
41.756,20.631,307.7,1.4,1.2,2017-10-16,1200,Aqua,MODIS,34,6.0NRT,296.9,8.6,D
41.762,20.64,307.5,1.4,1.2,2017-10-16,1200,Aqua,MODIS,45,6.0NRT,293.1,8.2,D
41.91,20.774,306.8,1.4,1.2,2017-10-16,1200,Aqua,MODIS,43,6.0NRT,294.9,8.1,D
41.709,21.527,312.1,2.4,1.5,2017-10-18,1010,Terra,MODIS,72,6.0NRT,288.1,36.2,D
41.701,21.56,319,2.4,1.5,2017-10-18,1010,Terra,MODIS,79,6.0NRT,289.4,56.7,D
41.694,21.549,320,2.4,1.5,2017-10-18,1010,Terra,MODIS,71,6.0NRT,290.8,57.4,D
41.697,21.534,316.9,1.1,1.1,2017-10-18,1150,Aqua,MODIS,77,6.0NRT,294.2,15.8,D
41.702,21.535,311.8,1.3,1.1,2017-10-19,0915,Terra,MODIS,71,6.0NRT,295.9,14.9,D
41.919,20.822,306.6,1.5,1.2,2017-10-20,0955,Terra,MODIS,46,6.0NRT,296.2,10.9,D
41.877,20.766,305.4,2.2,1.4,2017-10-21,0900,Terra,MODIS,52,6.0NRT,290.3,15.1,D
41.878,20.761,307,2.2,1.4,2017-10-21,0900,Terra,MODIS,57,6.0NRT,290.9,18.6,D
41.924,20.816,309.4,1.1,1,2017-10-22,0945,Terra,MODIS,69,6.0NRT,274.7,13.3,D
41.918,20.807,308.1,1.2,1.1,2017-10-22,1125,Aqua,MODIS,57,6.0NRT,291.9,11.1,D
41.852,20.833,304.1,1.4,1.2,2017-11-01,1200,Aqua,MODIS,50,6.0NRT,283.5,13.6,D
41.856,20.826,304.8,1.4,1.2,2017-11-01,1200,Aqua,MODIS,60,6.0NRT,283.3,15.6,D
41.867,20.809,300.4,1.1,1,2017-11-02,0925,Terra,MODIS,20,6.0NRT,289,6.2,D
