latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
46.485,29.652,322.8,1.2,1.1,2017-07-22,0920,Terra,MODIS,39,6.1,307.9,11.1
46.476,29.649,324,1.2,1.1,2017-07-22,0920,Terra,MODIS,36,6.1,309.5,11.4
46.447,29.654,328.1,1,1,2017-07-22,1103,Aqua,MODIS,61,6.1,313,10.2
46.468,29.675,365.4,1,1,2017-07-22,1103,Aqua,MODIS,100,6.1,313,85.5
46.467,29.662,353.7,1,1,2017-07-22,1103,Aqua,MODIS,96,6.1,313.2,53.6
46.477,29.672,325.1,1,1,2017-07-22,1103,Aqua,MODIS,31,6.1,311.1,9.1
46.488,29.638,320,1.1,1,2017-07-26,0855,Terra,MODIS,40,6.1,301.7,8.8
46.487,29.652,320.8,1.1,1,2017-07-26,0855,Terra,MODIS,53,6.1,302,9.7
46.482,29.652,323.5,1.5,1.2,2017-07-26,1038,Aqua,MODIS,57,6.1,302.9,20.4
46.47,29.733,360.2,1.2,1.1,2017-08-04,0849,Terra,MODIS,94,6.1,310.1,94.8
46.46,29.731,375.5,1.2,1.1,2017-08-04,0849,Terra,MODIS,94,6.1,311.3,160.3
46.458,29.747,330.6,1.2,1.1,2017-08-04,0849,Terra,MODIS,48,6.1,307.6,15.6
46.457,29.656,336.6,1.6,1.2,2017-08-05,0932,Terra,MODIS,85,6.1,311,40.7
46.457,29.65,337.5,1.6,1.2,2017-08-05,0932,Terra,MODIS,85,6.1,311.2,44.3
46.499,29.753,323.2,4.2,1.9,2017-08-06,1158,Aqua,MODIS,72,6.1,299.2,66.2
46.433,29.67,318.7,2.7,1.6,2017-08-10,0950,Terra,MODIS,68,6.1,301.8,28.1
46.43,29.661,318.2,2.7,1.6,2017-08-10,0950,Terra,MODIS,67,6.1,302.1,27
46.4,29.641,334.4,1.3,1.1,2017-08-12,1121,Aqua,MODIS,79,6.1,312.6,23.3
46.41,29.639,327.9,1.3,1.1,2017-08-12,1121,Aqua,MODIS,50,6.1,314.2,11.4
46.576,29.756,301.1,2,1.4,2017-09-30,1026,Aqua,MODIS,38,6.1,291.1,9.7
46.362,29.841,305.5,1.4,1.2,2017-09-30,0843,Terra,MODIS,60,6.1,292.8,7.7
47.264,29.566,318.4,1,1,2017-08-16,0914,Terra,MODIS,64,6.1,304.8,6.9
47.267,29.565,325.3,1,1,2017-08-16,1057,Aqua,MODIS,73,6.1,308.9,11.8
47.265,29.552,327.8,1,1,2017-08-16,1057,Aqua,MODIS,77,6.1,309,14.6
47.263,29.577,318.7,1,1,2017-08-18,0901,Terra,MODIS,33,6.1,305.7,5.3
46.719,29.939,301.4,1.1,1,2017-07-21,1945,Terra,MODIS,41,6.1,291.2,5.1
46.663,29.828,335.5,1.2,1.1,2017-08-04,0849,Terra,MODIS,63,6.1,305.2,31.8
46.663,29.821,331.6,1.2,1.1,2017-08-04,0849,Terra,MODIS,60,6.1,306.1,24.5
46.702,29.847,328.6,1.6,1.2,2017-08-05,0932,Terra,MODIS,43,6.1,308.4,20.3
46.697,29.861,327.6,1.6,1.2,2017-08-05,0932,Terra,MODIS,25,6.1,306.9,16.8
46.697,29.851,315.2,3.9,1.8,2017-08-08,1002,Terra,MODIS,63,6.1,293.9,60.6
46.707,29.852,313.8,3.9,1.8,2017-08-08,1002,Terra,MODIS,59,6.1,294.3,53.2
46.686,29.844,312.3,3.4,1.7,2017-08-08,1008,Aqua,MODIS,21,6.1,295.1,33.8
46.674,29.823,322.5,1.4,1.2,2017-08-13,0843,Terra,MODIS,39,6.1,310.3,12.5
46.707,29.817,339.7,1,1,2017-09-10,0908,Terra,MODIS,90,6.1,299.4,34.9
47.35,28.141,302.8,1,1,2017-03-07,1109,Aqua,MODIS,54,6.1,289.7,5.2
47.555,28.054,330.3,1.9,1.4,2017-08-20,1032,Aqua,MODIS,61,6.1,306,48.2
46.749,28.273,335.6,2.9,1.6,2017-07-30,1152,Aqua,MODIS,88,6.1,299,143.6
46.751,28.307,313,2.9,1.6,2017-07-30,1152,Aqua,MODIS,62,6.1,298.4,28.5
46.749,28.269,331.4,2.9,1.6,2017-07-30,1152,Aqua,MODIS,85,6.1,298.9,114.6
46.726,28.256,319,1.6,1.2,2017-08-12,0938,Terra,MODIS,64,6.1,305.4,13.4
48.175,28.238,314.9,1.2,1.1,2017-07-24,1051,Aqua,MODIS,37,6.1,298.1,7.6
46.462,29.209,326.3,1.1,1.1,2017-07-24,1050,Aqua,MODIS,65,6.1,302.9,19.5
46.418,29.219,316,1.8,1.3,2017-07-25,1133,Aqua,MODIS,36,6.1,296.8,12.7
46.552,29.202,331,1,1,2017-08-02,0901,Terra,MODIS,80,6.1,307.6,20.2
46.543,29.206,319.1,1.3,1.1,2017-08-02,1044,Aqua,MODIS,41,6.1,305,8.8
46.487,29.217,325.7,1.1,1.1,2017-08-05,1115,Aqua,MODIS,28,6.1,306.2,10.9
46.564,29.839,305.1,1,1,2017-08-04,1958,Terra,MODIS,57,6.1,294.8,4.3
46.582,29.783,322.5,2.4,1.5,2017-08-06,1020,Aqua,MODIS,65,6.1,300.5,33.6
46.576,29.778,320.9,2.4,1.5,2017-08-06,1020,Aqua,MODIS,50,6.1,300.2,25.1
46.504,29.799,322.6,4.2,1.9,2017-08-06,1158,Aqua,MODIS,71,6.1,298.8,66.9
