latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
45.951,28.387,338.7,1.1,1,2017-10-03,1055,Aqua,MODIS,91,6.0NRT,294,44.4,D
45.949,28.373,310.5,1.1,1,2017-10-03,1055,Aqua,MODIS,63,6.0NRT,292.6,8.4,D
45.96,28.383,309.5,1.1,1,2017-10-03,1055,Aqua,MODIS,62,6.0NRT,292.2,7.6,D
46.411,28.494,311.9,1,1,2017-10-17,1105,Aqua,MODIS,66,6.0NRT,297,7.4,D
46.031,28.861,303.9,1.1,1,2017-10-19,1055,Aqua,MODIS,55,6.0NRT,291.4,3.6,D
46.053,28.652,314.2,1.4,1.2,2017-10-22,1125,Aqua,MODIS,65,6.0NRT,284,21.1,D
46.438,28.49,313.8,3.4,1.7,2017-10-27,1000,Terra,MODIS,59,6.0NRT,286,77.1,D
45.882,28.638,314,1.2,1.1,2017-11-02,0925,Terra,MODIS,74,6.0NRT,284.8,19,D
45.972,28.304,315.2,1,1,2017-11-02,1105,Aqua,MODIS,75,6.0NRT,286.4,14.5,D
45.97,28.291,310.8,1,1,2017-11-02,1105,Aqua,MODIS,71,6.0NRT,286.8,11.1,D
46.022,28.101,307.1,1,1,2017-10-19,0910,Terra,MODIS,64,6.0NRT,288.9,6.4,D
47.085,27.929,312.2,2.5,1.5,2017-10-20,0955,Terra,MODIS,72,6.0NRT,294,34.3,D
47.092,27.927,309.3,2.5,1.5,2017-10-20,0955,Terra,MODIS,68,6.0NRT,294.3,26.4,D
47.38,27.684,310.6,1.4,1.2,2017-10-21,1045,Aqua,MODIS,70,6.0NRT,282.8,16.1,D
47.384,27.676,310.2,1.4,1.2,2017-10-21,1045,Aqua,MODIS,70,6.0NRT,285.3,14.5,D
47.779,27.403,320.6,1.1,1,2017-10-17,0925,Terra,MODIS,79,6.0NRT,295.5,18.2,D
48.203,27.377,303.1,1,1,2017-10-19,0910,Terra,MODIS,52,6.0NRT,291.6,3.3,D
48.201,27.391,306.3,1,1,2017-10-19,0910,Terra,MODIS,63,6.0NRT,290.3,5.2,D
47.896,27.492,318.7,2.3,1.5,2017-10-20,0955,Terra,MODIS,79,6.0NRT,295.7,45.9,D
46.657,29.406,307,2.1,1.4,2017-10-16,1025,Aqua,MODIS,54,6.0NRT,291.3,16.4,D
47.224,28.909,303.5,2.1,1.4,2017-10-16,1025,Aqua,MODIS,56,6.0NRT,291,12.8,D
47.224,28.902,306,2.1,1.4,2017-10-16,1025,Aqua,MODIS,63,6.0NRT,291.3,18.8,D
47.08,28.868,312.2,1,1,2017-10-17,1105,Aqua,MODIS,68,6.0NRT,295.6,8.8,D
47.208,29.528,319.1,3.4,1.7,2017-10-18,1150,Aqua,MODIS,78,6.0NRT,295.1,86.9,D
47.207,29.483,311.4,3.4,1.7,2017-10-18,1150,Aqua,MODIS,69,6.0NRT,294.8,47.7,D
47.204,29.52,315.9,3.4,1.7,2017-10-18,1150,Aqua,MODIS,74,6.0NRT,294.9,67.3,D
46.776,29.5,305.5,1,1,2017-10-19,1055,Aqua,MODIS,57,6.0NRT,290.1,4.8,D
46.774,29.487,308.5,1,1,2017-10-19,1055,Aqua,MODIS,64,6.0NRT,289.7,6.9,D
46.774,29.04,302.4,1.6,1.2,2017-11-01,0840,Terra,MODIS,52,6.0NRT,280.6,13.5,D
46.881,29.27,300.6,1.3,1.1,2017-11-02,0925,Terra,MODIS,38,6.0NRT,272.3,8,D
46.39,29.585,303.6,1.3,1.1,2017-10-31,1120,Aqua,MODIS,49,6.0NRT,281,12,D
46.619,28.526,300.9,1.2,1.1,2017-10-01,0925,Terra,MODIS,20,6.0NRT,289.2,3.6,D
46.873,28.202,305.7,1.1,1,2017-10-03,1055,Aqua,MODIS,62,6.0NRT,295.5,3.9,D
46.995,28.546,302.2,1.1,1,2017-10-03,1055,Aqua,MODIS,46,6.0NRT,292.1,4.3,D
46.732,28.252,303.9,4.2,1.9,2017-10-16,1200,Aqua,MODIS,50,6.0NRT,292.2,28.4,D
47.194,28.163,307.4,1.1,1,2017-10-19,1055,Aqua,MODIS,65,6.0NRT,294,7.2,D
48.275,27.102,301.9,1.1,1.1,2017-10-03,1055,Aqua,MODIS,47,6.0NRT,288.7,4.5,D
48.368,27.647,303.5,2.2,1.4,2017-10-20,0955,Terra,MODIS,56,6.0NRT,290.8,13.9,D
48.459,27.552,307.9,1.9,1.3,2017-10-20,1140,Aqua,MODIS,58,6.0NRT,293.4,15.9,D
46.772,29.055,305.3,1.6,1.2,2017-11-01,0840,Terra,MODIS,61,6.0NRT,281.4,15.6,D
46.632,29.237,314.6,1,1,2017-10-19,1055,Aqua,MODIS,73,6.0NRT,296,10,D
47.962,29.056,302.3,1,1,2017-10-03,0910,Terra,MODIS,36,6.0NRT,288.6,4.1,D
47.953,29.053,301.6,1,1,2017-10-03,0910,Terra,MODIS,35,6.0NRT,289.8,3.7,D
47.964,29.059,303,1,1,2017-10-03,1055,Aqua,MODIS,54,6.0NRT,288.3,4.7,D
46.726,29.594,304.8,1,1,2017-10-03,1055,Aqua,MODIS,47,6.0NRT,292.7,4.8,D
46.802,29.426,327.1,1,1,2017-10-03,1055,Aqua,MODIS,84,6.0NRT,294.6,23.4,D
46.8,29.413,309.2,1,1,2017-10-03,1055,Aqua,MODIS,52,6.0NRT,294.5,6.6,D
46.669,29.404,322.6,2.1,1.4,2017-10-16,1025,Aqua,MODIS,82,6.0NRT,292.3,54,D
46.669,29.4,318.2,2.1,1.4,2017-10-16,1025,Aqua,MODIS,78,6.0NRT,292.1,42.9,D
47.177,29.397,309.5,1,1,2017-10-17,1105,Aqua,MODIS,62,6.0NRT,296.8,6.4,D
47.22,29.519,310.4,3.4,1.7,2017-10-18,1150,Aqua,MODIS,65,6.0NRT,294.6,41.1,D
46.721,29.779,300.1,1.3,1.1,2017-11-02,0925,Terra,MODIS,27,6.0NRT,282.2,7.4,D
46.788,29.802,348.6,1.1,1,2017-10-17,1105,Aqua,MODIS,95,6.0NRT,298.4,61,D
46.725,29.792,301.5,1.1,1,2017-11-02,1105,Aqua,MODIS,47,6.0NRT,278.3,6.4,D
46.723,29.778,309,1.1,1,2017-11-02,1105,Aqua,MODIS,68,6.0NRT,279.4,11.3,D
46.379,29.917,306.7,1.1,1,2017-10-03,0910,Terra,MODIS,61,6.0NRT,294.4,4.6,D
46.442,29.905,310,1.1,1,2017-10-17,1105,Aqua,MODIS,54,6.0NRT,295.9,6.3,D
46.376,29.912,310.7,1,1,2017-10-03,1055,Aqua,MODIS,65,6.0NRT,296.3,6.6,D
46.44,29.891,311,1.1,1,2017-10-17,1105,Aqua,MODIS,53,6.0NRT,295.5,7,D
46.447,29.898,314.3,1.1,1,2017-10-17,1105,Aqua,MODIS,70,6.0NRT,295.8,10.5,D
47.951,29.067,303.1,1,1,2017-10-03,0910,Terra,MODIS,51,6.0NRT,289.8,4.6,D
