latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
42.187,18.978,322.7,1.5,1.2,2017-01-23,1126,Aqua,MODIS,0,6.1,284.7,43.3
42.133,19.232,323.1,1.4,1.2,2017-07-23,1004,Terra,MODIS,63,6.1,303.8,21.6
42.139,19.237,309,1.1,1,2017-07-23,0039,Aqua,MODIS,76,6.1,294.2,8.6
42.138,19.229,337.4,1,1,2017-07-23,1145,Aqua,MODIS,74,6.1,307.2,27.2
42.132,19.19,306.4,1,1,2017-08-05,2040,Terra,MODIS,65,6.1,295.2,4.5
42.125,19.181,308.6,1.2,1.1,2017-08-07,2028,Terra,MODIS,75,6.1,295.9,9
42.138,19.162,320.9,1.1,1,2017-08-10,0952,Terra,MODIS,58,6.1,303.5,10
42.106,19.2,333.3,1.1,1,2017-08-10,0952,Terra,MODIS,62,6.1,304.5,29
42.13,19.157,309.5,1.2,1.1,2017-08-10,2058,Terra,MODIS,61,6.1,298.9,7.2
42.138,19.172,309.2,1.5,1.2,2017-08-10,0026,Aqua,MODIS,56,6.1,297.3,11.1
42.109,19.191,333.7,1.2,1.1,2017-08-10,1132,Aqua,MODIS,81,6.1,308.7,32.1
42.135,19.164,331.2,1.2,1.1,2017-08-10,1132,Aqua,MODIS,78,6.1,305.6,28.4
42.15,19.145,306.2,2.7,1.6,2017-08-11,2003,Terra,MODIS,67,6.1,294.6,22.3
42.146,19.168,309,1.4,1.2,2017-08-11,0109,Aqua,MODIS,76,6.1,295.2,12.3
42.14,19.166,321.8,1.7,1.3,2017-08-11,1215,Aqua,MODIS,65,6.1,302.4,23.4
42.139,19.148,323.4,1.7,1.3,2017-08-11,1215,Aqua,MODIS,69,6.1,302.6,28.2
42.158,19.154,317.7,1.2,1.1,2017-08-13,1203,Aqua,MODIS,65,6.1,298.1,12.5
42.162,19.155,315.4,1.2,1.1,2017-08-14,0928,Terra,MODIS,43,6.1,299.3,10.1
42.186,19.007,309.5,1.3,1.1,2017-08-17,0032,Aqua,MODIS,75,6.1,294,10.2
42.078,19.203,303.5,2.2,1.4,2017-08-18,2009,Terra,MODIS,45,6.1,291.6,11.9
42.091,19.198,303.8,2.2,1.4,2017-08-18,2009,Terra,MODIS,52,6.1,291.9,12.3
42.157,19.129,302.5,2.2,1.4,2017-08-18,2009,Terra,MODIS,19,6.1,292.4,9.9
42.173,19.127,316.6,2.1,1.4,2017-08-18,1221,Aqua,MODIS,59,6.1,302,19.3
42.146,19.135,320.5,1,1,2017-08-19,0946,Terra,MODIS,66,6.1,303.5,10.4
42.083,19.224,302.2,1.1,1,2017-08-19,2052,Terra,MODIS,9,6.1,292.1,3.8
42.089,19.197,308.8,1.1,1,2017-08-19,2052,Terra,MODIS,75,6.1,292.3,8.4
42.094,19.206,301.7,1.8,1.3,2017-08-19,0020,Aqua,MODIS,26,6.1,291.2,8
42.092,19.224,309.6,1.8,1.3,2017-08-19,0020,Aqua,MODIS,78,6.1,291.6,19.6
42.089,19.223,322.3,1.5,1.2,2017-08-19,1126,Aqua,MODIS,69,6.1,301.8,22.6
42.092,19.202,304.6,1.2,1.1,2017-08-20,0103,Aqua,MODIS,61,6.1,291.3,7.5
42.089,19.216,313.6,1.2,1.1,2017-08-20,0103,Aqua,MODIS,87,6.1,291.7,16.3
42.087,19.224,303,1.2,1.1,2017-08-20,0103,Aqua,MODIS,45,6.1,291.3,6.5
42.197,19.117,309.4,1.5,1.2,2017-08-23,0921,Terra,MODIS,33,6.1,297,7.9
42.072,19.236,324.1,1.4,1.2,2017-08-23,0921,Terra,MODIS,78,6.1,296.5,28.5
42.205,19.129,322.3,1.2,1.1,2017-08-23,2028,Terra,MODIS,100,6.1,291.9,27.1
42.074,19.205,311.9,3.2,1.7,2017-08-23,1102,Aqua,MODIS,59,6.1,293.8,42.7
42.08,19.237,311.1,3.2,1.7,2017-08-23,1102,Aqua,MODIS,67,6.1,296.1,37.8
42.071,19.202,310,3.2,1.7,2017-08-23,1102,Aqua,MODIS,57,6.1,293.8,34.6
42.196,19.125,308.5,3.2,1.7,2017-08-23,1102,Aqua,MODIS,60,6.1,296.8,28.3
42.204,19.13,317.7,1.4,1.2,2017-08-24,1004,Terra,MODIS,70,6.1,301.2,16.5
42.078,19.237,331.6,1.5,1.2,2017-08-24,1004,Terra,MODIS,85,6.1,300.5,45.1
42.084,19.252,303.5,1.8,1.3,2017-08-24,2110,Terra,MODIS,55,6.1,290.9,12
42.195,19.123,301.7,1.1,1,2017-08-24,0038,Aqua,MODIS,29,6.1,287.6,5.6
42.079,19.239,304.4,1.1,1,2017-08-24,0039,Aqua,MODIS,60,6.1,286.1,8.3
42.078,19.234,339.9,1,1,2017-08-24,1145,Aqua,MODIS,89,6.1,303.6,37.1
42.076,19.222,315.6,1,1,2017-08-24,1145,Aqua,MODIS,41,6.1,301.2,7.1
42.071,19.247,314.8,2.2,1.4,2017-08-25,0909,Terra,MODIS,50,6.1,302.2,19.5
42.077,19.251,303.7,2.1,1.4,2017-08-25,0121,Aqua,MODIS,56,6.1,288.9,19.2
42.076,19.227,313.9,2.7,1.6,2017-08-25,1228,Aqua,MODIS,22,6.1,302.2,18.5
42.087,19.24,329.9,1.1,1,2017-08-26,0952,Terra,MODIS,81,6.1,305.2,22.1
42.078,19.236,333.4,1.1,1,2017-08-26,0952,Terra,MODIS,84,6.1,306.8,28
42.069,19.233,352.1,1.1,1,2017-08-26,0952,Terra,MODIS,96,6.1,308.2,66.4
42.076,19.243,316.9,1.2,1.1,2017-08-26,2058,Terra,MODIS,32,6.1,294.8,15.8
42.074,19.228,328.6,1.2,1.1,2017-08-26,2058,Terra,MODIS,100,6.1,295.5,32.4
42.086,19.243,319.1,1.2,1.1,2017-08-26,2058,Terra,MODIS,46,6.1,296.1,18.4
42.084,19.226,319.9,1.2,1.1,2017-08-26,2058,Terra,MODIS,69,6.1,294.7,19.5
42.086,19.236,320.8,1.2,1.1,2017-08-26,2058,Terra,MODIS,100,6.1,296.2,22.1
42.085,19.219,309.3,1.2,1.1,2017-08-26,2058,Terra,MODIS,34,6.1,293.3,9
42.204,19.152,311.6,1.5,1.2,2017-08-26,0026,Aqua,MODIS,83,6.1,294.1,16.5
42.073,19.235,310.7,1.5,1.2,2017-08-26,0026,Aqua,MODIS,81,6.1,292.7,17.1
42.071,19.252,304.8,1.5,1.2,2017-08-26,0026,Aqua,MODIS,62,6.1,290.8,10.1
42.07,19.231,357.9,1.2,1.1,2017-08-26,1132,Aqua,MODIS,99,6.1,310.8,97.8
42.082,19.242,339.6,1.2,1.1,2017-08-26,1132,Aqua,MODIS,88,6.1,307.1,44.9
42.08,19.229,329.6,1.2,1.1,2017-08-26,1132,Aqua,MODIS,77,6.1,304.1,25.8
42.082,19.248,316.3,3.3,1.7,2017-08-27,0857,Terra,MODIS,51,6.1,301.4,40.1
42.069,19.24,317.2,3.9,1.8,2017-08-27,1035,Terra,MODIS,67,6.1,298.7,62.8
42.079,19.241,317.2,3.9,1.8,2017-08-27,1035,Terra,MODIS,67,6.1,299.2,65.9
42.056,19.243,311.2,2.6,1.6,2017-08-27,2003,Terra,MODIS,82,6.1,293.3,37
42.075,19.264,312,2.6,1.6,2017-08-27,2003,Terra,MODIS,84,6.1,294.6,36.8
42.083,19.233,304.6,2.6,1.6,2017-08-27,2003,Terra,MODIS,31,6.1,293,16.9
42.095,19.224,311.2,2.6,1.6,2017-08-27,2003,Terra,MODIS,77,6.1,294.2,34.3
42.08,19.256,318.5,2.6,1.6,2017-08-27,2003,Terra,MODIS,97,6.1,295.2,57.1
42.093,19.247,310.5,2.6,1.6,2017-08-27,2003,Terra,MODIS,64,6.1,294.8,31.5
42.087,19.224,304.9,2.6,1.6,2017-08-27,2003,Terra,MODIS,14,6.1,293.3,17.5
42.1,19.215,303.3,2.6,1.6,2017-08-27,2003,Terra,MODIS,44,6.1,293.2,15
42.077,19.242,308.5,1.5,1.2,2017-08-27,0109,Aqua,MODIS,48,6.1,291.5,12.4
42.195,19.102,321.9,1.7,1.3,2017-08-27,1215,Aqua,MODIS,69,6.1,306.6,22.5
42.063,19.268,329.8,1,1,2017-08-28,0940,Terra,MODIS,70,6.1,304.2,18.5
41.976,19.256,305.2,1,1,2017-08-28,2046,Terra,MODIS,25,6.1,292,4.9
42.06,19.265,310.2,1,1,2017-08-28,2046,Terra,MODIS,63,6.1,287.2,8.7
42.084,19.252,323.1,1.8,1.3,2017-08-28,1120,Aqua,MODIS,43,6.1,303.2,26
42.081,19.249,319.8,1.8,1.3,2017-08-28,1120,Aqua,MODIS,48,6.1,302.5,20
42.18,19.003,342,1.3,1.1,2017-08-30,0928,Terra,MODIS,86,6.1,303.8,57.2
42.178,19.019,314,1.3,1.1,2017-08-30,0928,Terra,MODIS,14,6.1,300.1,9.1
42.131,19.078,330.5,1.2,1.1,2017-08-30,0928,Terra,MODIS,0,6.1,301.6,29.8
42.051,19.278,303.7,1.1,1,2017-08-30,2034,Terra,MODIS,17,6.1,291.1,5.1
42.094,19.185,301.8,1.1,1,2017-08-30,2034,Terra,MODIS,30,6.1,290.3,4.9
42.099,19.178,301.2,1.1,1,2017-08-30,2034,Terra,MODIS,39,6.1,289.7,5.1
42.189,18.991,311.7,1.1,1,2017-08-30,2034,Terra,MODIS,83,6.1,293.2,11.8
42.216,19.092,309.8,1.1,1,2017-08-30,2034,Terra,MODIS,78,6.1,294.7,10.8
42.128,19.096,333.5,3.8,1.8,2017-08-30,0140,Aqua,MODIS,100,6.1,293,234.9
42.111,19.129,314.4,3.8,1.8,2017-08-30,0140,Aqua,MODIS,85,6.1,291.6,92.9
42.055,19.285,309.8,1.8,1.3,2017-08-31,1010,Terra,MODIS,38,6.1,297.7,9.5
42.099,19.191,300.6,1,1,2017-08-31,0045,Aqua,MODIS,31,6.1,288.8,4.8
42.066,19.288,312.5,1,1,2017-08-31,0045,Aqua,MODIS,85,6.1,291.5,11.2
42.057,19.286,303,1,1,2017-08-31,0045,Aqua,MODIS,52,6.1,289.1,5.3
42.094,19.181,329,1,1,2017-08-31,1151,Aqua,MODIS,80,6.1,302.7,21.7
42.219,19.088,314.4,1,1,2017-08-31,1151,Aqua,MODIS,45,6.1,303.5,4.9
42.042,19.287,303.8,1.5,1.2,2017-09-01,2021,Terra,MODIS,57,6.1,290.9,9.6
42.046,19.281,311.9,1.5,1.2,2017-09-01,2021,Terra,MODIS,84,6.1,290.7,18.5
42.028,19.255,314.7,3.9,1.8,2017-09-01,1056,Aqua,MODIS,61,6.1,291.2,58.4
42.034,19.251,313,3.9,1.8,2017-09-01,1056,Aqua,MODIS,60,6.1,291.1,54.9
42.05,19.259,315.8,1.2,1.1,2017-09-02,0958,Terra,MODIS,41,6.1,301.3,9
42.047,19.275,328.6,1.2,1.1,2017-09-02,0958,Terra,MODIS,81,6.1,304.3,27.1
42.044,19.29,315.8,1.2,1.1,2017-09-02,0958,Terra,MODIS,22,6.1,302.5,8.7
42.045,19.278,375.9,1.2,1.1,2017-09-02,0032,Aqua,MODIS,100,6.1,294.3,184.6
42.039,19.276,320.6,1.1,1,2017-09-02,1138,Aqua,MODIS,59,6.1,301.1,12
42.037,19.263,322.7,1.1,1,2017-09-02,1138,Aqua,MODIS,72,6.1,300,15
42.264,19.035,308.5,1,1,2017-03-24,1152,Aqua,MODIS,53,6.1,293,5.3
42.397,18.918,309.2,1.1,1,2017-05-29,1139,Aqua,MODIS,34,6.1,297.2,7.8
42.28,19.005,311.3,1.3,1.1,2017-08-07,2028,Terra,MODIS,82,6.1,298.1,10.7
42.278,18.991,317.1,1.3,1.1,2017-08-07,2028,Terra,MODIS,94,6.1,297.8,17.6
42.395,18.913,314.8,1.4,1.2,2017-08-08,1004,Terra,MODIS,51,6.1,302.4,7.2
42.272,19.006,318.3,1.4,1.2,2017-08-08,1004,Terra,MODIS,63,6.1,302.7,13
42.279,18.988,307,1.1,1,2017-08-08,0038,Aqua,MODIS,62,6.1,295.6,6.7
42.284,18.988,308.2,1.8,1.3,2017-08-09,2015,Terra,MODIS,67,6.1,297.9,11.7
42.382,18.876,336.7,1.1,1,2017-08-10,0952,Terra,MODIS,86,6.1,307.7,30.8
42.283,18.985,316.4,1.2,1.1,2017-08-13,1203,Aqua,MODIS,66,6.1,298.4,11.6
42.389,18.85,343.2,1.3,1.1,2017-08-14,0928,Terra,MODIS,92,6.1,301.2,62.2
42.294,18.977,320.2,1.3,1.1,2017-08-14,0928,Terra,MODIS,74,6.1,298,17.1
42.291,19.007,315,1.3,1.1,2017-08-14,0928,Terra,MODIS,45,6.1,299.7,8.9
