latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
53.145,7.058,312.7,1,1,2017-08-25,1231,Aqua,MODIS,0,6.1,292.5,8.9
52.657,6.735,303.2,1.1,1,2017-07-31,1237,Aqua,MODIS,37,6.1,287,4
52.297,6.922,305.8,1.6,1.2,2017-08-28,1115,Terra,MODIS,38,6.1,292.3,7.2
51.454,5.694,311.8,1,1,2017-04-19,1045,Terra,MODIS,23,6.1,288.7,10.5
51.703,5.186,305.9,1,1,2017-04-26,1051,Terra,MODIS,52,6.1,287.9,6.4
51.473,5.672,305.4,1.7,1.3,2017-06-09,1301,Aqua,MODIS,19,6.1,292,7.2
51.187,5.736,345.1,1.6,1.3,2017-08-06,1200,Aqua,MODIS,88,6.1,291.3,106.1
51.602,5.518,308.1,1.6,1.3,2017-08-22,1200,Aqua,MODIS,41,6.1,294,8.7
51.457,5.687,316.4,1,1,2017-08-25,1045,Terra,MODIS,61,6.1,290.6,10.6
51.382,5.752,311.8,1,1,2017-09-01,1051,Terra,MODIS,63,6.1,288.5,9.7
51.36,5.702,307.4,1.6,1.3,2017-08-06,1200,Aqua,MODIS,44,6.1,293.3,9.1
51.358,5.949,316.9,1.4,1.2,2017-08-29,1206,Aqua,MODIS,64,6.1,299.3,13
51.306,6.122,313.7,1.3,1.1,2017-03-30,1109,Terra,MODIS,68,6.1,289.5,15.1
51.292,6.118,307.4,1,1,2017-04-03,1231,Aqua,MODIS,61,6.1,290.4,6.5
51.46,6.049,314.3,1.8,1.3,2017-07-18,1122,Terra,MODIS,69,6.1,298.5,18.8
51.167,6.044,307.7,1.1,1,2017-08-07,1057,Terra,MODIS,47,6.1,294.2,6
51.165,6.059,305.1,1.1,1,2017-08-07,1057,Terra,MODIS,43,6.1,291.9,4.8
51.533,6.018,326,1.4,1.2,2017-08-29,1206,Aqua,MODIS,68,6.1,298.1,25.9
51.402,6.167,302.5,1.1,1,2017-09-24,1057,Terra,MODIS,36,6.1,288.7,3.8
52.519,5.014,301.6,1,1,2017-03-27,1225,Aqua,MODIS,34,6.1,290.4,3.5
52.232,5.482,304.3,1.1,1,2017-07-17,1039,Terra,MODIS,36,6.1,287.7,5.1
51.991,4.18,304.7,1,1,2017-04-03,1231,Aqua,MODIS,60,6.1,289,4.5
52.016,4.226,300.7,1,1,2017-04-03,1231,Aqua,MODIS,20,6.1,287.8,2.6
51.954,4.215,315,1.1,1,2017-04-19,1045,Terra,MODIS,62,6.1,286.9,14.1
52.013,4.169,314.6,1.6,1.2,2017-04-23,1207,Aqua,MODIS,54,6.1,284.8,21.4
51.973,4.208,313.2,1,1,2017-04-26,1051,Terra,MODIS,69,6.1,285.4,11
51.971,4.222,340.5,1,1,2017-04-26,1051,Terra,MODIS,70,6.1,290.4,43.5
51.974,4.248,312.5,1.7,1.3,2017-05-06,1128,Terra,MODIS,62,6.1,292.2,18.1
52.001,4.153,314.1,2,1.4,2017-06-14,1134,Terra,MODIS,0,6.1,295,14.9
52.023,4.258,307.4,1.2,1.1,2017-06-15,1039,Terra,MODIS,39,6.1,285.4,4.4
52.021,4.275,311.8,1.2,1.1,2017-06-15,1039,Terra,MODIS,60,6.1,286.5,9.1
52.005,4.271,312.6,1.3,1.1,2017-06-17,1212,Aqua,MODIS,36,6.1,295.3,6.1
51.874,4.171,305.5,1.9,1.3,2017-08-06,1200,Aqua,MODIS,55,6.1,292.7,10.2
51.881,4.344,317.4,1.3,1.1,2017-08-18,2150,Terra,MODIS,95,6.1,286.6,25.2
52.012,4.206,301.8,1,1,2017-09-24,1057,Terra,MODIS,49,6.1,282.3,4.2
52.01,4.22,301.4,1,1,2017-09-24,1057,Terra,MODIS,47,6.1,283.5,4.1
