latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
52.482,4.592,302.2,1,1,2017-10-03,1235,Aqua,MODIS,0,6.0NRT,290.5,4.7,D
52.484,4.591,302.9,1,1,2017-10-05,1225,Aqua,MODIS,0,6.0NRT,287.2,6.4,D
52.482,4.593,303.8,1.2,1.1,2017-10-14,2140,Terra,MODIS,57,6.0NRT,285.8,9.7,N
52.495,4.619,300.8,1.1,1,2017-10-15,0150,Aqua,MODIS,34,6.0NRT,285.5,7.1,N
52.489,4.613,304.9,1.8,1.3,2017-10-16,1020,Terra,MODIS,0,6.0NRT,291.2,10.3,D
52.483,4.596,303.3,1,1,2017-10-17,1100,Terra,MODIS,0,6.0NRT,270.4,9.3,D
52.492,4.618,304.1,1,1,2017-10-20,0205,Aqua,MODIS,58,6.0NRT,285.9,8,N
52.485,4.612,301.6,1,1,2017-10-21,1225,Aqua,MODIS,42,6.0NRT,288.5,5.1,D
52.491,4.613,305.2,1,1,2017-11-04,1050,Terra,MODIS,54,6.0NRT,284.5,7.6,D
52.484,4.596,306.3,1,1,2017-11-04,1050,Terra,MODIS,0,6.0NRT,285,7.7,D
52.489,4.594,304.4,1,1,2017-11-07,0155,Aqua,MODIS,60,6.0NRT,277.2,10.2,N
52.488,4.614,301.3,1,1,2017-11-13,1230,Aqua,MODIS,44,6.0NRT,279.6,7.7,D
52.483,4.593,300,1.3,1.1,2017-12-26,1210,Aqua,MODIS,0,6.0NRT,277.6,10.7,D
