latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
60.751,11.191,303.3,1.4,1.2,2017-05-01,1120,Aqua,MODIS,51,6.1,290.7,5.8
60.746,11.167,307.7,1.4,1.2,2017-05-01,1120,Aqua,MODIS,66,6.1,292.1,9.6
60.746,11.15,310.7,1.5,1.2,2017-05-02,1012,Terra,MODIS,70,6.1,290.7,14.5
60.744,11.177,309.5,1.5,1.2,2017-05-02,1012,Terra,MODIS,69,6.1,289.6,12.9
60.749,11.145,311.4,2.6,1.6,2017-05-02,1149,Terra,MODIS,37,6.1,293.2,32.9
60.737,11.186,310.7,2.6,1.6,2017-05-02,1149,Terra,MODIS,58,6.1,291.4,34.7
60.746,11.134,306.7,2.6,1.6,2017-05-02,1149,Terra,MODIS,48,6.1,292.3,22.8
60.733,11.174,310.9,2.6,1.6,2017-05-02,1149,Terra,MODIS,65,6.1,290.5,37.8
60.824,11.143,307.6,1.1,1,2017-05-02,1202,Aqua,MODIS,50,6.1,292.2,5.9
60.818,11.127,309.7,2.3,1.5,2017-05-03,1245,Aqua,MODIS,63,6.1,296,23.1
60.827,11.374,304.1,1.9,1.3,2017-05-04,0959,Terra,MODIS,29,6.1,290.9,13.5
60.754,11.279,310.8,1.9,1.3,2017-05-04,0959,Terra,MODIS,56,6.1,291.9,22
60.836,11.369,318.2,1,1,2017-05-05,1042,Terra,MODIS,77,6.1,293.4,12.7
60.834,11.387,315.1,1,1,2017-05-05,1042,Terra,MODIS,62,6.1,292.5,10.4
60.805,11.325,307.3,1,1,2017-05-05,1042,Terra,MODIS,54,6.1,294.3,4.2
60.798,11.32,306.7,2.2,1.4,2017-05-05,1055,Aqua,MODIS,17,6.1,291.9,15.5
60.818,11.341,305,2.2,1.4,2017-05-05,1055,Aqua,MODIS,39,6.1,292.1,13.7
60.808,11.305,307.6,2.2,1.4,2017-05-05,1055,Aqua,MODIS,64,6.1,291.8,17.3
60.828,11.075,311.1,1.7,1.3,2017-05-05,1233,Aqua,MODIS,59,6.1,295.5,14.3
59.593,9.717,309.1,1.1,1,2017-04-11,1144,Aqua,MODIS,68,6.1,281,13.3
59.094,9.571,301.1,2.7,1.6,2017-05-02,1150,Terra,MODIS,0,6.1,288.7,20.6
59.318,10.187,304.5,1,1,2017-05-02,1202,Aqua,MODIS,59,6.1,293.6,4.4
59.817,10.219,307,1,1,2017-05-05,1042,Terra,MODIS,25,6.1,294.4,4.9
59.552,10.053,311,1.5,1.2,2017-05-05,1233,Aqua,MODIS,67,6.1,294.4,16.4
59.044,10.129,308.8,1.2,1.1,2017-05-06,1138,Aqua,MODIS,0,6.1,290.6,10.2
59.127,9.454,306.5,1.3,1.1,2017-05-06,1138,Aqua,MODIS,55,6.1,293.3,8.7
