latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
50.038,18.482,311.1,1,1,2017-04-02,1002,Terra,MODIS,67,6.1,299.3,7.2
51.635,18.352,303.7,1.2,1.1,2017-09-07,1014,Terra,MODIS,45,6.1,286.6,6
50.75,19.686,334,1.1,1.1,2017-03-05,1123,Aqua,MODIS,84,6.1,285.1,41
50.496,20.034,306.8,1.6,1.3,2017-04-01,1105,Aqua,MODIS,60,6.1,295.3,9.1
51.336,19.958,323.1,1,1,2017-08-01,0956,Terra,MODIS,73,6.1,303.6,12.7
54.816,18.128,316.2,1.3,1.1,2017-05-31,0942,Terra,MODIS,65,6.1,290.3,19.1
50.065,20.126,303.3,1,1,2017-01-01,0055,Aqua,MODIS,54,6.1,267.5,11.3
50.068,20.085,304.9,1.4,1.2,2017-02-27,1014,Terra,MODIS,57,6.1,286.9,12.2
50.075,20.09,302.3,1,1,2017-03-19,0949,Terra,MODIS,49,6.1,281.4,6.6
50.216,19.734,300.1,2.8,1.6,2017-03-27,1224,Aqua,MODIS,25,6.1,287.4,17
50.07,20.077,316.2,1,1,2017-03-28,1129,Aqua,MODIS,71,6.1,296.8,11.8
50.213,19.688,302.5,1.9,1.3,2017-03-29,1026,Terra,MODIS,53,6.1,289.5,10
50.253,19.702,306.5,4.3,1.9,2017-04-01,1056,Terra,MODIS,60,6.1,292.4,47.1
50.227,19.739,309.5,1.1,1,2017-04-02,1148,Aqua,MODIS,56,6.1,295.9,6
50.06,20.117,308.4,1.3,1.1,2017-05-27,1008,Terra,MODIS,39,6.1,291.4,7.7
50.062,20.126,301.4,1.4,1.2,2017-05-29,0031,Aqua,MODIS,41,6.1,283.7,11.3
50.066,20.132,310.4,1.1,1.1,2017-06-08,0107,Aqua,MODIS,80,6.1,283.4,15.2
50.058,20.123,312.5,1.4,1.2,2017-06-11,0925,Terra,MODIS,44,6.1,293.2,11
50.074,20.086,302,2,1.4,2017-06-14,2106,Terra,MODIS,46,6.1,283.6,20.4
50.068,20.082,321.8,1.1,1,2017-06-25,0937,Terra,MODIS,64,6.1,304.4,13
50.071,20.095,302.7,1.2,1.1,2017-07-07,0036,Aqua,MODIS,51,6.1,283.8,10.7
