latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
52.586,19.697,310.5,1.1,1.1,2017-10-02,1005,Terra,MODIS,66,6.0NRT,288.5,11.7,D
50.418,18.15,302.2,1.1,1,2017-10-02,1150,Aqua,MODIS,51,6.0NRT,291.1,4.6,D
50.416,18.135,302.6,1.1,1,2017-10-02,1150,Aqua,MODIS,53,6.0NRT,292.2,5,D
52.583,19.665,302.7,1,1,2017-12-13,2030,Terra,MODIS,51,6.0NRT,271.3,10.6,N
50.067,20.071,302.8,1.4,1.2,2017-10-01,1110,Aqua,MODIS,40,6.0NRT,290,7.6,D
50.074,20.084,304.1,1.4,1.2,2017-10-01,1110,Aqua,MODIS,58,6.0NRT,291,9.1,D
50.058,20.115,301.8,1.2,1.1,2017-10-15,2045,Terra,MODIS,44,6.0NRT,277.6,10.8,N
50.068,20.081,306.3,1.4,1.2,2017-10-17,1110,Aqua,MODIS,50,6.0NRT,289.9,9.3,D
50.072,20.074,302.9,1.4,1.2,2017-10-17,1110,Aqua,MODIS,54,6.0NRT,289.8,6.5,D
50.131,23.185,301.8,1.7,1.3,2017-10-18,1150,Aqua,MODIS,49,6.0NRT,288,8.8,D
50.071,20.091,306.3,1.4,1.2,2017-10-01,1110,Aqua,MODIS,58,6.0NRT,290.8,11.2,D
50.064,20.089,300.4,1.4,1.2,2017-10-01,1110,Aqua,MODIS,8,6.0NRT,289.7,5.4,D
52.582,19.689,320.3,1.3,1.1,2017-10-02,1150,Aqua,MODIS,80,6.0NRT,290.4,25.7,D
50.074,20.088,303.7,1.1,1,2017-10-18,0040,Aqua,MODIS,56,6.0NRT,280.8,10.4,N
50.063,20.126,300.5,1.1,1,2017-10-18,0040,Aqua,MODIS,29,6.0NRT,279.3,8.7,N
50.058,20.12,337.1,1,1,2017-12-07,1140,Aqua,MODIS,68,6.0NRT,278.8,44.3,D
50.419,18.14,302.2,1,1,2017-10-01,2035,Terra,MODIS,48,6.0NRT,281,8.7,N
51.179,16.114,306.9,1.5,1.2,2017-10-14,1030,Terra,MODIS,64,6.0NRT,288.3,11.3,D
51.176,16.107,303.1,1.5,1.2,2017-10-14,1030,Terra,MODIS,55,6.0NRT,288.1,7.9,D
51.686,15.98,304.2,1.6,1.3,2017-10-15,0935,Terra,MODIS,58,6.0NRT,289,11.2,D
51.184,16.116,306.6,1,1,2017-10-15,2045,Terra,MODIS,68,6.0NRT,284.5,10.6,N
51.694,15.973,307.8,1.1,1,2017-11-04,0125,Aqua,MODIS,73,6.0NRT,274.8,14.2,N
51.688,15.98,331,1.1,1,2017-11-04,0125,Aqua,MODIS,100,6.0NRT,275.7,40.6,N
51.685,15.995,308.8,1.1,1,2017-11-04,0125,Aqua,MODIS,76,6.0NRT,275.5,15.7,N
51.68,15.985,304.6,1,1,2017-11-05,1140,Aqua,MODIS,52,6.0NRT,285.6,8.4,D
51.688,15.984,301,1,1,2017-11-26,1010,Terra,MODIS,41,6.0NRT,277.3,8.4,D
51.686,15.989,303.2,1.6,1.3,2017-12-05,0040,Aqua,MODIS,54,6.0NRT,270.8,23.6,N
51.687,15.978,317.4,1,1,2017-12-07,1140,Aqua,MODIS,73,6.0NRT,278.8,20.7,D
51.686,15.982,315.1,1,1,2017-12-24,0110,Aqua,MODIS,90,6.0NRT,278.9,18.1,N
