latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
41.012,-8.12,303.5,1.1,1,2017-02-25,1348,Aqua,MODIS,53,6.1,288.9,4.2
41.024,-8.24,306.2,1,1,2017-08-03,2231,Terra,MODIS,67,6.1,290.6,6.9
41.022,-8.252,339.1,1,1,2017-08-03,2231,Terra,MODIS,100,6.1,293.3,42.5
41.029,-8.266,306.5,1,1,2017-08-03,2231,Terra,MODIS,52,6.1,291.6,6.9
41.027,-8.278,310.6,1,1,2017-08-03,2231,Terra,MODIS,80,6.1,291,10.3
41.038,-8.161,314.2,2.8,1.6,2017-08-20,2314,Terra,MODIS,88,6.1,295.8,43.9
41.028,-8.135,306.5,2.8,1.6,2017-08-20,2314,Terra,MODIS,68,6.1,295.3,22.7
41.043,-8.09,334.3,1.1,1,2017-08-20,1348,Aqua,MODIS,77,6.1,311.5,24.6
41.052,-8.146,306.9,1.3,1.1,2017-08-24,0218,Aqua,MODIS,70,6.1,287.4,15.3
40.987,-7.961,308.1,1,1,2017-09-30,1342,Aqua,MODIS,57,6.1,275,8.3
39.808,-8.045,338.5,1.3,1.1,2017-07-23,1323,Aqua,MODIS,84,6.1,308.6,42.1
39.81,-8.037,395.9,1.3,1.1,2017-07-23,1323,Aqua,MODIS,100,6.1,319,315.6
39.746,-8.052,310.7,1,1,2017-07-25,2236,Terra,MODIS,81,6.1,291.9,9.7
39.745,-8.064,326.6,1,1,2017-07-25,2236,Terra,MODIS,100,6.1,293.7,24.8
39.643,-8.056,309,1.6,1.2,2017-08-14,2212,Terra,MODIS,76,6.1,289.9,17.4
39.639,-8.074,346.8,1.6,1.2,2017-08-14,2212,Terra,MODIS,100,6.1,295.1,106
39.636,-8.091,320.6,1.6,1.2,2017-08-14,2212,Terra,MODIS,95,6.1,294.1,33.6
39.665,-8.119,320.4,1.6,1.2,2017-08-14,2212,Terra,MODIS,100,6.1,290.5,34.3
39.656,-8.111,333,3.3,1.7,2017-08-14,1424,Aqua,MODIS,69,6.1,300.1,126.2
39.671,-8.121,336.2,1.1,1.1,2017-08-15,0224,Aqua,MODIS,100,6.1,289.5,43.7
39.657,-8.084,315.9,1.1,1,2017-08-15,0224,Aqua,MODIS,51,6.1,289.6,16
39.646,-8.073,308.4,1.1,1,2017-08-15,0224,Aqua,MODIS,43,6.1,289.2,10.3
39.642,-8.114,324,1.1,1.1,2017-08-15,0224,Aqua,MODIS,85,6.1,290.1,24.4
39.64,-8.101,337.1,1.1,1.1,2017-08-15,0224,Aqua,MODIS,100,6.1,291.9,43.9
39.815,-8.022,311.1,1.2,1.1,2017-09-09,2249,Terra,MODIS,82,6.1,285.3,16.5
39.752,-8.013,331.2,1.2,1.1,2017-09-12,1354,Aqua,MODIS,79,6.1,307.6,24.7
41.562,-8.049,300.9,1.1,1,2017-02-25,1348,Aqua,MODIS,38,6.1,288.3,3.4
41.56,-8.063,303.9,1.1,1,2017-02-25,1348,Aqua,MODIS,57,6.1,288.7,5.2
41.662,-8.078,313.6,1.4,1.2,2017-03-10,1318,Aqua,MODIS,69,6.1,296.2,16.2
41.659,-8.095,312.2,1.4,1.2,2017-03-10,1318,Aqua,MODIS,67,6.1,297.7,14
41.582,-8.057,308,1,1,2017-03-15,0231,Aqua,MODIS,73,6.1,282.5,12.2
41.652,-8.102,310.1,1,1,2017-03-15,1336,Aqua,MODIS,63,6.1,298.3,6.3
41.61,-8.05,375.3,1,1,2017-04-20,2237,Terra,MODIS,100,6.1,292.9,139.3
41.614,-8.038,313,2.9,1.6,2017-04-21,1213,Terra,MODIS,68,6.1,293.2,45
41.608,-8.035,301.5,1.1,1.1,2017-04-21,0249,Aqua,MODIS,42,6.1,282.9,9.2
41.619,-8.034,338.6,1.3,1.1,2017-04-21,1355,Aqua,MODIS,89,6.1,299.9,49.6
41.618,-8.049,369.1,1.3,1.1,2017-04-21,1355,Aqua,MODIS,100,6.1,305.5,153.1
41.505,-8.033,311.2,1.2,1.1,2017-04-22,1119,Terra,MODIS,46,6.1,297.7,5.5
41.631,-8.068,324.4,1.9,1.3,2017-04-23,1201,Terra,MODIS,78,6.1,297.4,47
41.273,-8.034,309.9,2.8,1.6,2017-08-20,2314,Terra,MODIS,79,6.1,296.6,33.3
41.449,-8.037,301.2,1,1,2017-08-20,0242,Aqua,MODIS,38,6.1,290.5,4.8
41.44,-8.04,327.2,1,1,2017-08-20,0242,Aqua,MODIS,100,6.1,291.6,27.1
41.22,-7.982,307.6,1.3,1.1,2017-09-09,2249,Terra,MODIS,72,6.1,283,16
41.454,-8.028,328.4,1.2,1.1,2017-09-09,1323,Aqua,MODIS,83,6.1,296.5,31
41.804,-8.451,304.7,1.1,1,2017-03-13,1349,Aqua,MODIS,60,6.1,291.4,5.7
41.896,-8.429,324.6,1.8,1.3,2017-03-18,1407,Aqua,MODIS,80,6.1,299.8,41.7
41.905,-8.417,318.2,1.8,1.3,2017-03-18,1407,Aqua,MODIS,69,6.1,300.2,24.2
41.853,-8.461,315.5,1,1,2017-04-07,1343,Aqua,MODIS,66,6.1,298.2,8.4
41.886,-8.475,308.7,4,1.9,2017-08-21,0147,Aqua,MODIS,75,6.1,293.3,60.9
40.968,-8.122,319.2,2.4,1.5,2017-08-20,1208,Terra,MODIS,53,6.1,302.9,30.9
40.95,-8.148,318.4,1.1,1,2017-09-16,1329,Aqua,MODIS,69,6.1,297.2,13.5
