latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.436,-8.508,334,1.2,1.1,2017-10-02,1325,Aqua,MODIS,81,6.0NRT,307.4,26.5,D
38.73,-8.617,329,1.1,1,2017-10-04,1135,Terra,MODIS,78,6.0NRT,305.3,20,D
38.63,-9.03,324.5,1.9,1.3,2017-10-04,1315,Aqua,MODIS,54,6.0NRT,304.3,33.3,D
39.778,-8.483,375.6,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,298.2,144.5,N
39.787,-8.486,351.1,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,295,67.9,N
39.785,-8.498,339.4,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,299.4,43.8,N
39.783,-8.51,326.7,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,292.9,25.8,N
39.805,-8.49,326.9,1,1,2017-10-06,2230,Terra,MODIS,47,6.0NRT,293,25,N
39.814,-8.493,341.7,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,293.1,47.8,N
39.823,-8.495,340.8,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,290.3,47,N
39.819,-8.519,309.4,1,1,2017-10-06,2230,Terra,MODIS,15,6.0NRT,289.4,9.4,N
39.817,-8.531,309.2,1,1,2017-10-06,2230,Terra,MODIS,47,6.0NRT,287.6,9.9,N
39.837,-8.518,338.6,1,1,2017-10-06,2230,Terra,MODIS,100,6.0NRT,291.4,45,N
38.889,-9.29,327.9,1,1,2017-10-07,1345,Aqua,MODIS,75,6.0NRT,308.3,16,D
39.859,-8.03,310.4,2.7,1.6,2017-10-07,2310,Terra,MODIS,80,6.0NRT,290.4,46.8,N
39.834,-8.431,301.1,2.6,1.5,2017-10-07,2310,Terra,MODIS,38,6.0NRT,290.7,22,N
39.875,-8,300.9,2.7,1.6,2017-10-07,2310,Terra,MODIS,35,6.0NRT,287.4,21.4,N
39.84,-8.428,315,4,1.9,2017-10-08,1430,Aqua,MODIS,63,6.0NRT,301.5,55.7,D
39.797,-8.475,314.2,1.3,1.1,2017-10-08,2215,Terra,MODIS,89,6.0NRT,286.4,22.9,N
39.807,-8.478,331.5,1.3,1.1,2017-10-08,2215,Terra,MODIS,100,6.0NRT,289.4,51,N
39.804,-8.493,324.4,1.3,1.2,2017-10-08,2215,Terra,MODIS,100,6.0NRT,289.1,37.4,N
39.814,-8.496,321.2,1.3,1.2,2017-10-08,2215,Terra,MODIS,100,6.0NRT,287.3,32.2,N
38.722,-8.621,327.9,1.1,1,2017-10-09,1335,Aqua,MODIS,76,6.0NRT,308,18.2,D
39.836,-8.034,423.5,1.1,1,2017-10-15,1115,Terra,MODIS,100,6.0NRT,314.4,483.4,D
39.825,-8.023,337,1.1,1,2017-10-15,1115,Terra,MODIS,86,6.0NRT,302.2,34.3,D
39.838,-8.034,410.2,2.8,1.6,2017-10-15,1255,Aqua,MODIS,100,6.0NRT,315,1429.2,D
39.852,-8.038,413.8,2.8,1.6,2017-10-15,1255,Aqua,MODIS,100,6.0NRT,307,1549.3,D
39.845,-8.071,375.9,2.9,1.6,2017-10-15,1255,Aqua,MODIS,100,6.0NRT,302.5,593.5,D
39.827,-8.036,355.3,2.8,1.6,2017-10-15,1255,Aqua,MODIS,98,6.0NRT,301.8,307.6,D
39.819,-8.068,316.5,2.9,1.6,2017-10-15,1255,Aqua,MODIS,41,6.0NRT,300.9,31.2,D
39.641,-9.048,324.4,4.5,2,2017-10-15,1435,Aqua,MODIS,0,6.0NRT,298.2,136.7,D
39.694,-9.001,327.9,4.6,2,2017-10-15,1435,Aqua,MODIS,61,6.0NRT,298.6,159.4,D
39.731,-8.949,323.6,4.6,2,2017-10-15,1435,Aqua,MODIS,77,6.0NRT,297.8,131.1,D
39.732,-8.957,328.1,4.6,2,2017-10-15,1435,Aqua,MODIS,77,6.0NRT,297.9,169.2,D
38.958,-9.248,310.2,1.3,1.1,2017-10-15,2220,Terra,MODIS,79,6.0NRT,277,15.5,N
