latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
45.673,20.908,301.6,1.3,1.1,2017-02-28,0920,Terra,MODIS,48,6.1,290.3,5.3
45.582,20.859,313.9,1.4,1.2,2017-03-15,1158,Aqua,MODIS,74,6.1,291.6,15.4
45.695,20.909,311.2,1.2,1.1,2017-09-15,0927,Terra,MODIS,64,6.1,296.7,4.9
45.907,20.913,331.2,1,1,2017-07-11,0938,Terra,MODIS,78,6.1,305.3,17.3
45.403,20.923,308.2,1.2,1.1,2017-03-21,1122,Aqua,MODIS,56,6.1,296,6.1
45.41,20.885,320.5,1.6,1.2,2017-09-30,1204,Aqua,MODIS,80,6.1,297.9,28.4
45.79,21.025,304.9,2.8,1.6,2017-03-04,0855,Terra,MODIS,60,6.1,287.7,28.2
43.908,23.192,301.2,1,1,2017-03-03,1133,Aqua,MODIS,45,6.1,278,5.2
44.009,23.302,328.4,1.1,1,2017-07-08,2015,Terra,MODIS,100,6.1,292.8,29.6
44.062,23.309,332,1.1,1,2017-07-11,0939,Terra,MODIS,73,6.1,308.8,17.9
43.896,23.272,319.6,1,1,2017-07-20,0933,Terra,MODIS,49,6.1,303.2,7
43.99,23.309,304.7,1,1,2017-07-22,2028,Terra,MODIS,61,6.1,291.3,5.5
44.029,23.185,326.4,1.2,1.1,2017-08-16,0915,Terra,MODIS,44,6.1,305.6,14.1
43.893,23.327,325.3,3.2,1.7,2017-09-07,1016,Terra,MODIS,79,6.1,299.9,74.3
44.052,23.103,317,3.1,1.7,2017-09-12,1216,Aqua,MODIS,0,6.1,296.3,34
43.986,23.334,316.9,1.1,1,2017-09-13,1120,Aqua,MODIS,65,6.1,302.1,7.8
43.993,23.271,323.6,1.4,1.2,2017-09-15,1108,Aqua,MODIS,62,6.1,307.9,15
43.983,23.327,321.3,2.6,1.6,2017-09-16,1010,Terra,MODIS,62,6.1,304.4,29.5
43.94,23.273,306.9,1,1,2017-09-22,0933,Terra,MODIS,49,6.1,285.9,5.9
45.791,21.033,302.4,2.8,1.6,2017-03-04,0855,Terra,MODIS,52,6.1,287.5,21.3
45.852,20.99,313.6,1.1,1,2017-03-28,1128,Aqua,MODIS,41,6.1,301.9,4.9
45.782,21.047,328.6,1,1,2017-08-26,1133,Aqua,MODIS,74,6.1,310.4,10.7
45.761,21.064,303.5,1.1,1,2017-03-03,0951,Terra,MODIS,56,6.1,289.9,5.7
45.759,21.078,301.7,1.1,1,2017-03-03,0951,Terra,MODIS,48,6.1,290.3,4.5
45.779,21.05,334.2,1.1,1.1,2017-08-26,0951,Terra,MODIS,83,6.1,308,24.6
44.573,22.142,307.5,1,1,2017-03-03,1133,Aqua,MODIS,65,6.1,287.6,8.7
44.514,22.104,309.3,1.6,1.2,2017-07-29,1108,Aqua,MODIS,0,6.1,297,9.5
44.51,22.107,305.2,1.1,1.1,2017-08-06,0050,Aqua,MODIS,63,6.1,293.7,5.6
44.555,23.248,302.8,1.1,1,2017-04-22,1121,Aqua,MODIS,53,6.1,289.1,4.9
44.499,23.122,312.1,1.1,1,2017-07-27,1121,Aqua,MODIS,44,6.1,291.2,6.6
44.425,23.232,323.9,2.6,1.5,2017-08-20,1210,Aqua,MODIS,71,6.1,307,34.4
44.443,23.186,328.7,1.4,1.2,2017-08-26,0951,Terra,MODIS,78,6.1,310.9,20.3
44.622,23.01,304.2,1.7,1.3,2017-02-27,1158,Aqua,MODIS,58,6.1,289.8,11.3
44.627,22.772,310,3,1.6,2017-03-04,1216,Aqua,MODIS,69,6.1,291.3,36.8
44.519,22.977,308.9,1.1,1,2017-03-05,1121,Aqua,MODIS,66,6.1,292.3,6.9
44.535,22.901,303,1.1,1,2017-03-05,1121,Aqua,MODIS,44,6.1,289.5,3.4
44.538,22.903,314.7,1.4,1.2,2017-04-09,1152,Aqua,MODIS,71,6.1,299.2,13.7
44.624,22.83,305,1.3,1.1,2017-04-10,0914,Terra,MODIS,42,6.1,293.5,5.5
44.359,22.986,326.1,1.4,1.2,2017-07-08,0908,Terra,MODIS,67,6.1,302.6,22.3
44.351,22.947,345.5,1.5,1.2,2017-07-08,0908,Terra,MODIS,92,6.1,303.9,69.8
44.35,22.966,371.2,1.5,1.2,2017-07-08,0908,Terra,MODIS,100,6.1,307,187.6
