latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
44.603,23.469,308.3,1,1,2017-10-01,0925,Terra,MODIS,67,6.0NRT,293.9,6.5,D
44.561,23.347,318.4,1.4,1.2,2017-10-01,1105,Aqua,MODIS,78,6.0NRT,292.1,23.2,D
44.569,23.387,308.4,4,1.9,2017-10-05,1220,Aqua,MODIS,67,6.0NRT,292.9,42.8,D
44.573,23.382,307.1,4,1.9,2017-10-05,1220,Aqua,MODIS,64,6.0NRT,292.9,36.8,D
43.957,23.427,347.1,1.1,1.1,2017-10-15,0935,Terra,MODIS,95,6.0NRT,293,63.1,D
43.955,23.44,305.6,1.1,1.1,2017-10-15,0935,Terra,MODIS,56,6.0NRT,290.3,4.6,D
44.505,23.432,311,1.1,1,2017-10-20,1135,Aqua,MODIS,63,6.0NRT,299.8,6,D
44.384,23.362,303,1.1,1,2017-11-05,1135,Aqua,MODIS,54,6.0NRT,287,6.4,D
45.903,27.349,306,2.8,1.6,2017-10-02,0830,Terra,MODIS,63,6.0NRT,293,21.9,D
45.9,27.342,307.3,2.8,1.6,2017-10-02,0830,Terra,MODIS,65,6.0NRT,293,25.9,D
45.785,27.167,311.4,3.7,1.8,2017-10-02,1005,Terra,MODIS,71,6.0NRT,294.4,61,D
45.909,27.735,309.4,1.1,1.1,2017-10-17,0925,Terra,MODIS,66,6.0NRT,296.2,7.1,D
45.981,27.314,310.3,3.7,1.8,2017-10-18,1005,Terra,MODIS,70,6.0NRT,294.2,52.2,D
45.977,27.287,301.7,1.8,1.3,2017-10-22,0940,Terra,MODIS,34,6.0NRT,287,9.4,D
45.956,27.527,316,1.2,1.1,2017-10-22,1125,Aqua,MODIS,57,6.0NRT,291.9,14.2,D
45.955,27.522,321.9,1.2,1.1,2017-10-22,1125,Aqua,MODIS,79,6.0NRT,291.5,21.6,D
45.949,27.362,308.3,1.2,1.1,2017-10-22,1125,Aqua,MODIS,67,6.0NRT,290.5,9.6,D
46.08,27.203,301.8,1,1,2017-11-02,1105,Aqua,MODIS,49,6.0NRT,286.5,5.4,D
44.822,28.043,313.5,1,1,2017-10-01,1105,Aqua,MODIS,71,6.0NRT,297.2,8.3,D
44.82,28.03,323.1,1,1,2017-10-01,1105,Aqua,MODIS,81,6.0NRT,298.2,17,D
45.008,27.498,306.8,1,1,2017-10-01,1105,Aqua,MODIS,61,6.0NRT,295.1,4.3,D
45.042,27.659,307.2,1,1,2017-10-01,1105,Aqua,MODIS,62,6.0NRT,294.5,4.9,D
45.254,27.529,307.8,1,1,2017-10-01,1105,Aqua,MODIS,63,6.0NRT,293.2,5.5,D
45.252,27.516,306,1,1,2017-10-01,1105,Aqua,MODIS,59,6.0NRT,293.9,4.1,D
45.76,27.621,305.4,1,1,2017-10-01,1105,Aqua,MODIS,27,6.0NRT,293,2.5,D
