latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
44.804,41.746,337.8,1.2,1.1,2017-10-02,0830,Terra,MODIS,91,6.0NRT,287.2,50.8,D
44.679,41.634,305.7,1,1,2017-10-02,1010,Aqua,MODIS,45,6.0NRT,292.4,4.8,D
44.941,41.707,301.3,2.5,1.5,2017-10-03,0735,Terra,MODIS,46,6.0NRT,287.7,15,D
44.834,41.503,305,1,1,2017-10-04,0815,Terra,MODIS,35,6.0NRT,291.4,5.2,D
44.797,41.505,304,1,1,2017-10-04,0815,Terra,MODIS,52,6.0NRT,292.5,3.6,D
44.795,41.497,306.4,1.2,1.1,2017-10-04,1000,Aqua,MODIS,60,6.0NRT,295.9,5.7,D
44.906,41.735,315.6,1.7,1.3,2017-10-05,1040,Aqua,MODIS,64,6.0NRT,299.5,16.9,D
44.904,41.714,316.9,1.7,1.3,2017-10-05,1040,Aqua,MODIS,71,6.0NRT,304.7,18.4,D
44.903,41.729,322.8,1.7,1.3,2017-10-05,1040,Aqua,MODIS,75,6.0NRT,300.2,30.7,D
45.036,41.576,301.8,1,1,2017-10-06,1910,Terra,MODIS,44,6.0NRT,282.7,7.5,N
44.801,41.478,311.4,1.2,1.1,2017-10-07,1030,Aqua,MODIS,69,6.0NRT,284.6,10.9,D
44.999,41.781,320,3.4,1.7,2017-10-07,1815,Terra,MODIS,100,6.0NRT,278,126.5,N
44.698,41.638,311.5,2.4,1.5,2017-10-08,0935,Aqua,MODIS,61,6.0NRT,301.5,17.7,D
44.691,41.61,318.5,2.4,1.5,2017-10-08,0935,Aqua,MODIS,73,6.0NRT,302,38.6,D
44.705,41.63,315.3,2.4,1.5,2017-10-08,0935,Aqua,MODIS,61,6.0NRT,302.4,26.2,D
44.698,41.602,315.7,2.4,1.5,2017-10-08,0935,Aqua,MODIS,67,6.0NRT,301.7,27.6,D
44.787,41.451,319.1,2.5,1.5,2017-10-08,0935,Aqua,MODIS,74,6.0NRT,302.5,39.4,D
44.715,41.609,302.7,1.1,1,2017-10-08,1900,Terra,MODIS,51,6.0NRT,284.2,8.3,N
44.783,41.454,301.7,1.1,1,2017-10-08,1900,Terra,MODIS,43,6.0NRT,281.5,8.6,N
44.729,41.788,324.1,1,1,2017-10-13,0810,Terra,MODIS,81,6.0NRT,294.5,18.8,D
44.72,41.785,313.2,1,1,2017-10-13,0810,Terra,MODIS,20,6.0NRT,293.8,7.4,D
44.671,41.579,306.9,1.2,1.1,2017-10-20,1000,Aqua,MODIS,62,6.0NRT,293.4,6.6,D
