latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
44.948,19.957,321.2,1.4,1.2,2017-09-14,1204,Aqua,MODIS,74,6.1,305,15.3
44.951,19.837,308.9,1.4,1.2,2017-09-29,1121,Aqua,MODIS,67,6.1,291.7,9.9
44.91,19.873,316.1,1.4,1.2,2017-09-30,1204,Aqua,MODIS,71,6.1,297.4,14.6
44.925,19.925,310,1.4,1.2,2017-09-30,1204,Aqua,MODIS,68,6.1,296.6,8
44.92,19.871,318.5,1.4,1.2,2017-09-30,1204,Aqua,MODIS,75,6.1,297.4,18.2
44.902,19.842,329.8,1.1,1,2017-07-14,1151,Aqua,MODIS,81,6.1,304.1,22.2
44.827,19.985,319.4,1.6,1.3,2017-09-16,1010,Terra,MODIS,72,6.1,304.9,13.6
44.827,19.979,324.3,1.1,1,2017-09-16,1151,Aqua,MODIS,75,6.1,309.8,8.9
44.892,19.924,307.3,2.4,1.5,2017-09-30,1022,Terra,MODIS,65,6.1,294.5,15.9
44.889,19.939,311.5,1.4,1.2,2017-09-30,1204,Aqua,MODIS,71,6.1,296.3,9.3
45.219,19.894,327,2.1,1.4,2017-03-04,1217,Aqua,MODIS,80,6.1,294.3,65.8
45.231,19.893,305.6,2.1,1.4,2017-03-04,1217,Aqua,MODIS,45,6.1,292.7,11.7
45.214,19.746,300.1,1.3,1.1,2017-03-17,1003,Terra,MODIS,23,6.1,288.7,5.1
45.219,19.768,310.8,1.1,1,2017-04-01,2028,Terra,MODIS,81,6.1,286.5,13.8
45.216,19.754,357.7,1.1,1,2017-04-01,2028,Terra,MODIS,100,6.1,289.7,92.6
45.214,19.741,319.1,1.1,1,2017-04-01,2028,Terra,MODIS,98,6.1,287,21.4
45.286,19.923,322,2.4,1.5,2017-07-06,1103,Aqua,MODIS,69,6.1,303.1,32.8
44.101,19.567,318.6,1.2,1.1,2017-03-31,1158,Aqua,MODIS,76,6.1,296.2,15.9
43.395,20.112,307.9,1.1,1,2017-03-03,0951,Terra,MODIS,66,6.1,282.3,12.6
43.287,20.091,302,3.9,1.8,2017-03-04,1034,Terra,MODIS,50,6.1,286.5,41.5
44.161,20.055,315.4,2.1,1.4,2017-03-04,1216,Aqua,MODIS,76,6.1,293.8,34.7
44.164,20.074,340.3,2.1,1.4,2017-03-04,1216,Aqua,MODIS,92,6.1,295.5,122.5
44.269,19.837,304.8,1,1,2017-03-17,1146,Aqua,MODIS,60,6.1,290.8,4.9
43.127,19.903,316.4,1.4,1.2,2017-03-22,1204,Aqua,MODIS,71,6.1,298.4,15.2
43.486,19.743,319.3,1.3,1.2,2017-03-22,1204,Aqua,MODIS,75,6.1,296.8,19.2
43.358,20.045,305.8,1.8,1.3,2017-03-24,1010,Terra,MODIS,57,6.1,290.4,9.3
43.363,20.041,305.3,1.8,1.3,2017-03-24,1010,Terra,MODIS,61,6.1,291.1,9.1
43.205,20.11,308.8,1.8,1.3,2017-03-24,1010,Terra,MODIS,62,6.1,291.3,13.5
43.2,20.122,315.7,1.1,1,2017-03-24,1152,Aqua,MODIS,64,6.1,295.1,9.8
43.208,20.107,310.4,1.1,1,2017-03-24,1152,Aqua,MODIS,31,6.1,293.1,6.4
43.338,19.985,314.2,1.1,1,2017-03-24,1152,Aqua,MODIS,72,6.1,294.7,8.5
43.816,19.971,309.5,1,1,2017-04-02,1146,Aqua,MODIS,56,6.1,298.5,5
43.845,20.04,314.1,1,1,2017-06-16,0945,Terra,MODIS,64,6.1,298.2,6.2
44.127,20.105,304.1,1.2,1.1,2017-07-31,2022,Terra,MODIS,59,6.1,291.7,6.9
44.133,20.099,319.5,1,1,2017-08-01,1139,Aqua,MODIS,63,6.1,305.6,7.9
43.694,19.995,317.5,3.2,1.7,2017-09-17,1056,Aqua,MODIS,74,6.1,297.7,58.4
43.294,19.897,301.7,1.2,1.1,2017-09-23,1157,Aqua,MODIS,40,6.1,290.7,4.4
45.129,19.523,311.5,1,1,2017-03-28,0945,Terra,MODIS,32,6.1,296.3,7.6
44.92,19.623,307.9,1.4,1.2,2017-09-29,1121,Aqua,MODIS,66,6.1,294.9,10.4
44.729,19.564,316.7,1.2,1.1,2017-04-13,1127,Aqua,MODIS,71,6.1,302.1,10.5
44.745,19.599,323.8,1.3,1.1,2017-08-30,0927,Terra,MODIS,76,6.1,304,17.6
44.996,20.075,306.3,1.4,1.2,2017-02-28,0920,Terra,MODIS,63,6.1,292,8.2
44.83,20.076,325,1.1,1,2017-09-16,1151,Aqua,MODIS,76,6.1,308.2,10
44.832,20.023,315.5,1.4,1.2,2017-09-30,1204,Aqua,MODIS,76,6.1,298.2,14.6
46.064,19.585,368.9,1.1,1,2017-06-23,1134,Aqua,MODIS,100,6.1,307.6,109.3
45.274,19.966,307.4,1,1,2017-02-22,1140,Aqua,MODIS,65,6.1,288.9,6.8
46.088,20.12,314.1,1,1,2017-03-17,1146,Aqua,MODIS,70,6.1,297.3,8.6
