latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
45.284,20.624,306.1,1.2,1.1,2017-10-01,0925,Terra,MODIS,14,6.0NRT,293.6,4.9,D
45.231,20.748,308.4,1.2,1.1,2017-10-01,0925,Terra,MODIS,67,6.0NRT,294.4,5.8,D
45.227,20.755,306.4,1.2,1.1,2017-10-01,0925,Terra,MODIS,64,6.0NRT,294.5,5,D
45.168,20.667,307.6,1.2,1.1,2017-10-01,0925,Terra,MODIS,66,6.0NRT,294.2,5.1,D
45.258,20.939,311.4,1.2,1.1,2017-10-02,1150,Aqua,MODIS,69,6.0NRT,298.9,7.1,D
45.374,20.725,313.1,1,1,2017-10-13,1130,Aqua,MODIS,72,6.0NRT,290.7,10.1,D
45.229,20.678,311.7,1,1,2017-10-15,0935,Terra,MODIS,67,6.0NRT,297.6,5.2,D
45.222,20.667,309.5,1.3,1.1,2017-10-15,1120,Aqua,MODIS,68,6.0NRT,292.8,6.7,D
45.239,20.664,312.9,1.8,1.3,2017-10-17,1105,Aqua,MODIS,63,6.0NRT,301.2,11.3,D
45.381,20.712,309.5,1.2,1.1,2017-10-20,0955,Terra,MODIS,35,6.0NRT,298.4,7.2,D
45.121,20.818,315.4,1.3,1.1,2017-10-20,0955,Terra,MODIS,71,6.0NRT,301.3,9.6,D
45.122,20.812,314,1.3,1.1,2017-10-20,0955,Terra,MODIS,70,6.0NRT,301.3,7.9,D
45.098,20.916,310.6,1,1,2017-10-20,1135,Aqua,MODIS,36,6.0NRT,299.7,4,D
45.23,21.133,312.5,1,1,2017-10-20,1135,Aqua,MODIS,67,6.0NRT,299.8,5.2,D
44.754,21.064,311,1.4,1.2,2017-10-09,1155,Aqua,MODIS,71,6.0NRT,292.4,11.2,D
44.759,21.058,308.7,1.4,1.2,2017-10-09,1155,Aqua,MODIS,53,6.0NRT,292.4,8.7,D
44.852,20.96,310.5,1.1,1.1,2017-10-13,0950,Terra,MODIS,67,6.0NRT,296,8.3,D
44.855,20.887,310.6,1.1,1.1,2017-10-13,0950,Terra,MODIS,68,6.0NRT,295.8,6.8,D
