latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
49.405,19.064,302.1,1.9,1.3,2017-04-01,0919,Terra,MODIS,46,6.1,290,11.4
49.116,18.439,311.3,1.9,1.4,2017-08-11,1217,Aqua,MODIS,38,6.1,296.2,8.6
49.12,18.431,311.8,1.9,1.4,2017-08-11,1217,Aqua,MODIS,32,6.1,296.3,8.8
47.823,18.417,303.5,2.8,1.6,2017-03-27,1039,Terra,MODIS,56,6.1,288.6,20.4
48.233,18.414,310.5,1,1,2017-05-22,0950,Terra,MODIS,33,6.1,298.2,6.1
48.161,18.037,311.5,1.5,1.2,2017-08-13,1021,Terra,MODIS,42,6.1,294.3,10.2
49.12,18.426,309.3,1.1,1.1,2017-05-11,1008,Terra,MODIS,62,6.1,298.9,9.1
49.12,18.416,304.4,1.8,1.3,2017-07-03,1027,Terra,MODIS,17,6.1,289.9,8.8
48.373,19.919,306.6,1.1,1,2017-03-26,0956,Terra,MODIS,64,6.1,288.2,7.4
48.216,19.809,304.5,1,1,2017-03-28,0944,Terra,MODIS,46,6.1,293.2,4.4
48.594,17.002,315.5,1.1,1,2017-06-12,1008,Terra,MODIS,51,6.1,300.1,6.2
48.231,16.996,326,1.1,1,2017-07-09,0950,Terra,MODIS,75,6.1,308.1,13
48.471,17.108,313.2,1.6,1.3,2017-08-27,1217,Aqua,MODIS,53,6.1,297.4,7
48.809,19.563,310.7,1.3,1.1,2017-07-30,1009,Terra,MODIS,61,6.1,300.2,9.3
48.336,19.298,313.2,1.3,1.1,2017-03-24,1008,Terra,MODIS,72,6.1,294.5,13.3
48.334,19.308,307.6,1.3,1.1,2017-03-24,1008,Terra,MODIS,56,6.1,293.5,7.5
48.259,18.943,325.1,1.4,1.2,2017-07-28,1205,Aqua,MODIS,79,6.1,299.5,27.7
48.148,17.544,302.9,1,1,2017-02-13,1002,Terra,MODIS,54,6.1,275.5,9.7
48.538,18.536,304.1,1.2,1.1,2017-03-08,1008,Terra,MODIS,58,6.1,281.7,10.7
48.563,18.172,306.6,1.1,1,2017-05-06,1134,Aqua,MODIS,19,6.1,292.4,4.9
48.602,21.182,318,1.3,1.1,2017-04-02,1002,Terra,MODIS,76,6.1,299.3,14.6
48.602,21.186,320.9,1,1,2017-06-09,0938,Terra,MODIS,57,6.1,302.2,11.7
48.604,21.183,301.4,1,1,2017-06-13,2023,Terra,MODIS,41,6.1,288.4,5.5
49.364,19.669,302.2,4.7,2,2017-04-01,1057,Terra,MODIS,35,6.1,291.4,38.4
49.053,20.398,307.3,3,1.6,2017-03-27,1224,Aqua,MODIS,49,6.1,290,29.2
48.764,20.553,308.3,2.1,1.4,2017-09-01,1057,Aqua,MODIS,55,6.1,292.7,16.9
48.614,21.186,304.7,1.1,1,2017-04-02,0038,Aqua,MODIS,61,6.1,278.9,11.5
48.615,21.187,302.7,1.2,1.1,2017-07-01,2010,Terra,MODIS,25,6.1,288.2,7.7
48.612,21.186,301.6,1.4,1.2,2017-07-25,0024,Aqua,MODIS,43,6.1,286.9,10.3
49.249,19.343,300.4,1,1,2017-04-04,0950,Terra,MODIS,36,6.1,286.2,4.8
49.3,18.784,303.5,1.2,1.1,2017-05-27,1008,Terra,MODIS,14,6.1,290.2,4.5
49.245,19.342,309.1,1,1,2017-05-29,0956,Terra,MODIS,55,6.1,297.9,6.6
49.203,18.817,302.6,1,1,2017-06-07,1135,Aqua,MODIS,0,6.1,289.1,2.8
49.244,19.337,302.3,1.2,1.1,2017-07-14,1008,Terra,MODIS,40,6.1,285.8,7
49.385,19.092,311.5,1.1,1,2017-04-02,1002,Terra,MODIS,69,6.1,293.4,10.3
49.216,18.817,311.8,1.1,1,2017-06-21,1002,Terra,MODIS,25,6.1,299.7,6.5
48.703,19.14,315.3,1,1,2017-08-01,0956,Terra,MODIS,35,6.1,303.6,7.5
48.608,21.183,308.5,1.8,1.3,2017-03-31,1014,Terra,MODIS,67,6.1,294.2,12.4
48.61,21.185,305.9,1,1,2017-05-22,0950,Terra,MODIS,34,6.1,282.1,5.2
48.61,21.183,305.9,1,1,2017-05-25,0055,Aqua,MODIS,66,6.1,281.9,11.3
48.61,21.183,307.8,1,1,2017-06-20,2029,Terra,MODIS,72,6.1,292.1,8
48.61,21.183,301.2,1.2,1.1,2017-09-02,0031,Aqua,MODIS,39,6.1,284,7.7
48.609,21.184,304,1.2,1.1,2017-09-18,0031,Aqua,MODIS,58,6.1,282.8,11.1
48.609,21.181,312.5,1.8,1.3,2017-06-19,1014,Terra,MODIS,33,6.1,296,13.6
48.61,21.182,304.9,1.1,1,2017-07-08,2017,Terra,MODIS,62,6.1,288.2,8
48.611,21.182,307.6,1.3,1.1,2017-07-11,2047,Terra,MODIS,46,6.1,289.2,11.7
48.61,21.181,323.2,1.1,1,2017-08-05,0932,Terra,MODIS,67,6.1,301.1,12.1
48.337,19.292,306.2,1.3,1.1,2017-03-24,1008,Terra,MODIS,41,6.1,294.2,6.2
48.128,17.926,319.5,1.1,1.1,2017-03-31,1159,Aqua,MODIS,67,6.1,299.5,13
48.608,21.185,318.8,1.1,1.1,2017-03-10,0956,Terra,MODIS,79,6.1,287.5,19.4
48.608,21.186,306.1,1,1,2017-03-19,0950,Terra,MODIS,59,6.1,289,7.3
48.609,21.187,320.5,1,1,2017-04-04,0950,Terra,MODIS,80,6.1,300.3,12.6
48.609,21.19,315.4,1.7,1.3,2017-06-13,0913,Terra,MODIS,52,6.1,300.3,16.8
48.609,21.186,302.1,1.4,1.2,2017-07-09,0024,Aqua,MODIS,46,6.1,286.2,11.6
48.611,21.187,300.7,1,1,2017-07-13,2035,Terra,MODIS,33,6.1,286.8,6.6
48.611,21.187,321.7,1.4,1.2,2017-07-22,0919,Terra,MODIS,47,6.1,304,16.4
48.61,21.186,306.7,1.7,1.3,2017-08-19,0018,Aqua,MODIS,69,6.1,289.1,18.8
48.608,21.188,320.8,1,1,2017-08-31,0043,Aqua,MODIS,100,6.1,285.9,21.5
