latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
48.608,21.192,304.3,1.2,1.1,2017-10-01,0925,Terra,MODIS,50,6.0NRT,293.1,5.7,D
48.609,21.179,306.9,1.4,1.2,2017-10-01,1110,Aqua,MODIS,61,6.0NRT,294.8,9.1,D
48.606,21.186,306.6,1.3,1.1,2017-10-02,1150,Aqua,MODIS,64,6.0NRT,294.8,7.7,D
48.606,21.176,304.8,1.1,1.1,2017-10-04,0955,Terra,MODIS,55,6.0NRT,287.2,6.8,D
48.605,21.175,307.2,1,1,2017-10-04,1140,Aqua,MODIS,65,6.0NRT,290.2,7.4,D
48.611,21.174,301.1,1,1,2017-10-06,0940,Terra,MODIS,32,6.0NRT,276.5,5.8,D
48.609,21.188,303.3,1,1,2017-10-06,0940,Terra,MODIS,53,6.0NRT,274.4,7.1,D
48.611,21.182,305.5,1.1,1.1,2017-10-07,0100,Aqua,MODIS,64,6.0NRT,276.1,13.8,N
48.61,21.178,300.6,1,1,2017-10-10,2025,Terra,MODIS,31,6.0NRT,280,8.1,N
48.606,21.187,304.4,1.1,1,2017-10-12,2015,Terra,MODIS,53,6.0NRT,282.6,9.7,N
48.611,21.179,308.3,1.1,1,2017-10-12,2015,Terra,MODIS,74,6.0NRT,281.6,13.5,N
48.605,21.177,309.2,1,1,2017-10-13,1130,Aqua,MODIS,52,6.0NRT,285,7.4,D
48.605,21.181,307.8,1.1,1,2017-10-15,1120,Aqua,MODIS,66,6.0NRT,288.3,8.6,D
48.605,21.177,305.8,1.3,1.1,2017-10-15,2045,Terra,MODIS,66,6.0NRT,278.1,15.6,N
48.606,21.184,307,1,1,2017-10-16,0055,Aqua,MODIS,70,6.0NRT,280.5,12.1,N
48.609,21.183,307.2,2.1,1.4,2017-10-16,1020,Terra,MODIS,65,6.0NRT,292.2,19.8,D
48.609,21.177,305.4,2.1,1.4,2017-10-16,1020,Terra,MODIS,61,6.0NRT,292.2,16.3,D
48.609,21.184,304.7,1.8,1.3,2017-10-16,1205,Aqua,MODIS,54,6.0NRT,294.1,9.8,D
48.609,21.197,303.3,1.7,1.3,2017-10-19,0910,Terra,MODIS,35,6.0NRT,292.1,8.2,D
48.612,21.192,304,1.7,1.3,2017-10-19,0910,Terra,MODIS,54,6.0NRT,292.4,9.4,D
48.611,21.182,307,1,1,2017-10-19,2020,Terra,MODIS,70,6.0NRT,282.7,11.1,N
48.608,21.183,308.1,1,1,2017-11-04,2020,Terra,MODIS,73,6.0NRT,276.4,13.1,N
48.607,21.181,301.3,1.6,1.3,2017-11-11,1100,Aqua,MODIS,45,6.0NRT,283.5,13.5,D
48.606,21.18,303.4,1.1,1,2017-11-16,1120,Aqua,MODIS,42,6.0NRT,281.8,8.4,D
48.599,21.183,305.6,1.4,1.2,2017-10-01,1110,Aqua,MODIS,41,6.0NRT,294.3,7.5,D
48.602,21.184,310.8,1.5,1.2,2017-10-02,1005,Terra,MODIS,70,6.0NRT,292.1,16.5,D
48.604,21.173,306.1,1.1,1,2017-10-12,2015,Terra,MODIS,65,6.0NRT,280.7,10.9,N
48.604,21.173,301.8,1.1,1.1,2017-10-20,0955,Terra,MODIS,43,6.0NRT,288.8,5.1,D
48.601,21.188,300.6,1.1,1.1,2017-10-20,0955,Terra,MODIS,33,6.0NRT,289.5,4.3,D
48.604,21.177,307.7,1,1,2017-10-20,1140,Aqua,MODIS,66,6.0NRT,293.9,7,D
48.603,21.178,300.7,1.4,1.2,2017-10-26,0915,Terra,MODIS,41,6.0NRT,274,11.1,D
48.588,21.187,305.9,1.1,1,2017-11-16,1120,Aqua,MODIS,62,6.0NRT,280.1,10.6,D
48.586,21.173,303.6,1.1,1,2017-11-16,1120,Aqua,MODIS,56,6.0NRT,280.3,9.1,D
48.327,19.83,307,1.1,1,2017-11-07,1125,Aqua,MODIS,61,6.0NRT,285.1,10.3,D
48.325,19.816,309.9,1.1,1,2017-11-07,1125,Aqua,MODIS,65,6.0NRT,284.9,12.4,D
48.339,19.612,308.3,1.1,1,2017-11-07,1125,Aqua,MODIS,58,6.0NRT,284.7,11.8,D
