latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
45.83,13.742,373.4,1,1,2017-08-06,1016,Terra,MODIS,100,6.1,303.7,124.2
45.55,13.744,307,1.1,1,2017-03-31,1159,Aqua,MODIS,44,6.1,294.5,3.3
45.552,13.75,305.2,1,1,2017-04-09,1009,Terra,MODIS,23,6.1,293,2.6
45.548,13.742,316.6,1.3,1.1,2017-06-01,1028,Terra,MODIS,38,6.1,300.6,9
45.549,13.739,321.4,1.1,1,2017-06-03,1158,Aqua,MODIS,48,6.1,302.1,8.6
45.55,13.742,314.7,1.1,1,2017-06-08,1217,Aqua,MODIS,43,6.1,299.5,6.3
45.552,13.746,320,1.1,1.1,2017-06-10,1022,Terra,MODIS,42,6.1,298.1,11.5
45.549,13.738,316.8,1.1,1.1,2017-06-10,1022,Terra,MODIS,0,6.1,298.3,7.9
45.545,13.735,321.2,1.1,1,2017-06-19,1158,Aqua,MODIS,34,6.1,305.9,7
45.551,13.739,316.3,1.4,1.2,2017-06-21,1146,Aqua,MODIS,41,6.1,299.1,6.6
45.548,13.744,320.3,1.1,1.1,2017-06-26,1022,Terra,MODIS,31,6.1,302.2,9.6
45.548,13.744,324.5,1,1,2017-06-26,1204,Aqua,MODIS,61,6.1,304.8,11.4
45.546,13.738,321.7,1.1,1,2017-07-05,1158,Aqua,MODIS,50,6.1,303,8.8
45.551,13.745,318.8,1.3,1.1,2017-07-19,1028,Terra,MODIS,52,6.1,301,10.5
45.552,13.752,318.9,1.2,1.1,2017-07-28,1022,Terra,MODIS,25,6.1,301,7.1
45.549,13.744,320.3,1.2,1.1,2017-07-28,1022,Terra,MODIS,0,6.1,300.9,9
45.548,13.738,303.2,1,1,2017-09-30,1204,Aqua,MODIS,27,6.1,291.7,2.9
45.825,14.132,326.1,1,1,2017-03-31,1159,Aqua,MODIS,82,6.1,298.7,22
45.823,14.119,308.6,1,1,2017-03-31,1159,Aqua,MODIS,48,6.1,297.5,5.9
45.552,13.747,306.8,1,1,2017-04-16,1015,Terra,MODIS,46,6.1,291.2,5
46.227,14.174,307.2,1,1,2017-05-18,1015,Terra,MODIS,58,6.1,295.2,6.5
45.551,13.748,315.7,1,1,2017-05-18,1015,Terra,MODIS,45,6.1,299.9,5.9
45.551,13.75,319.2,1,1,2017-06-03,1016,Terra,MODIS,42,6.1,301.8,6
45.884,13.905,317.6,1,1,2017-06-19,1015,Terra,MODIS,40,6.1,306.1,10.3
45.703,13.852,314.3,1,1,2017-06-19,1158,Aqua,MODIS,32,6.1,300.8,5.3
45.828,13.755,433.8,1,1,2017-08-06,1016,Terra,MODIS,100,6.1,313.9,543.1
45.825,13.768,329.5,1,1,2017-08-06,1016,Terra,MODIS,82,6.1,303.7,17.9
45.829,13.76,361.8,1.1,1,2017-08-06,1158,Aqua,MODIS,100,6.1,309.3,85.5
45.796,15.118,309,1.3,1.1,2017-07-21,0050,Aqua,MODIS,76,6.1,285.8,14.3
45.979,14.407,301.3,1.4,1.2,2017-03-13,1027,Terra,MODIS,46,6.1,287.8,7.9
46.096,14.551,311.5,1.2,1.1,2017-07-12,1022,Terra,MODIS,48,6.1,298.4,6.9
46.259,15.083,300.7,1,1,2017-03-24,1009,Terra,MODIS,34,6.1,284.8,2.8
46.385,15.126,324.5,1,1,2017-03-31,1159,Aqua,MODIS,82,6.1,294.2,20.2
46.383,15.113,314.9,1,1,2017-03-31,1159,Aqua,MODIS,63,6.1,294.7,10.6
46.362,15.116,312.6,1,1,2017-06-21,1003,Terra,MODIS,49,6.1,296.9,4.1
46.365,15.097,311.3,1.1,1,2017-07-21,1015,Terra,MODIS,19,6.1,294,5.8
45.792,15.109,324.6,1.1,1.1,2017-07-21,1016,Terra,MODIS,73,6.1,302.1,15.7
45.766,14.128,318.7,1.3,1.1,2017-03-17,1146,Aqua,MODIS,78,6.1,292.2,22.3
45.936,14.184,307.1,1,1,2017-03-31,1159,Aqua,MODIS,47,6.1,294.7,4.7
46.392,15.761,319.5,1,1,2017-02-04,1152,Aqua,MODIS,79,6.1,282.3,20.5
46.236,15.268,304.6,1.5,1.2,2017-05-06,1134,Aqua,MODIS,40,6.1,291.6,6.3
45.547,13.736,308.3,1.1,1,2017-05-02,1158,Aqua,MODIS,24,6.1,293.4,7
45.546,13.738,313.4,1,1,2017-05-09,1204,Aqua,MODIS,35,6.1,296.8,6.7
45.548,13.738,317.1,1.2,1.1,2017-05-27,1152,Aqua,MODIS,27,6.1,301.1,7.6
45.551,13.742,317.8,1,1,2017-06-10,1204,Aqua,MODIS,56,6.1,291.6,8
45.548,13.741,315.4,1.2,1.1,2017-07-01,1223,Aqua,MODIS,39,6.1,302.2,7.6
45.546,13.744,321.4,1,1,2017-07-12,1204,Aqua,MODIS,31,6.1,301.8,7.3
45.548,13.743,316.3,1,1,2017-08-29,1204,Aqua,MODIS,40,6.1,303.4,4.4
45.55,13.745,308.4,1.3,1.1,2017-04-30,1028,Terra,MODIS,34,6.1,294.4,6.6
45.675,13.968,301.4,1.1,1,2017-08-04,0102,Aqua,MODIS,41,6.1,291.3,5.4
45.55,13.75,302.4,1.3,1.1,2017-09-21,1028,Terra,MODIS,31,6.1,291.5,4.1
45.742,14.262,309.5,1.1,1.1,2017-02-16,1217,Aqua,MODIS,69,6.1,287.8,13.3
45.74,14.248,309.8,1.1,1.1,2017-02-16,1217,Aqua,MODIS,69,6.1,287.8,13.2
45.763,14.112,305.3,1.3,1.1,2017-03-17,1146,Aqua,MODIS,59,6.1,291.3,7.6
45.625,14.273,310.6,2.1,1.4,2017-03-28,1128,Aqua,MODIS,49,6.1,295.2,23.9
45.644,14.295,319.5,2.1,1.4,2017-03-28,1128,Aqua,MODIS,75,6.1,294.3,48.4
45.637,14.267,330.4,2.1,1.4,2017-03-28,1128,Aqua,MODIS,87,6.1,296.2,83.8
45.794,15.179,313.7,1.1,1.1,2017-06-03,1015,Terra,MODIS,47,6.1,300.7,8
46.364,15.11,312.8,1.2,1.1,2017-06-26,1021,Terra,MODIS,64,6.1,300.7,10
45.794,15.107,339.3,1.2,1.1,2017-07-20,2041,Terra,MODIS,100,6.1,293,53.1
45.792,15.092,306.1,1.2,1.1,2017-07-20,2041,Terra,MODIS,67,6.1,291.7,7.5
46.363,15.111,313.4,1.1,1,2017-07-21,1015,Terra,MODIS,46,6.1,297.1,7.5
45.643,15.318,314.8,1.1,1,2017-08-31,1152,Aqua,MODIS,61,6.1,303.3,6.2
45.839,13.745,350.8,1,1,2017-08-06,1016,Terra,MODIS,95,6.1,306.3,58.1
45.837,13.758,409.1,1,1,2017-08-06,1016,Terra,MODIS,100,6.1,316.4,320.2
45.834,13.771,329.5,1,1,2017-08-06,1016,Terra,MODIS,82,6.1,304.2,18.8
45.827,13.746,345.5,1.1,1,2017-08-06,1158,Aqua,MODIS,93,6.1,307.8,44.5
