latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
41.945,-8.082,313,1.5,1.2,2017-04-09,2255,Terra,MODIS,86,6.1,281.1,26.3
42.538,-8.076,302.6,1,1,2017-04-23,0236,Aqua,MODIS,32,6.1,279.4,8.1
41.872,-8.051,358.3,2.3,1.5,2017-08-04,1208,Terra,MODIS,99,6.1,299.1,260.6
43.551,-8.248,302.7,1.1,1,2017-03-17,1142,Terra,MODIS,46,6.1,288.1,5.2
43.544,-8.243,316.3,1.1,1.1,2017-03-17,1325,Aqua,MODIS,66,6.1,291.1,16.1
43.554,-8.246,340.1,1,1,2017-04-20,2237,Terra,MODIS,100,6.1,284.6,48.7
43.444,-8.15,319.1,1.6,1.2,2017-04-20,1312,Aqua,MODIS,79,6.1,293,29.4
43.444,-8.155,315.2,1.6,1.2,2017-04-20,1312,Aqua,MODIS,63,6.1,293.1,21.1
43.555,-8.245,330.3,1.6,1.2,2017-04-20,1312,Aqua,MODIS,72,6.1,292,50.7
43.547,-8.249,346.1,1.1,1,2017-04-21,0248,Aqua,MODIS,100,6.1,286.7,64.1
43.189,-8.222,307.4,1.1,1,2017-04-21,0248,Aqua,MODIS,71,6.1,281.8,12.7
43.187,-8.209,335.6,1.1,1,2017-04-21,0248,Aqua,MODIS,100,6.1,286.1,45.2
43.108,-8.642,315,1.6,1.3,2017-04-23,1201,Terra,MODIS,68,6.1,298.7,16.8
42.701,-8.969,303.2,2.3,1.5,2017-03-16,1100,Terra,MODIS,52,6.1,291.1,15.1
42.699,-8.938,309.9,2.3,1.5,2017-03-16,1100,Terra,MODIS,69,6.1,292.1,29.6
42.65,-8.926,326.2,1,1,2017-07-12,1342,Aqua,MODIS,77,6.1,301.1,16.5
42.724,-8.967,331.7,2.5,1.5,2017-08-23,1419,Aqua,MODIS,73,6.1,297.2,105.5
42.717,-8.975,331.7,2.5,1.5,2017-08-23,1419,Aqua,MODIS,74,6.1,296.7,107.3
42.003,-8.107,311.2,1.9,1.3,2017-03-18,1407,Aqua,MODIS,61,6.1,294.3,17
42.077,-8.113,333.3,1,1,2017-03-19,1131,Terra,MODIS,88,6.1,294.1,31.7
42.075,-8.101,303.5,1,1,2017-03-19,1131,Terra,MODIS,33,6.1,292.5,3.6
