latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
41.84,-8.122,314.8,1.5,1.2,2017-10-02,2255,Terra,MODIS,90,6.0NRT,291.2,25.6,N
41.831,-8.115,319.3,2.1,1.4,2017-10-06,1305,Aqua,MODIS,72,6.0NRT,300,35.8,D
41.826,-8.138,333.9,2.1,1.4,2017-10-06,1305,Aqua,MODIS,86,6.0NRT,300.1,85.3,D
41.867,-8.13,318.3,2.1,1.4,2017-10-06,1305,Aqua,MODIS,65,6.0NRT,300.4,30.3,D
41.884,-8.114,331.1,2.1,1.4,2017-10-06,1305,Aqua,MODIS,64,6.0NRT,300.8,69,D
41.879,-8.137,315.7,2.1,1.4,2017-10-06,1305,Aqua,MODIS,26,6.0NRT,299.7,21.9,D
41.833,-8.119,301.3,1.2,1.1,2017-10-08,2215,Terra,MODIS,39,6.0NRT,288.4,7.5,N
41.84,-8.135,315.3,1.2,1.1,2017-10-08,2215,Terra,MODIS,91,6.0NRT,288.9,19.3,N
41.849,-8.123,334.4,1,1,2017-10-09,0230,Aqua,MODIS,100,6.0NRT,289.2,39.5,N
41.848,-8.111,326.2,1,1,2017-10-09,0230,Aqua,MODIS,100,6.0NRT,286.9,28.2,N
41.84,-8.125,310.1,1,1,2017-10-09,0230,Aqua,MODIS,79,6.0NRT,287.8,12.6,N
41.853,-8.121,316,1.6,1.2,2017-10-09,1155,Terra,MODIS,65,6.0NRT,297.6,20.8,D
41.829,-8.126,317.3,1,1,2017-10-09,1335,Aqua,MODIS,66,6.0NRT,300.3,10.2,D
41.85,-8.114,313.5,1,1,2017-10-09,1335,Aqua,MODIS,60,6.0NRT,301.4,7.1,D
41.835,-8.127,322.9,1.8,1.3,2017-10-09,2300,Terra,MODIS,100,6.0NRT,288.5,55.8,N
42.134,-8.572,304.1,2.1,1.4,2017-10-10,0310,Aqua,MODIS,56,6.0NRT,287.1,25.2,N
41.828,-8.121,312.6,2.3,1.5,2017-10-10,0310,Aqua,MODIS,85,6.0NRT,286.4,47.2,N
41.832,-8.126,317.1,2.3,1.5,2017-10-10,0310,Aqua,MODIS,94,6.0NRT,286.8,59.6,N
41.86,-8.121,322.7,2,1.4,2017-10-10,1100,Terra,MODIS,76,6.0NRT,296.9,47.1,D
41.837,-8.146,369.4,2,1.4,2017-10-10,1100,Terra,MODIS,100,6.0NRT,303,306.6,D
41.835,-8.124,338.9,2,1.4,2017-10-10,1100,Terra,MODIS,83,6.0NRT,298.8,100.1,D
41.826,-8.171,323.2,2,1.4,2017-10-10,1100,Terra,MODIS,77,6.0NRT,292.6,48.7,D
41.836,-8.153,367.5,2,1.4,2017-10-10,1100,Terra,MODIS,100,6.0NRT,302.3,294.7,D
41.821,-8.132,359.8,2,1.4,2017-10-10,1100,Terra,MODIS,99,6.0NRT,298.6,231.1,D
