latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
56.777,15.2,308.7,1.3,1.1,2017-05-05,1043,Terra,MODIS,67,6.1,289.6,11.9
56.907,15.643,306.1,1,1,2017-05-22,1137,Aqua,MODIS,63,6.1,287,5.5
57.406,15.939,300.5,1.1,1.1,2017-05-24,2050,Terra,MODIS,30,6.1,283,7.8
56.924,15.657,312.4,1.1,1,2017-05-28,2025,Terra,MODIS,85,6.1,289.1,13.2
57.183,13.774,305.7,1.3,1.2,2017-06-21,1000,Terra,MODIS,57,6.1,293.7,6.6
56.464,14.689,303.1,1,1,2017-06-21,1149,Aqua,MODIS,0,6.1,291.3,3
57.253,16.435,308.9,1,1,2017-07-09,1137,Aqua,MODIS,44,6.1,293.5,5.5
56.623,15.544,300.9,1.5,1.2,2017-07-15,1049,Terra,MODIS,32,6.1,289.6,4.2
57.121,13.774,301.5,1,1,2017-08-01,1143,Aqua,MODIS,0,6.1,288.4,3
57.742,16.643,300.1,1.1,1.1,2017-08-05,1118,Aqua,MODIS,0,6.1,288.3,2.8
58.358,12.376,313,1,1,2017-03-26,1144,Aqua,MODIS,69,6.1,285,13.5
58.361,12.373,302.7,1.2,1.1,2017-03-28,1132,Aqua,MODIS,48,6.1,282.2,8.5
58.361,12.386,305.5,1,1,2017-04-05,1030,Terra,MODIS,53,6.1,280.9,9
58.359,12.385,300.1,1.4,1.2,2017-04-09,1006,Terra,MODIS,21,6.1,282.7,8
58.357,12.381,308.7,1,1,2017-04-22,2050,Terra,MODIS,75,6.1,273.9,14.2
58.358,12.378,303.9,1,1,2017-04-29,2056,Terra,MODIS,57,6.1,274,11.6
58.356,12.37,301.3,1.4,1.2,2017-05-04,2115,Terra,MODIS,40,6.1,277.7,13.9
58.36,12.374,303.2,1,1,2017-05-05,1043,Terra,MODIS,26,6.1,290.4,3.8
58.357,12.391,307.2,1,1,2017-05-05,1043,Terra,MODIS,60,6.1,294.5,7.4
58.313,12.334,301.9,1,1,2017-06-05,1149,Aqua,MODIS,35,6.1,287.2,3.8
58.362,12.373,327.4,1.2,1.1,2017-06-19,1012,Terra,MODIS,64,6.1,293.1,31
58.357,12.383,309.9,1,1,2017-06-21,1149,Aqua,MODIS,56,6.1,298.1,6.9
61.083,12.874,305.7,1.5,1.2,2017-06-28,1005,Terra,MODIS,43,6.1,284.9,11.7
58.36,12.392,311.2,1.1,1,2017-06-29,1049,Terra,MODIS,52,6.1,292.7,10.4
58.358,12.376,300.4,1.2,1.1,2017-07-16,2109,Terra,MODIS,27,6.1,284.8,8.6
58.361,12.389,302.3,1,1,2017-07-22,0130,Aqua,MODIS,48,6.1,283.1,8.5
58.362,12.382,301.6,1.2,1.1,2017-08-07,1055,Terra,MODIS,36,6.1,279.9,7.4
58.359,12.376,314.9,1,1,2017-08-11,1031,Terra,MODIS,0,6.1,293.1,11.3
58.361,12.379,305.4,1.1,1,2017-08-16,1049,Terra,MODIS,44,6.1,290.7,6.5
58.356,12.37,302.2,1,1,2017-08-27,1031,Terra,MODIS,36,6.1,286.6,4.2
58.34,12.239,303.2,1,1,2017-09-15,2038,Terra,MODIS,54,6.1,276.8,9.4
58.34,12.253,305.1,2.8,1.6,2017-09-16,0040,Aqua,MODIS,63,6.1,277.2,49.6
58.34,12.244,301.2,2.8,1.6,2017-09-16,0040,Aqua,MODIS,39,6.1,277.1,39.3
58.343,12.236,301.9,1.7,1.3,2017-09-16,0218,Aqua,MODIS,45,6.1,276.7,19.3
58.337,12.263,323.3,1.7,1.3,2017-09-16,0218,Aqua,MODIS,100,6.1,277.8,55.5
60.164,17.015,303.6,1.1,1,2017-05-26,1113,Aqua,MODIS,57,6.1,291.9,4.5
59.347,16.546,375.9,1.7,1.3,2017-08-03,0941,Terra,MODIS,100,6.1,291.1,288.2
59.345,16.575,319.5,1.7,1.3,2017-08-03,0941,Terra,MODIS,79,6.1,289.5,31.4
59.359,16.522,305.9,2.5,1.5,2017-08-03,1119,Terra,MODIS,45,6.1,277.5,22.8
59.348,16.561,332.5,2.5,1.5,2017-08-03,1119,Terra,MODIS,83,6.1,277.7,120.8
59.336,16.547,330.3,2.5,1.5,2017-08-03,1119,Terra,MODIS,87,6.1,281.5,107.3
59.343,16.55,349,2.5,1.5,2017-08-03,1119,Terra,MODIS,90,6.1,281.9,226.9
59.344,16.549,403.4,1,1,2017-08-03,1131,Aqua,MODIS,100,6.1,299.6,270.4
59.342,16.532,378,1,1,2017-08-03,1131,Aqua,MODIS,100,6.1,297.9,141.8
59.347,16.545,354.2,1,1,2017-08-04,1024,Terra,MODIS,97,6.1,293.3,70.8
59.336,16.536,316.2,2.4,1.5,2017-08-04,1036,Aqua,MODIS,71,6.1,287.9,47.4
59.331,16.537,306.1,2.4,1.5,2017-08-04,1036,Aqua,MODIS,34,6.1,286.8,20.9
59.343,16.525,305,2.4,1.5,2017-08-04,1036,Aqua,MODIS,14,6.1,288.8,17.1
59.349,16.558,314,1.1,1.1,2017-08-05,0141,Aqua,MODIS,88,6.1,284.1,17.5
59.347,16.549,306.8,1.1,1.1,2017-08-05,0141,Aqua,MODIS,69,6.1,283.3,12.5
