latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
46.165,6.102,310,1,1,2017-04-21,1034,Terra,MODIS,69,6.1,293.7,6.9
46.187,6.133,308.2,1,1,2017-05-05,1046,Terra,MODIS,44,6.1,296.6,5.8
45.885,8.972,310.2,1.2,1.1,2017-03-13,1211,Aqua,MODIS,70,6.1,288.6,12.7
46.175,8.568,301.4,2.4,1.5,2017-04-20,0951,Terra,MODIS,36,6.1,285.4,18.2
46.666,6.489,306.2,1.5,1.2,2017-04-08,1104,Terra,MODIS,61,6.1,291.4,9.4
46.205,8.083,305.7,1,1,2017-08-25,1229,Aqua,MODIS,19,6.1,291.2,3.9
46.181,8.988,312.3,1.1,1.1,2017-09-03,1040,Terra,MODIS,61,6.1,295.7,10.7
46.794,9.82,303.5,1.1,1,2017-05-21,1229,Aqua,MODIS,23,6.1,290.3,3.9
46.985,7.145,312.8,1,1,2017-03-27,1040,Terra,MODIS,73,6.1,292.8,9.2
47.17,7.569,301.6,1,1,2017-03-29,1027,Terra,MODIS,48,6.1,285.7,4.3
47.168,7.561,309.8,1.3,1.1,2017-04-08,1248,Aqua,MODIS,59,6.1,299.7,8.1
47.001,7.198,317.8,1,1,2017-04-10,1236,Aqua,MODIS,67,6.1,302.1,9.9
47.172,7.559,302.4,1,1,2017-04-21,1034,Terra,MODIS,37,6.1,290.8,4.8
47.172,7.567,308.6,1,1,2017-04-30,1028,Terra,MODIS,65,6.1,296.6,7.9
47.169,7.558,309.9,1.3,1.1,2017-05-10,1248,Aqua,MODIS,55,6.1,299.2,8.2
47.175,7.56,303.4,1,1,2017-06-19,2124,Terra,MODIS,55,6.1,292.4,5.1
47.171,7.561,318.5,1.1,1,2017-07-08,1046,Terra,MODIS,53,6.1,302.4,7.5
46.296,7.885,307.6,1.1,1.1,2017-07-24,1046,Terra,MODIS,26,6.1,293.8,9.5
47.175,7.563,308.4,1,1,2017-09-03,1040,Terra,MODIS,67,6.1,294.4,7.4
46.939,7.428,301.6,1,1,2017-09-03,1223,Aqua,MODIS,10,6.1,287,3.1
47.175,7.569,302.9,1,1,2017-09-21,1028,Terra,MODIS,54,6.1,290.8,5.5
47.173,7.564,304.6,1.3,1.1,2017-09-23,1016,Terra,MODIS,57,6.1,292.9,7.4
46.81,9.399,315.4,1,1,2017-06-24,1034,Terra,MODIS,67,6.1,301.3,9
47.262,8.175,301.7,1.2,1.1,2017-03-13,1211,Aqua,MODIS,45,6.1,289.8,6.4
47.332,8.206,303.5,1.2,1.1,2017-03-13,1211,Aqua,MODIS,49,6.1,288.9,7.6
47.268,8.18,300.4,1,1,2017-03-27,1040,Terra,MODIS,20,6.1,289.7,3.9
47.264,8.176,307.6,1.2,1.1,2017-03-29,1212,Aqua,MODIS,59,6.1,291.9,8.7
47.258,8.177,303.5,1.2,1.1,2017-09-21,1211,Aqua,MODIS,28,6.1,291.5,6.4
47.259,8.172,308.5,1.2,1.1,2017-09-21,1211,Aqua,MODIS,67,6.1,291.1,11.1
47.067,8.262,301.6,1,1,2017-03-11,1224,Aqua,MODIS,48,6.1,288.7,4.9
47.072,8.27,302.7,1,1,2017-03-13,1027,Terra,MODIS,53,6.1,286.5,6.1
47.067,8.268,304.5,1,1,2017-03-27,1040,Terra,MODIS,59,6.1,290.2,6.6
47.067,8.264,305.9,1,1,2017-03-27,1224,Aqua,MODIS,62,6.1,293.4,5.5
47.067,8.264,300.9,1,1,2017-03-29,1027,Terra,MODIS,39,6.1,283.9,3.8
47.066,8.274,302.4,1.1,1,2017-04-07,1021,Terra,MODIS,41,6.1,291.1,4.6
47.071,8.265,303.6,1,1,2017-04-12,1040,Terra,MODIS,46,6.1,289.6,4.3
47.065,8.264,308.1,1,1,2017-04-12,1224,Aqua,MODIS,56,6.1,296.4,5.3
47.067,8.271,303,1,1,2017-04-21,1034,Terra,MODIS,50,6.1,290.1,4.9
47.066,8.266,304.2,1.1,1,2017-04-21,1217,Aqua,MODIS,57,6.1,292.9,5.3
47.065,8.261,304.5,1.1,1,2017-05-17,0145,Aqua,MODIS,60,6.1,281.4,9.9
47.069,8.269,301.4,1,1,2017-05-26,0139,Aqua,MODIS,41,6.1,283.5,7.2
47.069,8.266,310.5,1,1,2017-06-01,1028,Terra,MODIS,38,6.1,289.5,5.4
47.068,8.266,315.1,1,1,2017-06-17,1028,Terra,MODIS,45,6.1,300,6.8
47.066,8.269,314.9,1,1,2017-07-17,1040,Terra,MODIS,48,6.1,300.7,6.4
47.071,8.274,301,1,1,2017-09-21,1028,Terra,MODIS,42,6.1,290.5,3.8
47.066,8.271,303.6,1.2,1.1,2017-09-23,1016,Terra,MODIS,55,6.1,291.8,5.4
46.659,6.465,310.4,1.5,1.2,2017-04-08,1104,Terra,MODIS,70,6.1,292,15.4
46.231,6.11,316.3,1.3,1.1,2017-06-08,1217,Aqua,MODIS,45,6.1,304.4,11.3
46.155,6.086,304.4,1.3,1.1,2017-09-08,1059,Terra,MODIS,59,6.1,291.5,4.5
47.176,7.566,302.2,1,1,2017-02-23,1040,Terra,MODIS,51,6.1,287.4,5.8
47.174,7.561,300.6,1,1,2017-03-04,1034,Terra,MODIS,39,6.1,284.4,5.5
47.174,7.562,303.2,1,1,2017-03-25,1236,Aqua,MODIS,55,6.1,291.4,5.1
47.174,7.561,306.2,1,1,2017-04-05,1034,Terra,MODIS,63,6.1,291.7,6.8
47.175,7.566,306,1.2,1.1,2017-04-07,1021,Terra,MODIS,63,6.1,292.8,7
47.176,7.563,304,1,1,2017-05-14,1040,Terra,MODIS,24,6.1,286.4,5
47.171,7.562,318,1,1,2017-06-15,1040,Terra,MODIS,64,6.1,300.3,9.4
47.169,7.561,320.3,1,1,2017-06-15,1223,Aqua,MODIS,70,6.1,303.2,10.4
47.203,7.561,317.1,1.4,1.2,2017-07-06,1058,Terra,MODIS,64,6.1,304.3,10.5
47.17,7.564,314.2,1,1,2017-08-18,1040,Terra,MODIS,65,6.1,299.9,7.5
47.173,7.567,311.4,1.1,1,2017-08-25,1046,Terra,MODIS,60,6.1,299,6.7
47.176,7.565,314.5,1.1,1.1,2017-08-29,1022,Terra,MODIS,60,6.1,302.6,8.7
47.174,7.571,310.5,1,1,2017-09-05,1028,Terra,MODIS,62,6.1,298.2,6.1
47.398,8.441,304.8,1,1,2017-04-12,1040,Terra,MODIS,47,6.1,289.6,4.9
46.933,6.825,316.5,1.1,1,2017-02-23,1223,Aqua,MODIS,0,6.1,281.6,18.5
